Orthogroup	AENJA_ok	PFLAV
OG0000017	AENJA_05719, AENJA_19475, AENJA_19562, AENJA_23073, AENJA_21676, AENJA_10851, AENJA_14649	TCONS_00009025.p1, TCONS_00012231.p1, TCONS_00036792.p1, TCONS_00049753.p1
OG0000017	AENJA_07659, AENJA_14471	TCONS_00047331.p1
OG0000017	AENJA_24972	TCONS_00046187.p1
OG0000017	AENJA_16450	TCONS_00037010.p1
OG0000018	AENJA_26707	TCONS_00046017.p1
OG0000018	AENJA_02019, AENJA_10850, AENJA_17832, AENJA_06089, AENJA_04764, AENJA_25702, AENJA_25620, AENJA_26224, AENJA_03350	TCONS_00025610.p1
OG0000018	AENJA_18582	TCONS_00040443.p1
OG0000018	AENJA_00705, AENJA_05980, AENJA_21073	TCONS_00048003.p1, TCONS_00010166.p1
OG0000018	AENJA_24490, AENJA_10833	TCONS_00046113.p1
OG0000018	AENJA_00794	TCONS_00050340.p1, TCONS_00027744.p1
OG0000018	AENJA_03347	TCONS_00032664.p1
OG0000018	AENJA_20865	TCONS_00015755.p1
OG0000018	AENJA_10761, AENJA_12683	TCONS_00032947.p1, TCONS_00032969.p1, TCONS_00000391.p1, TCONS_00048935.p1, TCONS_00033860.p1
OG0000018	AENJA_07360	TCONS_00002126.p1, TCONS_00045766.p1, TCONS_00050663.p1
OG0000018	AENJA_25137	TCONS_00054542.p1, TCONS_00015986.p1, TCONS_00002662.p1, TCONS_00016420.p1
OG0000018	AENJA_18142	TCONS_00033069.p1, TCONS_00046063.p1, TCONS_00034452.p2, TCONS_00032574.p1, TCONS_00045936.p1
OG0000018	AENJA_19981	TCONS_00022055.p1
OG0000018	AENJA_14150	TCONS_00056724.p1, TCONS_00044128.p1, TCONS_00015747.p1, TCONS_00041407.p1, TCONS_00035049.p1, TCONS_00031144.p1
OG0000018	AENJA_12247	TCONS_00041625.p1, TCONS_00044910.p1, TCONS_00038805.p1, TCONS_00030540.p1, TCONS_00010862.p1, TCONS_00033771.p1, TCONS_00004553.p1, TCONS_00008715.p1, TCONS_00016618.p3, TCONS_00049850.p1, TCONS_00002610.p1, TCONS_00055180.p1, TCONS_00026726.p1, TCONS_00024721.p1, TCONS_00024488.p1, TCONS_00007886.p1, TCONS_00034740.p1, TCONS_00008316.p1, TCONS_00039716.p1
OG0000019	AENJA_19174, AENJA_03417, AENJA_02272, AENJA_02277	TCONS_00042378.p1
OG0000019	AENJA_02275, AENJA_02276, AENJA_10509, AENJA_19272	TCONS_00025657.p1, TCONS_00025658.p1, TCONS_00025659.p1
OG0000019	AENJA_16475	TCONS_00009265.p1, TCONS_00009269.p1, TCONS_00009271.p1, TCONS_00008241.p1
OG0000019	AENJA_11007, AENJA_11047, AENJA_17709	TCONS_00042363.p1
OG0000019	AENJA_24818	TCONS_00007955.p1
OG0000019	AENJA_20016	TCONS_00020293.p1, TCONS_00020282.p1
OG0000019	AENJA_14332, AENJA_12746, AENJA_14337, AENJA_14334, AENJA_14338	TCONS_00042480.p1
OG0000020	AENJA_06180, AENJA_02090	TCONS_00042133.p1
OG0000020	AENJA_21688, AENJA_05309	TCONS_00055662.p1
OG0000020	AENJA_02593, AENJA_02596	TCONS_00041842.p1
OG0000020	AENJA_15791	TCONS_00011932.p1, TCONS_00014940.p1, TCONS_00014941.p1
OG0000020	AENJA_12903	TCONS_00054537.p1
OG0000020	AENJA_09502	TCONS_00047850.p1
OG0000020	AENJA_16747	TCONS_00020870.p1
OG0000020	AENJA_14074	TCONS_00009371.p1
OG0000020	AENJA_08287	TCONS_00020242.p1
OG0000020	AENJA_18052	TCONS_00045845.p1
OG0000020	AENJA_23718	TCONS_00028429.p1
OG0000020	AENJA_02408	TCONS_00029461.p1, TCONS_00053209.p1, TCONS_00022182.p1
OG0000020	AENJA_17847	TCONS_00013032.p1
OG0000020	AENJA_15954	TCONS_00019497.p1
OG0000020	AENJA_16929	TCONS_00016378.p1
OG0000020	AENJA_10912	TCONS_00051401.p1
OG0000020	AENJA_11444	TCONS_00031077.p1
OG0000020	AENJA_07947	TCONS_00056690.p1
OG0000020	AENJA_14659	TCONS_00042754.p1
OG0000020	AENJA_12495	TCONS_00019367.p1
OG0000020	AENJA_25422	TCONS_00041844.p1
OG0000021	AENJA_21621, AENJA_21623	TCONS_00047235.p1, TCONS_00047455.p1
OG0000021	AENJA_26606, AENJA_10786	TCONS_00025493.p1
OG0000021	AENJA_16593	TCONS_00007765.p1
OG0000021	AENJA_24950	TCONS_00006555.p1
OG0000021	AENJA_19175	TCONS_00005068.p1, TCONS_00005066.p1
