Orthogroup	SCHMD	DROME
OG0000094	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088, SCHMD18376, SCHMD14753	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879
OG0000094	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341
OG0000095	SCHMD20853, SCHMD22035	DROME01438
OG0000096	SCHMD07753	DROME08870
OG0000096	SCHMD10033	DROME09341
OG0000098	SCHMD29644, SCHMD22119	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214
OG0000099	SCHMD11735, SCHMD29475, SCHMD24883, SCHMD19972	DROME10335, DROME10334, DROME09743
OG0000099	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996
OG0000101	SCHMD06502, SCHMD06505, SCHMD06506	DROME17779
OG0000103	SCHMD29081, SCHMD19673	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989
OG0000103	SCHMD08147	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439
OG0000106	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496	DROME19783, DROME02609, DROME14085, DROME16348, DROME17377, DROME10894, DROME10895
OG0000110	SCHMD06031, SCHMD29673, SCHMD14183, SCHMD14809, SCHMD14182, SCHMD18955, SCHMD13898, SCHMD27056	DROME04794, DROME04795, DROME04798, DROME11669, DROME11670, DROME20727
OG0000113	SCHMD06629, SCHMD02664	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762
