Orthogroup	SCHMD	DANRE
OG0000023	SCHMD05376	DANRE01251, DANRE08271, DANRE08272, DANRE08270, DANRE08269, DANRE01246, DANRE08566, DANRE08567, DANRE38580, DANRE40368, DANRE01250, DANRE01247, DANRE01249, DANRE01248
OG0000026	SCHMD10899	DANRE25537, DANRE36265
OG0000027	SCHMD01186, SCHMD06349, SCHMD09742, SCHMD23029, SCHMD18531	DANRE03471, DANRE22990, DANRE22989, DANRE41021, DANRE41022, DANRE41023, DANRE41020, DANRE41018, DANRE41275, DANRE41019, DANRE41017, DANRE41008, DANRE41009
OG0000028	SCHMD01093	DANRE07178
OG0000028	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450	DANRE07176, DANRE07177, DANRE15857, DANRE15856, DANRE09600, DANRE09601, DANRE13468, DANRE13469, DANRE13470, DANRE15855, DANRE10772, DANRE17755, DANRE17756, DANRE02083, DANRE07180, DANRE07179, DANRE15853, DANRE35763
OG0000028	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075	DANRE39088, DANRE39089, DANRE24974, DANRE15851, DANRE15850, DANRE13964
OG0000029	SCHMD03695, SCHMD08074	DANRE22154
OG0000030	SCHMD17295	DANRE34589, DANRE34588
OG0000030	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250	DANRE14546, DANRE09884, DANRE09883, DANRE34902
OG0000030	SCHMD25391	DANRE41079, DANRE41078
OG0000030	SCHMD25427	DANRE08391
OG0000031	SCHMD16950	DANRE41496, DANRE35535, DANRE23155, DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505, DANRE17238
OG0000031	SCHMD11094	DANRE13622, DANRE13623
OG0000031	SCHMD00185	DANRE35637, DANRE11621
OG0000031	SCHMD17865	DANRE02768, DANRE23382, DANRE20276, DANRE16190, DANRE42316, DANRE27399, DANRE21472, DANRE14252, DANRE16189, DANRE42315, DANRE15746
OG0000032	SCHMD05709	DANRE24197
OG0000034	SCHMD13190, SCHMD26745	DANRE28945, DANRE28944, DANRE35039, DANRE35040, DANRE39926, DANRE00143, DANRE39455, DANRE35041
OG0000034	SCHMD20623, SCHMD12542, SCHMD11160, SCHMD18247	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947
OG0000034	SCHMD04875	DANRE14484, DANRE09880, DANRE38036
OG0000034	SCHMD07081	DANRE25182
OG0000035	SCHMD10019, SCHMD14794, SCHMD08606	DANRE23313
OG0000035	SCHMD15627, SCHMD19701	DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761
OG0000036	SCHMD19876, SCHMD28731, SCHMD01107, SCHMD15808	DANRE25335, DANRE27775, DANRE38068, DANRE26145, DANRE38623
OG0000037	SCHMD19933	DANRE11959, DANRE17549, DANRE11958, DANRE11635, DANRE11634, DANRE17282, DANRE17582, DANRE10717, DANRE10716, DANRE06286, DANRE06287, DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383
OG0000037	SCHMD19522, SCHMD00541, SCHMD00542, SCHMD17538	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607
OG0000037	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781	DANRE11315
OG0000038	SCHMD06293	DANRE01550, DANRE01549
OG0000038	SCHMD21877, SCHMD17582, SCHMD27730, SCHMD15420, SCHMD07372, SCHMD06914, SCHMD04983	DANRE23401
OG0000038	SCHMD01619, SCHMD00416, SCHMD02854, SCHMD10875, SCHMD25466, SCHMD05088, SCHMD12852, SCHMD01036, SCHMD28404	DANRE41584
OG0000039	SCHMD12270	DANRE18250, DANRE18249, DANRE18251, DANRE18253, DANRE18252, DANRE38069, DANRE38070, DANRE23593, DANRE23592, DANRE36822, DANRE23067, DANRE23068, DANRE23065, DANRE23064, DANRE23063, DANRE09344
OG0000040	SCHMD01747, SCHMD05915, SCHMD23179, SCHMD12014, SCHMD13145, SCHMD01745, SCHMD27992, SCHMD24413, SCHMD19420, SCHMD24395	DANRE30036
OG0000041	SCHMD08254	DANRE24726
OG0000041	SCHMD16501, SCHMD03485, SCHMD03487	DANRE30701
