Orthogroup	SCHMD	BRALA
OG0000030	SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579	BRALA32549, BRALA32573
OG0000030	SCHMD25391	BRALA31250, BRALA14315, BRALA04297, BRALA10449
OG0000030	SCHMD25427	BRALA06142
OG0000031	SCHMD16950	BRALA04543, BRALA04547
OG0000031	SCHMD11094	BRALA04610
OG0000031	SCHMD00185	BRALA16640
OG0000031	SCHMD17865	BRALA09408, BRALA28311
OG0000031	SCHMD04192	BRALA15572
OG0000034	SCHMD13190, SCHMD26745	BRALA27570
OG0000034	SCHMD11160, SCHMD18247	BRALA08901, BRALA03079
OG0000034	SCHMD04875	BRALA17580
OG0000034	SCHMD07081	BRALA02412
OG0000035	SCHMD10019, SCHMD14794, SCHMD08606	BRALA21367, BRALA35402
OG0000035	SCHMD15627, SCHMD19701	BRALA13915, BRALA22877
OG0000036	SCHMD19876, SCHMD28731, SCHMD01107, SCHMD15808	BRALA22400, BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181
OG0000036	SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086	BRALA35896
OG0000037	SCHMD19933	BRALA22282, BRALA22275
OG0000037	SCHMD00542, SCHMD17538	BRALA16015
OG0000037	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781	BRALA16388
OG0000038	SCHMD06293	BRALA07354, BRALA07351
OG0000038	SCHMD07372	BRALA13194
OG0000038	SCHMD28404	BRALA19648
OG0000039	SCHMD12270	BRALA06993, BRALA34379, BRALA19136, BRALA31749, BRALA29745, BRALA19134, BRALA23918, BRALA06990, BRALA17755, BRALA26668, BRALA19135, BRALA00263, BRALA19137, BRALA11768, BRALA25325, BRALA17518, BRALA26162, BRALA32574, BRALA32576, BRALA25316, BRALA21159, BRALA17814, BRALA17816, BRALA17817, BRALA32621, BRALA09388, BRALA21591, BRALA21590, BRALA32620, BRALA26161, BRALA30705, BRALA32623, BRALA17815, BRALA32622, BRALA25326, BRALA35483, BRALA01170, BRALA17648, BRALA19632, BRALA19635, BRALA01164, BRALA31558, BRALA21586, BRALA02916, BRALA20258, BRALA27882, BRALA01626, BRALA01628, BRALA23751, BRALA01619, BRALA01617, BRALA01627, BRALA01624, BRALA01620, BRALA01618, BRALA04466, BRALA04471, BRALA01927, BRALA16092, BRALA35729, BRALA19542
OG0000040	SCHMD19421	BRALA14370, BRALA31974, BRALA33437, BRALA17918, BRALA12447, BRALA02395
OG0000040	SCHMD01747, SCHMD05915, SCHMD23179, SCHMD12014, SCHMD13145, SCHMD01745, SCHMD27992, SCHMD24413, SCHMD19420, SCHMD24395	BRALA35825, BRALA27751
OG0000041	SCHMD24504, SCHMD27330, SCHMD22218, SCHMD24321, SCHMD16915	BRALA29257
OG0000041	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856	BRALA07763, BRALA29216, BRALA11960, BRALA35158
OG0000041	SCHMD04612	BRALA12406
OG0000041	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678	BRALA27215
OG0000043	SCHMD11455	BRALA27558, BRALA29904, BRALA27561, BRALA27544, BRALA25261, BRALA20700, BRALA31404, BRALA31409, BRALA11161, BRALA06431, BRALA06417, BRALA06396, BRALA06445, BRALA06452, BRALA06409, BRALA06468, BRALA20694, BRALA06439, BRALA20722
OG0000043	SCHMD17991, SCHMD07284, SCHMD04436, SCHMD10964, SCHMD10708, SCHMD11041, SCHMD12622, SCHMD10248, SCHMD06829, SCHMD01198, SCHMD04068	BRALA06458, BRALA06464, BRALA06413, BRALA06474, BRALA06478
OG0000043	SCHMD29206, SCHMD09758	BRALA09159
OG0000044	SCHMD03626, SCHMD00319, SCHMD06706, SCHMD06550, SCHMD21748	BRALA34838
OG0000046	SCHMD07994	BRALA22862
OG0000048	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319	BRALA35359, BRALA30640, BRALA30891, BRALA13398, BRALA28757, BRALA17823, BRALA17828, BRALA17827, BRALA14637, BRALA17826, BRALA20466, BRALA05845, BRALA13397, BRALA31649, BRALA31651, BRALA13408, BRALA13407
OG0000049	SCHMD02961, SCHMD14840	BRALA08952
OG0000049	SCHMD17006	BRALA17285
OG0000049	SCHMD22370	BRALA16919, BRALA35874, BRALA15337
OG0000051	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279	BRALA34311, BRALA03595, BRALA20239, BRALA03865, BRALA03866, BRALA03867, BRALA03864, BRALA03859, BRALA03860, BRALA03861, BRALA03862, BRALA03858, BRALA07177, BRALA07182, BRALA34503, BRALA07183, BRALA31110, BRALA03328, BRALA07178, BRALA07180, BRALA07181, BRALA03815, BRALA03814, BRALA03593, BRALA17952
OG0000055	SCHMD17892, SCHMD29195	BRALA31408
OG0000057	SCHMD08094	BRALA00966, BRALA09850, BRALA13889, BRALA10001, BRALA13910, BRALA23224, BRALA06484, BRALA33854, BRALA09469, BRALA07816, BRALA07817, BRALA07813, BRALA34412, BRALA23522, BRALA07814, BRALA23123, BRALA16040
OG0000058	SCHMD04270	BRALA24063
OG0000058	SCHMD06371	BRALA06324
OG0000059	SCHMD15435, SCHMD14720, SCHMD05184, SCHMD07481, SCHMD24928	BRALA20365
OG0000059	SCHMD27096	BRALA28531, BRALA32778, BRALA23279
OG0000059	SCHMD20167, SCHMD15436, SCHMD05187, SCHMD26092, SCHMD18312, SCHMD29210, SCHMD05186, SCHMD20166, SCHMD27942, SCHMD05188, SCHMD13278	BRALA15311, BRALA34589, BRALA15310, BRALA15309, BRALA15308
OG0000060	SCHMD17528	BRALA00658, BRALA22074
OG0000060	SCHMD01311, SCHMD15619, SCHMD01313, SCHMD03061	BRALA13737
OG0000060	SCHMD16998	BRALA02440, BRALA02437, BRALA02438, BRALA02435, BRALA02439, BRALA02436, BRALA08276, BRALA08275, BRALA08274, BRALA08273, BRALA08272, BRALA01703, BRALA01702
OG0000060	SCHMD17292	BRALA12851
OG0000061	SCHMD24930	BRALA07400
OG0000061	SCHMD11039	BRALA09017, BRALA07401, BRALA14793, BRALA14792
OG0000062	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769	BRALA21141, BRALA30349, BRALA21142, BRALA31607
OG0000063	SCHMD24452	BRALA00957, BRALA27402
OG0000063	SCHMD26478, SCHMD21709	BRALA12767
OG0000066	SCHMD06601	BRALA25173, BRALA12022, BRALA14833, BRALA25174, BRALA14834, BRALA12019, BRALA12020, BRALA12018, BRALA25175, BRALA31760, BRALA14835, BRALA12017
OG0000066	SCHMD06030	BRALA25733
OG0000066	SCHMD05807	BRALA28825, BRALA18292, BRALA11955, BRALA06903, BRALA28617, BRALA09971
OG0000069	SCHMD05798, SCHMD12262	BRALA06255, BRALA22501
OG0000069	SCHMD18974	BRALA11725
OG0000070	SCHMD06745	BRALA19019, BRALA19027, BRALA19020, BRALA21094
OG0000070	SCHMD27266, SCHMD15308	BRALA13025
OG0000070	SCHMD25128, SCHMD25923, SCHMD18099, SCHMD09836, SCHMD24858	BRALA06340
OG0000071	SCHMD08674, SCHMD04226	BRALA32052, BRALA20842, BRALA32055, BRALA20769
OG0000072	SCHMD16868, SCHMD20563	BRALA35244, BRALA33817, BRALA31368, BRALA07174
OG0000072	SCHMD14329	BRALA18063
OG0000073	SCHMD13212, SCHMD07291, SCHMD22957	BRALA03064
OG0000075	SCHMD10965	BRALA16174
OG0000075	SCHMD03704	BRALA17353, BRALA17352
OG0000075	SCHMD21424	BRALA20309
OG0000077	SCHMD17571	BRALA11472
OG0000077	SCHMD23576	BRALA30355, BRALA30354, BRALA30353, BRALA27919, BRALA16173, BRALA31380, BRALA32410, BRALA09728, BRALA00278, BRALA10708, BRALA22743, BRALA22531, BRALA27588, BRALA21944, BRALA21945
OG0000077	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499	BRALA35746, BRALA06424
OG0000077	SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624	BRALA09898
OG0000077	SCHMD27493	BRALA03171
OG0000077	SCHMD25666	BRALA35849
OG0000077	SCHMD20144	BRALA06425
OG0000078	SCHMD04824, SCHMD04525	BRALA02325
OG0000079	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114	BRALA00097, BRALA00109
OG0000079	SCHMD16559, SCHMD24052, SCHMD18199	BRALA18105
OG0000079	SCHMD06941, SCHMD04736	BRALA13477, BRALA00141, BRALA16237, BRALA25844, BRALA16235
OG0000080	SCHMD10387, SCHMD06434	BRALA16765, BRALA29553, BRALA02745, BRALA15989, BRALA02542
OG0000082	SCHMD03263, SCHMD10119	BRALA23665
OG0000082	SCHMD29028	BRALA10738
OG0000082	SCHMD03363	BRALA12025
OG0000082	SCHMD08895, SCHMD09092, SCHMD13034, SCHMD06892, SCHMD23210	BRALA12024
OG0000083	SCHMD16633	BRALA34234, BRALA06829
OG0000084	SCHMD19821, SCHMD23941, SCHMD23870	BRALA16357
OG0000084	SCHMD28183	BRALA06698, BRALA06701, BRALA06699
OG0000084	SCHMD28182, SCHMD25065, SCHMD21106	BRALA03784
OG0000085	SCHMD12837	BRALA35080, BRALA33501
OG0000085	SCHMD12836	BRALA35021
OG0000085	SCHMD12466	BRALA20574
OG0000087	SCHMD09408	BRALA14258
OG0000087	SCHMD23919	BRALA11394
OG0000087	SCHMD21804, SCHMD25814, SCHMD16934	BRALA11395
OG0000087	SCHMD17003, SCHMD07336	BRALA13093
OG0000087	SCHMD07337	BRALA20310
OG0000090	SCHMD10805, SCHMD21388	BRALA02609
OG0000090	SCHMD06769	BRALA09731
OG0000093	SCHMD03688, SCHMD07490	BRALA19443
OG0000093	SCHMD04238	BRALA28377, BRALA20522, BRALA17985, BRALA09980, BRALA27134, BRALA10169, BRALA26746, BRALA09214, BRALA09292, BRALA09217, BRALA09420, BRALA04873, BRALA21833, BRALA30465, BRALA09212, BRALA07003, BRALA04758, BRALA20840, BRALA13823, BRALA28274, BRALA31045, BRALA13918, BRALA16091, BRALA31189
OG0000093	SCHMD14744	BRALA17742, BRALA34625, BRALA10168, BRALA18179, BRALA28273, BRALA32179
OG0000093	SCHMD00352	BRALA01722
OG0000093	SCHMD02917	BRALA28375, BRALA33749
OG0000093	SCHMD01278, SCHMD01279, SCHMD01277, SCHMD05526, SCHMD06457, SCHMD10241, SCHMD12867, SCHMD09341, SCHMD22057, SCHMD07249, SCHMD07880, SCHMD11553, SCHMD07387, SCHMD04028	BRALA11908, BRALA24397, BRALA24396, BRALA11910, BRALA11909, BRALA28868, BRALA21888, BRALA08104, BRALA25999, BRALA23972, BRALA01382, BRALA01380, BRALA08219, BRALA08221, BRALA08220, BRALA11214, BRALA23556, BRALA22226, BRALA29727, BRALA11781, BRALA11780, BRALA23126, BRALA16469, BRALA00842, BRALA15704
OG0000094	SCHMD23746	BRALA34518
OG0000094	SCHMD21133, SCHMD07079	BRALA24093
OG0000094	SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375	BRALA09222
OG0000094	SCHMD07074, SCHMD27097	BRALA24092
OG0000095	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942, SCHMD01761	BRALA15122, BRALA25718, BRALA09730, BRALA09773, BRALA27146, BRALA20760, BRALA08842
OG0000096	SCHMD10033	BRALA02509, BRALA24883
OG0000097	SCHMD22037, SCHMD20326	BRALA05554, BRALA04778, BRALA14234, BRALA05553, BRALA14233, BRALA32615, BRALA14235, BRALA25549, BRALA20028
OG0000098	SCHMD29644, SCHMD22119	BRALA09558
OG0000099	SCHMD03930, SCHMD15019	BRALA05456, BRALA05455, BRALA15007, BRALA04427, BRALA28285, BRALA23905, BRALA22774, BRALA16697, BRALA06674, BRALA22893
OG0000099	SCHMD11735, SCHMD29475, SCHMD24883, SCHMD19972	BRALA35493
OG0000099	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543	BRALA15695, BRALA29540, BRALA29541
OG0000106	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496	BRALA03306, BRALA03304, BRALA03303, BRALA03302, BRALA03305, BRALA17617, BRALA24272, BRALA34814, BRALA05381, BRALA14365, BRALA14367
OG0000107	SCHMD04920, SCHMD23362, SCHMD21301, SCHMD11381, SCHMD05934	BRALA06444
OG0000107	SCHMD11257	BRALA25263
