Orthogroup	LYTVA_ok	AMPFI_ok
OG0000053	LYTVA_06917, LYTVA_09771, LYTVA_17452, LYTVA_20115, LYTVA_20116, LYTVA_00662, LYTVA_05209	AMPFI_00195
OG0000053	LYTVA_10743, LYTVA_12622, LYTVA_05055, LYTVA_03521, LYTVA_18088, LYTVA_00806	AMPFI_18591
OG0000053	LYTVA_15391	AMPFI_19168
OG0000053	LYTVA_18779, LYTVA_10493, LYTVA_28008, LYTVA_18776, LYTVA_09131	AMPFI_10666, AMPFI_20177
OG0000053	LYTVA_16852	AMPFI_24389, AMPFI_03879
OG0000054	LYTVA_11502, LYTVA_10035, LYTVA_09103	AMPFI_10274
OG0000055	LYTVA_08084	AMPFI_18462
OG0000055	LYTVA_05724, LYTVA_23050	AMPFI_10980
OG0000056	LYTVA_03272	AMPFI_10015
OG0000056	LYTVA_02051	AMPFI_06567, AMPFI_06885
OG0000056	LYTVA_23383, LYTVA_28840	AMPFI_21387
OG0000056	LYTVA_00266	AMPFI_13952, AMPFI_00302
OG0000057	LYTVA_05797, LYTVA_22815	AMPFI_01580, AMPFI_02256
OG0000058	LYTVA_15397	AMPFI_22601
OG0000058	LYTVA_14164	AMPFI_13098
OG0000058	LYTVA_05598, LYTVA_13005	AMPFI_05634
OG0000059	LYTVA_05676	AMPFI_17417, AMPFI_04404, AMPFI_21031, AMPFI_04726, AMPFI_09318
OG0000059	LYTVA_23483	AMPFI_02192, AMPFI_01329
OG0000060	LYTVA_30158, LYTVA_18098	AMPFI_23758
OG0000060	LYTVA_02319	AMPFI_19643
OG0000060	LYTVA_11689, LYTVA_07972	AMPFI_25991, AMPFI_02716
OG0000060	LYTVA_16681, LYTVA_27455, LYTVA_18661, LYTVA_15046, LYTVA_11690, LYTVA_27067, LYTVA_20469, LYTVA_27945, LYTVA_28067, LYTVA_19641, LYTVA_23621, LYTVA_28547, LYTVA_22653, LYTVA_18637, LYTVA_13960, LYTVA_15384	AMPFI_19058
OG0000062	LYTVA_15332	AMPFI_07777, AMPFI_07778
OG0000062	LYTVA_01528	AMPFI_06193
OG0000062	LYTVA_18550	AMPFI_05434
OG0000063	LYTVA_28622	AMPFI_21664
OG0000063	LYTVA_20066, LYTVA_07999	AMPFI_24747, AMPFI_13584
OG0000064	LYTVA_25756, LYTVA_19553, LYTVA_11533, LYTVA_25986, LYTVA_20628, LYTVA_08302, LYTVA_26954, LYTVA_23516, LYTVA_23510, LYTVA_23508, LYTVA_20029, LYTVA_23509, LYTVA_23514, LYTVA_23515, LYTVA_23517, LYTVA_19853, LYTVA_19855, LYTVA_08702, LYTVA_12533, LYTVA_19854, LYTVA_18448, LYTVA_23953, LYTVA_01963	AMPFI_19990
OG0000064	LYTVA_26515, LYTVA_14352, LYTVA_25713, LYTVA_07922, LYTVA_29165, LYTVA_14963, LYTVA_01763, LYTVA_05680, LYTVA_01518, LYTVA_16673, LYTVA_20353, LYTVA_07078, LYTVA_28733	AMPFI_15929, AMPFI_24526, AMPFI_22622
OG0000064	LYTVA_17742, LYTVA_01814, LYTVA_24882, LYTVA_11536, LYTVA_13973, LYTVA_29064, LYTVA_20961, LYTVA_12243, LYTVA_20960, LYTVA_14350, LYTVA_14353	AMPFI_22486
OG0000065	LYTVA_24579	AMPFI_23067
OG0000066	LYTVA_01899	AMPFI_16063
OG0000066	LYTVA_28191	AMPFI_19169
OG0000066	LYTVA_14724	AMPFI_09400
OG0000067	LYTVA_00141, LYTVA_19952, LYTVA_28647	AMPFI_04770
OG0000067	LYTVA_07502, LYTVA_25538	AMPFI_09466, AMPFI_18191, AMPFI_01682
OG0000067	LYTVA_09112, LYTVA_09554, LYTVA_15190	AMPFI_10236
OG0000067	LYTVA_26045	AMPFI_12403
OG0000068	LYTVA_29801, LYTVA_20828	AMPFI_16312
OG0000068	LYTVA_07218, LYTVA_11696, LYTVA_13367, LYTVA_16452, LYTVA_16451, LYTVA_16446, LYTVA_11505, LYTVA_21833, LYTVA_15019, LYTVA_02519, LYTVA_23071, LYTVA_16450	AMPFI_23414, AMPFI_23547, AMPFI_24987, AMPFI_02102, AMPFI_23184, AMPFI_04648, AMPFI_15422, AMPFI_22045, AMPFI_24986, AMPFI_14044, AMPFI_25888, AMPFI_25645, AMPFI_12166
OG0000068	LYTVA_22369	AMPFI_21287
OG0000068	LYTVA_23647	AMPFI_06879
OG0000069	LYTVA_15781	AMPFI_08415
OG0000069	LYTVA_28251, LYTVA_19634, LYTVA_18557	AMPFI_07519
OG0000069	LYTVA_07535	AMPFI_12140
OG0000069	LYTVA_16092, LYTVA_19233, LYTVA_24451, LYTVA_10412, LYTVA_00397, LYTVA_12821	AMPFI_20704, AMPFI_07178
OG0000072	LYTVA_16436	AMPFI_20479
OG0000072	LYTVA_23422	AMPFI_21820
OG0000072	LYTVA_09419	AMPFI_10116
OG0000073	LYTVA_08820, LYTVA_28046	AMPFI_17720, AMPFI_09678
OG0000073	LYTVA_01047, LYTVA_24568	AMPFI_15154
OG0000073	LYTVA_03728	AMPFI_10119
OG0000074	LYTVA_27116, LYTVA_29211	AMPFI_09812
