Orthogroup	XENTR	HELIO_ok
OG0000078	XENTR05046, XENTR08333, XENTR08953, XENTR08952	HELIO_04372, HELIO_06334, HELIO_11613, HELIO_04314, HELIO_00570
OG0000078	XENTR19100	HELIO_02467
OG0000079	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648	HELIO_01794, HELIO_05740
OG0000079	XENTR01194	HELIO_00549
OG0000079	XENTR15371	HELIO_01744, HELIO_07509
OG0000081	XENTR18129, XENTR18128, XENTR18130, XENTR17315, XENTR17314, XENTR18127, XENTR17316, XENTR16305, XENTR17318, XENTR17317	HELIO_00244
OG0000082	XENTR16096	HELIO_12249
OG0000082	XENTR01624, XENTR01625	HELIO_08556
OG0000085	XENTR01729, XENTR03138	HELIO_02405
OG0000085	XENTR04052, XENTR12507	HELIO_05344
OG0000085	XENTR12352, XENTR12351	HELIO_11582
OG0000087	XENTR17246	HELIO_02848, HELIO_02847, HELIO_02846
OG0000087	XENTR13447, XENTR13446	HELIO_09425
OG0000087	XENTR06736	HELIO_04335
OG0000087	XENTR07023	HELIO_00773
OG0000087	XENTR06016	HELIO_06633
OG0000087	XENTR00988	HELIO_01983
OG0000087	XENTR18799	HELIO_06411, HELIO_07580
OG0000088	XENTR13149, XENTR04460, XENTR16769, XENTR11326, XENTR09069, XENTR10979, XENTR05948, XENTR02110	HELIO_00040, HELIO_06555, HELIO_11791, HELIO_06055, HELIO_05195, HELIO_00315, HELIO_08555, HELIO_06391, HELIO_08028
OG0000089	XENTR04109	HELIO_06684, HELIO_10658
OG0000090	XENTR11768	HELIO_12415
OG0000090	XENTR06545	HELIO_03859, HELIO_12616
OG0000091	XENTR08624	HELIO_06609
OG0000093	XENTR11592, XENTR02843, XENTR08380	HELIO_04928, HELIO_06889
OG0000094	XENTR10717, XENTR18065, XENTR15146	HELIO_07015
OG0000094	XENTR09915, XENTR14788, XENTR17591	HELIO_03878
OG0000096	XENTR02028, XENTR07076, XENTR03113	HELIO_07466
OG0000096	XENTR02339, XENTR11518	HELIO_03681
OG0000096	XENTR01880	HELIO_03321
OG0000096	XENTR18613	HELIO_06897
OG0000096	XENTR18353, XENTR11491, XENTR07413, XENTR11633	HELIO_03947
OG0000096	XENTR17893	HELIO_09595
OG0000098	XENTR05433, XENTR18578, XENTR17176	HELIO_07543
OG0000098	XENTR13786, XENTR13233, XENTR09318, XENTR06987	HELIO_00467, HELIO_11416
OG0000099	XENTR08245, XENTR06050, XENTR16324, XENTR11719, XENTR12540	HELIO_00318, HELIO_06995
OG0000099	XENTR08433	HELIO_00319
OG0000100	XENTR03308, XENTR15328	HELIO_08550
OG0000101	XENTR09885, XENTR05951	HELIO_03317
OG0000101	XENTR10544, XENTR10545	HELIO_11521
OG0000101	XENTR08772, XENTR05240, XENTR13420, XENTR13421, XENTR13418, XENTR13417, XENTR13424, XENTR13419, XENTR13422, XENTR13423, XENTR08771	HELIO_06274, HELIO_11624, HELIO_06876
OG0000102	XENTR10759, XENTR05530	HELIO_08564
OG0000103	XENTR12408, XENTR09108, XENTR09106, XENTR06370, XENTR18537, XENTR03858, XENTR09105, XENTR09107, XENTR09109, XENTR12407, XENTR12406, XENTR01493	HELIO_03996
OG0000103	XENTR11203, XENTR09120, XENTR09119, XENTR01361, XENTR05614	HELIO_12543
OG0000104	XENTR05699, XENTR11871	HELIO_04946
OG0000104	XENTR03188, XENTR10251	HELIO_03807
OG0000104	XENTR11872, XENTR05698	HELIO_05172
OG0000104	XENTR07142	HELIO_02282
OG0000104	XENTR02594, XENTR10789, XENTR16122	HELIO_00006
OG0000106	XENTR16525, XENTR07760, XENTR12554, XENTR12553, XENTR12551, XENTR12552, XENTR12555	HELIO_02364
