Orthogroup	XENTR	BRAFL
OG0000008	XENTR15138, XENTR01868, XENTR01869, XENTR18973, XENTR01867, XENTR06000, XENTR06001, XENTR05999, XENTR06002, XENTR18538, XENTR06119, XENTR06121, XENTR06120, XENTR06118, XENTR06122, XENTR06117, XENTR06116, XENTR06128, XENTR06124, XENTR06123, XENTR06133, XENTR06127, XENTR06131, XENTR06132, XENTR06129, XENTR06126, XENTR06125	bflo_18246, bflo_18438, bflo_17494, bflo_17234, bflo_17491, bflo_17495, bflo_05246, bflo_16441, bflo_26042, bflo_18070, bflo_16203, bflo_16234, bflo_16238, bflo_16233, bflo_16235, bflo_16231, bflo_16161, bflo_25263, bflo_24546
OG0000008	XENTR00105	bflo_12140
OG0000008	XENTR02826	bflo_11080
OG0000008	XENTR14482	bflo_20071
OG0000008	XENTR15536	bflo_17599
OG0000010	XENTR06633, XENTR06635, XENTR06634	bflo_01925, bflo_02047, bflo_02046, bflo_01877, bflo_01910, bflo_21331, bflo_22061, bflo_21857
OG0000010	XENTR08285, XENTR08284, XENTR12501, XENTR02618	bflo_25814, bflo_01084
OG0000010	XENTR15256, XENTR18623, XENTR15257, XENTR19183, XENTR15255, XENTR15237, XENTR11415, XENTR11414, XENTR18631, XENTR16282, XENTR15239, XENTR15238, XENTR18247, XENTR18250, XENTR18923, XENTR18245, XENTR18246, XENTR18248, XENTR18249	bflo_06245, bflo_06244, bflo_00460, bflo_18660, bflo_18213
OG0000011	XENTR06336, XENTR06335	bflo_27088, bflo_03175
OG0000012	XENTR00246, XENTR14489, XENTR13810, XENTR10002	bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370
OG0000012	XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256	bflo_14731, bflo_13607, bflo_24594
OG0000013	XENTR01071, XENTR01070, XENTR01094, XENTR01095, XENTR08287, XENTR08288, XENTR11527	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338
OG0000014	XENTR12243	bflo_15593, bflo_15583, bflo_06812, bflo_06282, bflo_09943, bflo_00188, bflo_05813, bflo_02920, bflo_08010, bflo_08009, bflo_26434, bflo_00922, bflo_18033, bflo_03941
OG0000014	XENTR09521	bflo_22331, bflo_22489, bflo_01842, bflo_22542, bflo_25978, bflo_21218, bflo_10799, bflo_22565, bflo_06456, bflo_22034, bflo_22564, bflo_21315, bflo_06680, bflo_02758, bflo_20044, bflo_19893
OG0000014	XENTR09147, XENTR00681	bflo_04326, bflo_04339, bflo_04331
OG0000014	XENTR14500	bflo_06816
OG0000015	XENTR10336, XENTR08668, XENTR08442	bflo_11749, bflo_12200, bflo_12395, bflo_12178, bflo_08868, bflo_08913, bflo_09485, bflo_09837, bflo_09947, bflo_12135, bflo_12473
OG0000015	XENTR15573, XENTR12597, XENTR03461, XENTR00415	bflo_14872
OG0000015	XENTR16072, XENTR03462, XENTR16073, XENTR12596, XENTR00414, XENTR17914	bflo_14874
OG0000015	XENTR13566, XENTR03288, XENTR15069	bflo_24142, bflo_23928, bflo_13822, bflo_22604, bflo_21321, bflo_22116, bflo_21512, bflo_22110, bflo_22066, bflo_22701, bflo_24955, bflo_17773, bflo_17747, bflo_17701, bflo_14970
OG0000016	XENTR01362, XENTR01363, XENTR07382	bflo_22718, bflo_13606, bflo_23097, bflo_23092
OG0000016	XENTR17802	bflo_12769
OG0000016	XENTR18390	bflo_20387
OG0000018	XENTR09178, XENTR08162, XENTR13012, XENTR02564, XENTR05956, XENTR09576, XENTR03694, XENTR00858, XENTR02889, XENTR06547, XENTR13927, XENTR13322, XENTR12397, XENTR08345, XENTR10008, XENTR11346, XENTR19127, XENTR10010	bflo_08031
OG0000019	XENTR14707	bflo_04872, bflo_04871
OG0000019	XENTR11604, XENTR11606, XENTR16393, XENTR01006, XENTR01005	bflo_22767, bflo_06001, bflo_05746, bflo_23533
OG0000019	XENTR07225, XENTR02749, XENTR04194	bflo_26518, bflo_26519, bflo_04870
OG0000019	XENTR03535	bflo_15319, bflo_14638, bflo_14407, bflo_14408, bflo_21582, bflo_05781, bflo_06551, bflo_06786, bflo_05478, bflo_06552, bflo_02039, bflo_04152, bflo_18281, bflo_02884, bflo_17342, bflo_17343, bflo_02918, bflo_02876, bflo_25580, bflo_02890, bflo_06715, bflo_06719, bflo_02868, bflo_04218, bflo_15434, bflo_14556
OG0000020	XENTR09200	bflo_12668
OG0000020	XENTR18565	bflo_19465
OG0000020	XENTR14576	bflo_17473, bflo_27211
OG0000020	XENTR00311	bflo_24908
OG0000020	XENTR13299	bflo_12267
OG0000020	XENTR15741	bflo_11497
OG0000020	XENTR07596	bflo_01316, bflo_26255, bflo_05601
OG0000020	XENTR04090	bflo_24504, bflo_09206, bflo_24474
OG0000020	XENTR15461, XENTR03248	bflo_09699, bflo_21336, bflo_13053, bflo_12684, bflo_25143, bflo_24001, bflo_22065, bflo_14513
OG0000020	XENTR04697	bflo_16368
OG0000020	XENTR07864, XENTR11783	bflo_14118
OG0000020	XENTR15846	bflo_14450
OG0000020	XENTR15636	bflo_00687
OG0000021	XENTR17791, XENTR16377	bflo_11723
OG0000021	XENTR11123, XENTR16378	bflo_11166, bflo_11165, bflo_11164
OG0000021	XENTR12641, XENTR02936	bflo_12821
OG0000021	XENTR18096, XENTR01150	bflo_20935
OG0000021	XENTR13705	bflo_27402, bflo_22537
OG0000021	XENTR13394, XENTR13393	bflo_22539, bflo_22305
OG0000021	XENTR00007	bflo_14957, bflo_14617, bflo_14568
OG0000021	XENTR13780, XENTR17333	bflo_15084, bflo_14963, bflo_15001, bflo_14964, bflo_14616, bflo_14965
OG0000023	XENTR02017, XENTR13173, XENTR18800, XENTR18648	bflo_10816, bflo_10061
OG0000023	XENTR00841	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512
OG0000023	XENTR15918, XENTR00481, XENTR16829, XENTR12543, XENTR17774, XENTR00784	bflo_20456
OG0000023	XENTR04037	bflo_20896
OG0000023	XENTR05209, XENTR05210	bflo_10033, bflo_02724, bflo_02807
OG0000026	XENTR07244, XENTR03079	bflo_26853, bflo_07376
OG0000027	XENTR00202, XENTR00203, XENTR00210, XENTR00209, XENTR00204, XENTR00208	bflo_00954, bflo_21377, bflo_21771, bflo_21770, bflo_21767, bflo_21295, bflo_27379, bflo_21769, bflo_21480, bflo_16406, bflo_21376, bflo_21766, bflo_20722, bflo_08571, bflo_13573, bflo_15160, bflo_18041, bflo_15157, bflo_15155, bflo_15156, bflo_01209, bflo_15798, bflo_12491, bflo_18645, bflo_18636, bflo_10841, bflo_00669, bflo_00360, bflo_26536, bflo_26537, bflo_19407, bflo_19400, bflo_19409, bflo_19408, bflo_19405, bflo_05073, bflo_08278, bflo_24610
OG0000028	XENTR03481	bflo_15045
OG0000028	XENTR17263	bflo_23186, bflo_23170, bflo_06699, bflo_04841
OG0000028	XENTR18279, XENTR05325	bflo_06411, bflo_06696, bflo_05765, bflo_05766, bflo_06406, bflo_05767, bflo_05958, bflo_06305, bflo_05959
OG0000028	XENTR05326, XENTR17548, XENTR15539, XENTR18293	bflo_06498, bflo_18107
OG0000028	XENTR17549, XENTR05379, XENTR05378	bflo_25761, bflo_19766, bflo_19099
OG0000028	XENTR10277, XENTR06737	bflo_06341
OG0000029	XENTR11755, XENTR10534	bflo_00742, bflo_13634, bflo_26557, bflo_21595, bflo_21596, bflo_08663, bflo_08664, bflo_03929, bflo_00132, bflo_10187, bflo_00840, bflo_00865, bflo_12518, bflo_00853, bflo_00841, bflo_00854, bflo_00848, bflo_00836, bflo_11153, bflo_10901, bflo_25901, bflo_24407
OG0000030	XENTR08639	bflo_05230
OG0000030	XENTR14147	bflo_25955
OG0000031	XENTR05405, XENTR03766	bflo_02624
OG0000031	XENTR08553, XENTR05384, XENTR03164	bflo_02501
OG0000031	XENTR03163	bflo_02849
OG0000031	XENTR09319	bflo_25562
OG0000031	XENTR00229	bflo_06369
OG0000031	XENTR02595, XENTR11133	bflo_11397
OG0000031	XENTR12584, XENTR00918	bflo_15458
OG0000031	XENTR00917, XENTR11778	bflo_15459
OG0000031	XENTR09425	bflo_02405
OG0000032	XENTR06599	bflo_12824, bflo_01429
OG0000032	XENTR17016	bflo_23561, bflo_23038, bflo_01635
OG0000032	XENTR03433	bflo_08328, bflo_07783, bflo_19844, bflo_19585, bflo_19127, bflo_19062, bflo_19061, bflo_19371, bflo_18653, bflo_19388
OG0000034	XENTR14967, XENTR08246, XENTR04943	bflo_20326
OG0000034	XENTR01252, XENTR11199, XENTR07072, XENTR12065	bflo_03308, bflo_13145
OG0000034	XENTR15456	bflo_05871
OG0000034	XENTR10156	bflo_03310
OG0000034	XENTR16254	bflo_07712, bflo_08443
OG0000034	XENTR08340	bflo_03379
OG0000035	XENTR05239	bflo_02157
OG0000035	XENTR07648	bflo_10385
OG0000035	XENTR17453, XENTR14129, XENTR07651, XENTR11799	bflo_09462
OG0000035	XENTR11381, XENTR11382, XENTR12076, XENTR01605	bflo_09767, bflo_09277
OG0000035	XENTR13293, XENTR09857	bflo_10386
OG0000036	XENTR16945, XENTR13571, XENTR05152	bflo_13405, bflo_09641, bflo_13747, bflo_13748
OG0000036	XENTR07761	bflo_13764, bflo_12886
OG0000036	XENTR12415, XENTR07272	bflo_13765, bflo_13767, bflo_03188
OG0000036	XENTR01038, XENTR15969	bflo_08259, bflo_08260, bflo_16423, bflo_16325
OG0000036	XENTR16237, XENTR16236, XENTR05174, XENTR07278	bflo_12806, bflo_12805
OG0000037	XENTR03868, XENTR16595, XENTR17072, XENTR05552, XENTR03023, XENTR14114	bflo_18550, bflo_02879
OG0000037	XENTR16580, XENTR14770, XENTR03861	bflo_10999
OG0000037	XENTR10865, XENTR10696	bflo_01343, bflo_01342
OG0000037	XENTR18131	bflo_10180
OG0000038	XENTR04197, XENTR04200	bflo_16788
OG0000038	XENTR04206	bflo_18855
OG0000038	XENTR16650	bflo_11477
OG0000039	XENTR17227	bflo_25339, bflo_22047, bflo_13127, bflo_13500, bflo_25066, bflo_24169
OG0000039	XENTR17697	bflo_15832
OG0000040	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473	bflo_18120, bflo_22334, bflo_22335, bflo_22336, bflo_18296, bflo_21600, bflo_21601, bflo_19151, bflo_22337, bflo_22516, bflo_10596, bflo_03642, bflo_03265, bflo_03263, bflo_03262, bflo_09253, bflo_09254, bflo_10559, bflo_12515, bflo_12514, bflo_21148, bflo_10618, bflo_07354, bflo_26520, bflo_13862, bflo_03226, bflo_18603, bflo_08965, bflo_03641, bflo_03272
OG0000041	XENTR03001, XENTR09331, XENTR13929, XENTR05159, XENTR10869	bflo_05956
OG0000042	XENTR01504, XENTR14467, XENTR14468, XENTR15648, XENTR15649, XENTR17040, XENTR14343, XENTR15647, XENTR14466, XENTR15510, XENTR10643, XENTR01537, XENTR16342, XENTR16340, XENTR16341, XENTR15423, XENTR15424	bflo_10929, bflo_25898, bflo_02971, bflo_02974, bflo_03714, bflo_26102, bflo_03006, bflo_22040, bflo_03610, bflo_26101, bflo_02981, bflo_11796, bflo_02991, bflo_03706, bflo_26342, bflo_25465, bflo_00903
OG0000043	XENTR13561, XENTR13559	bflo_19214
OG0000044	XENTR04256	bflo_07748
OG0000045	XENTR06990	bflo_03910
OG0000046	XENTR04959	bflo_09128, bflo_05621
OG0000046	XENTR17142, XENTR08235, XENTR05674, XENTR16277	bflo_12973, bflo_25564, bflo_11116, bflo_21984
OG0000048	XENTR03701	bflo_15152
OG0000048	XENTR18412	bflo_07462
OG0000048	XENTR04117	bflo_17669
OG0000048	XENTR05160	bflo_20353
OG0000049	XENTR00212, XENTR08482	bflo_17665
OG0000049	XENTR07031, XENTR06401	bflo_12099
OG0000049	XENTR01319, XENTR18684, XENTR07961, XENTR13014	bflo_12470, bflo_11081
OG0000049	XENTR07960	bflo_17096, bflo_11847
OG0000050	XENTR17952, XENTR07342, XENTR01845, XENTR01386, XENTR11958, XENTR03951, XENTR08402, XENTR03429, XENTR15018, XENTR17520, XENTR02104	bflo_05159, bflo_06071, bflo_13661, bflo_23087, bflo_25684, bflo_00569, bflo_19319
OG0000051	XENTR08842	bflo_08711
OG0000052	XENTR09745, XENTR16766, XENTR16795	bflo_05328, bflo_02741
OG0000053	XENTR00094	bflo_21932, bflo_21926, bflo_18879, bflo_19026
OG0000054	XENTR04962, XENTR04961	bflo_04388
OG0000054	XENTR00035, XENTR00034, XENTR00033, XENTR00032	bflo_20488, bflo_15707, bflo_15703, bflo_15905, bflo_15752, bflo_23344, bflo_22720, bflo_19106, bflo_09085, bflo_09133, bflo_05501, bflo_06007, bflo_03912, bflo_17229, bflo_17691, bflo_18295, bflo_18294, bflo_26044, bflo_24306, bflo_10355, bflo_13684, bflo_13746, bflo_10411, bflo_13726, bflo_13740, bflo_13675, bflo_13693, bflo_25983, bflo_26141, bflo_25284
OG0000055	XENTR15661, XENTR14985, XENTR15663, XENTR15655, XENTR15666, XENTR15669, XENTR17995, XENTR17898, XENTR19084	bflo_23399
OG0000056	XENTR00781	bflo_15952
OG0000057	XENTR04236, XENTR01413, XENTR01414	bflo_15406, bflo_07670, bflo_18359, bflo_16293, bflo_17114, bflo_13221
OG0000058	XENTR09300	bflo_24517
OG0000058	XENTR11839	bflo_09194
OG0000058	XENTR16040, XENTR02416, XENTR06707	bflo_24603, bflo_01016, bflo_16790, bflo_24608, bflo_23137, bflo_07524, bflo_08605, bflo_23941, bflo_23940, bflo_23938, bflo_27442, bflo_23937, bflo_23936, bflo_23939, bflo_23943, bflo_23942, bflo_23935
OG0000058	XENTR13842, XENTR00121	bflo_23048, bflo_23141
OG0000059	XENTR11924, XENTR13190	bflo_15172
OG0000059	XENTR09381	bflo_21855
OG0000059	XENTR06961, XENTR16370	bflo_13996, bflo_14747
OG0000060	XENTR09513	bflo_01659, bflo_06661
OG0000060	XENTR11489, XENTR04114, XENTR08957	bflo_01384
OG0000061	XENTR00116, XENTR05367	bflo_18545
OG0000061	XENTR09403, XENTR06949, XENTR06950, XENTR12872	bflo_19266, bflo_18688, bflo_18686, bflo_18896
OG0000061	XENTR09801, XENTR02075, XENTR01801, XENTR17074, XENTR09112, XENTR16336, XENTR06851, XENTR10614, XENTR06288	bflo_18999, bflo_19344
OG0000061	XENTR10609, XENTR10747	bflo_19609, bflo_18544, bflo_19608, bflo_19290
OG0000062	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496	bflo_17250, bflo_01624
OG0000062	XENTR09512	bflo_13529
OG0000063	XENTR04708	bflo_25923
OG0000063	XENTR08048, XENTR02007	bflo_26112, bflo_25384, bflo_25322, bflo_25330, bflo_25162, bflo_25268, bflo_25241, bflo_25374, bflo_05397, bflo_25266, bflo_25753
OG0000066	XENTR18882	bflo_04761, bflo_11842
OG0000067	XENTR14086	bflo_06923, bflo_06916, bflo_24559, bflo_02686, bflo_17376, bflo_24606, bflo_18581, bflo_07727, bflo_04022, bflo_03936
OG0000069	XENTR15529	bflo_20543, bflo_20542, bflo_20541, bflo_27333
OG0000069	XENTR18834	bflo_23212
OG0000069	XENTR16269	bflo_05168, bflo_23210
OG0000070	XENTR15503, XENTR11143, XENTR02048	bflo_17097, bflo_18391, bflo_18274
OG0000070	XENTR00314, XENTR18775, XENTR18776, XENTR05723, XENTR09834	bflo_19712, bflo_19610, bflo_18938, bflo_18939, bflo_18680, bflo_18677, bflo_08024, bflo_18676, bflo_06405, bflo_17765, bflo_24928, bflo_03653, bflo_13031, bflo_19530, bflo_18681, bflo_18560, bflo_19218, bflo_19322, bflo_19716, bflo_18678, bflo_18529, bflo_05505, bflo_19611, bflo_01821, bflo_08623, bflo_19607, bflo_03948, bflo_15003, bflo_25235
OG0000071	XENTR09995, XENTR01851, XENTR10875	bflo_24861
OG0000072	XENTR15041, XENTR13953	bflo_14354
OG0000072	XENTR03548, XENTR18546	bflo_14484, bflo_04637
OG0000072	XENTR01057	bflo_14474
OG0000073	XENTR03608, XENTR03610, XENTR03611, XENTR03612	bflo_23562
OG0000073	XENTR03006, XENTR09344, XENTR05966, XENTR05967, XENTR09343	bflo_15886
OG0000073	XENTR13665	bflo_10835
OG0000074	XENTR10798, XENTR10797, XENTR11114	bflo_10921
OG0000074	XENTR14396	bflo_14737
OG0000075	XENTR02757, XENTR11353, XENTR12610	bflo_02192
OG0000075	XENTR06215	bflo_02607
OG0000075	XENTR09250	bflo_24625
OG0000075	XENTR14285, XENTR05936	bflo_21844
OG0000075	XENTR04179, XENTR06216	bflo_02487
OG0000075	XENTR01223, XENTR05975	bflo_12189
OG0000075	XENTR10723	bflo_11040
OG0000075	XENTR06816, XENTR17547, XENTR16124	bflo_12166
OG0000075	XENTR05986, XENTR05987	bflo_11652
OG0000077	XENTR06888, XENTR17790, XENTR02687	bflo_09725
