Orthogroup	XENTR	BRALA
OG0000042	XENTR01504, XENTR14467, XENTR14468, XENTR15648, XENTR15649, XENTR17040, XENTR14343, XENTR15647, XENTR14466, XENTR15510, XENTR10643, XENTR01537, XENTR16342, XENTR16340, XENTR16341, XENTR15423, XENTR15424	BRALA27880, BRALA05311, BRALA25919, BRALA28670, BRALA19166, BRALA23184, BRALA28669, BRALA16191, BRALA25918, BRALA30415, BRALA29610, BRALA04826, BRALA22020, BRALA21500, BRALA22237, BRALA26652
OG0000043	XENTR13561, XENTR13559	BRALA09159
OG0000044	XENTR04256	BRALA27747
OG0000045	XENTR06990	BRALA19490, BRALA19482
OG0000046	XENTR04959	BRALA28946
OG0000046	XENTR17142, XENTR08235, XENTR05674, XENTR16277	BRALA00828, BRALA17402, BRALA17400
OG0000047	XENTR07962	BRALA32269
OG0000048	XENTR03701	BRALA08224
OG0000048	XENTR18412	BRALA06772
OG0000048	XENTR04117	BRALA17809
OG0000048	XENTR05160	BRALA10830
OG0000049	XENTR00212, XENTR08482	BRALA08950, BRALA08951
OG0000049	XENTR07031, XENTR06401	BRALA15334
OG0000049	XENTR01319, XENTR18684, XENTR07961, XENTR13014	BRALA15336, BRALA15335
OG0000049	XENTR07960	BRALA16919, BRALA35874, BRALA15337
OG0000050	XENTR17952, XENTR07342, XENTR01845, XENTR01386, XENTR11958, XENTR03951, XENTR08402, XENTR03429, XENTR15018, XENTR17520, XENTR02104	BRALA27959, BRALA01945, BRALA33449, BRALA32066, BRALA01944, BRALA30000, BRALA21559, BRALA15438, BRALA30119
OG0000051	XENTR08842	BRALA17952
OG0000052	XENTR09745, XENTR16766, XENTR16795	BRALA14154, BRALA03903, BRALA35146
OG0000053	XENTR00094	BRALA16213, BRALA07330
OG0000054	XENTR04962, XENTR04961	BRALA02118
OG0000054	XENTR00035, XENTR00034, XENTR00033, XENTR00032	BRALA12332, BRALA22995, BRALA22164, BRALA21314, BRALA18426, BRALA25220, BRALA21960, BRALA06303, BRALA29468, BRALA09095, BRALA20505, BRALA23115, BRALA28620, BRALA24808, BRALA15699, BRALA01267, BRALA17804, BRALA17806, BRALA00882, BRALA05257
OG0000055	XENTR15661, XENTR14985, XENTR15663, XENTR15655, XENTR15666, XENTR15669, XENTR17995, XENTR17898, XENTR19084	BRALA13087
OG0000056	XENTR00781	BRALA21309
OG0000057	XENTR04236, XENTR01413, XENTR01414	BRALA05192, BRALA22206, BRALA11691, BRALA27516, BRALA21236
OG0000058	XENTR09300	BRALA29633
OG0000058	XENTR11839	BRALA24063
OG0000058	XENTR16220	BRALA14300, BRALA24917, BRALA27306, BRALA14302
OG0000058	XENTR16040, XENTR02416, XENTR06707	BRALA25998, BRALA27305, BRALA06328, BRALA03972, BRALA06644, BRALA08742, BRALA24463, BRALA24460
OG0000058	XENTR13842, XENTR00121	BRALA11173, BRALA06327
OG0000059	XENTR11924, XENTR13190	BRALA13206
OG0000059	XENTR09381	BRALA11568
OG0000059	XENTR06961, XENTR16370	BRALA19963, BRALA20366
OG0000060	XENTR09513	BRALA01718
OG0000061	XENTR00116, XENTR05367	BRALA07400
OG0000061	XENTR09403, XENTR06949, XENTR06950, XENTR12872	BRALA23690, BRALA23691, BRALA23692, BRALA33700, BRALA14844
OG0000061	XENTR09801, XENTR02075, XENTR01801, XENTR17074, XENTR09112, XENTR16336, XENTR06851, XENTR10614, XENTR06288	BRALA22663, BRALA26552, BRALA22659, BRALA26551, BRALA26563
OG0000061	XENTR10609, XENTR10747	BRALA09017, BRALA07401, BRALA14793, BRALA14792
OG0000062	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496	BRALA21141, BRALA30349, BRALA21142
OG0000062	XENTR09512	BRALA31607
OG0000063	XENTR04708	BRALA00957
OG0000063	XENTR08048, XENTR02007	BRALA04998, BRALA01208, BRALA05262, BRALA05245, BRALA05098, BRALA01012, BRALA05297
OG0000066	XENTR18882	BRALA25733
OG0000067	XENTR14086	BRALA20114, BRALA23146, BRALA20125, BRALA07853, BRALA09449
OG0000067	XENTR13783, XENTR04874	BRALA35634, BRALA09451
OG0000068	XENTR06812, XENTR11294, XENTR01321, XENTR07981, XENTR06611	BRALA17343
OG0000069	XENTR15529	BRALA31904, BRALA27769, BRALA28929
OG0000069	XENTR18834	BRALA06442
OG0000069	XENTR16269	BRALA06255, BRALA22501
OG0000070	XENTR15503, XENTR11143, XENTR02048	BRALA19019, BRALA19027, BRALA19020
OG0000070	XENTR00314, XENTR18775, XENTR18776, XENTR05723, XENTR09834	BRALA24904, BRALA14166, BRALA14168, BRALA14506, BRALA14507, BRALA14508, BRALA00869, BRALA13923, BRALA21904, BRALA31816, BRALA28174, BRALA29611, BRALA33117, BRALA16447, BRALA14504, BRALA14505, BRALA15434, BRALA07382, BRALA09112, BRALA15447, BRALA14512, BRALA07371, BRALA14167, BRALA10327, BRALA03588, BRALA09032, BRALA02167, BRALA22763, BRALA01254
OG0000071	XENTR09995, XENTR01851, XENTR10875	BRALA05660
OG0000072	XENTR03548, XENTR18546	BRALA12631
OG0000072	XENTR01057	BRALA33639, BRALA31916
OG0000073	XENTR13665	BRALA22888
OG0000074	XENTR14396	BRALA08058
OG0000075	XENTR02757, XENTR11353, XENTR12610	BRALA11316
OG0000075	XENTR06215	BRALA07062
OG0000075	XENTR09250	BRALA18754
OG0000075	XENTR14285, XENTR05936	BRALA16174
OG0000075	XENTR04179, XENTR06216	BRALA11318
OG0000075	XENTR01223, XENTR05975	BRALA17353, BRALA17352
OG0000075	XENTR10723	BRALA20309
OG0000075	XENTR06816, XENTR17547, XENTR16124	BRALA25719
OG0000075	XENTR05986, XENTR05987	BRALA17324
OG0000077	XENTR06888, XENTR17790, XENTR02687	BRALA11472
OG0000077	XENTR10451	BRALA02324
OG0000077	XENTR01904, XENTR08754, XENTR13403	BRALA30355, BRALA30354, BRALA30353, BRALA27919, BRALA16173, BRALA31380, BRALA32410, BRALA09728, BRALA00278, BRALA10708, BRALA22743, BRALA22531, BRALA27588, BRALA21944, BRALA21945
OG0000077	XENTR07875, XENTR00642, XENTR04757	BRALA35746, BRALA06424
OG0000078	XENTR16140	BRALA17098
