Orthogroup	XENTR	ORYLA
OG0000008	XENTR00356	ORYLA06647, ORYLA13248
OG0000008	XENTR18145, XENTR18144, XENTR18146, XENTR18147	ORYLA00582
OG0000008	XENTR07747	ORYLA02437
OG0000008	XENTR00105	ORYLA01591, ORYLA05589, ORYLA06938
OG0000008	XENTR02826	ORYLA13726
OG0000008	XENTR02855	ORYLA11025
OG0000008	XENTR14482	ORYLA15397
OG0000008	XENTR14453	ORYLA01388
OG0000008	XENTR15536	ORYLA01552, ORYLA11813
OG0000010	XENTR03796, XENTR03794, XENTR03795, XENTR03797	ORYLA14018, ORYLA14016, ORYLA14015, ORYLA14017
OG0000010	XENTR17402, XENTR17403, XENTR17056, XENTR19172	ORYLA15599, ORYLA15600
OG0000010	XENTR06633, XENTR06635, XENTR06634	ORYLA12063
OG0000010	XENTR13805	ORYLA09104, ORYLA13024
OG0000010	XENTR08285, XENTR08284	ORYLA06010
OG0000010	XENTR02618	ORYLA03414
OG0000010	XENTR13366, XENTR13367, XENTR13368, XENTR13360, XENTR13363, XENTR18987, XENTR13365, XENTR13362, XENTR13361, XENTR14666, XENTR14667, XENTR13349, XENTR15864, XENTR13352, XENTR13346, XENTR13354, XENTR13358, XENTR13359	ORYLA07950, ORYLA16250, ORYLA16252, ORYLA16251, ORYLA16253, ORYLA07946, ORYLA07947, ORYLA19018, ORYLA07556, ORYLA07557, ORYLA07940, ORYLA16255, ORYLA16310, ORYLA16306, ORYLA16308, ORYLA16304, ORYLA16305, ORYLA16303, ORYLA16307, ORYLA16319, ORYLA16309
OG0000010	XENTR04584, XENTR06998, XENTR03807	ORYLA15708
OG0000010	XENTR18247, XENTR18250, XENTR18923, XENTR18245, XENTR18246, XENTR18248	ORYLA20398
OG0000010	XENTR18249	ORYLA05923, ORYLA05924
OG0000012	XENTR13810	ORYLA07628
OG0000012	XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256	ORYLA15199
OG0000013	XENTR04875	ORYLA00386
OG0000013	XENTR01071, XENTR01070, XENTR01094, XENTR01095	ORYLA20078, ORYLA06697, ORYLA06696
OG0000013	XENTR08287, XENTR08288	ORYLA19175, ORYLA17235
OG0000013	XENTR11527	ORYLA08330, ORYLA16166, ORYLA16167, ORYLA07272, ORYLA19251, ORYLA12627, ORYLA12626, ORYLA19586, ORYLA04041, ORYLA12625
OG0000014	XENTR12243	ORYLA07442
OG0000014	XENTR01230	ORYLA13996, ORYLA16200
OG0000014	XENTR14320	ORYLA10845
OG0000014	XENTR11284	ORYLA16010
OG0000014	XENTR09795	ORYLA17181
OG0000014	XENTR13716	ORYLA08263
OG0000014	XENTR09521	ORYLA04835, ORYLA19923
OG0000014	XENTR18803, XENTR09297	ORYLA04907
OG0000014	XENTR09147	ORYLA11600
OG0000014	XENTR00681	ORYLA01088
OG0000014	XENTR14500	ORYLA07812, ORYLA17200
OG0000015	XENTR05642	ORYLA00867, ORYLA20430
OG0000015	XENTR10336, XENTR08668	ORYLA04638
OG0000015	XENTR15573	ORYLA19973
OG0000015	XENTR12597	ORYLA04332
OG0000015	XENTR03461	ORYLA10753
OG0000015	XENTR14250	ORYLA11923, ORYLA10179
OG0000015	XENTR15058	ORYLA11921
OG0000015	XENTR02840	ORYLA08817, ORYLA04154
OG0000015	XENTR16072	ORYLA03899
OG0000015	XENTR03462	ORYLA01414
OG0000015	XENTR16073	ORYLA19970
OG0000015	XENTR12596	ORYLA04333
OG0000015	XENTR00414	ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513
OG0000015	XENTR17914	ORYLA01230, ORYLA01413, ORYLA19971
OG0000015	XENTR13566	ORYLA09940, ORYLA09941
OG0000015	XENTR03288	ORYLA18852
OG0000015	XENTR15069	ORYLA01514
OG0000016	XENTR10586	ORYLA00945
OG0000016	XENTR01362	ORYLA17171
OG0000016	XENTR01363	ORYLA00784
OG0000016	XENTR07382	ORYLA19764
OG0000016	XENTR09539, XENTR00630	ORYLA05054
OG0000016	XENTR12717	ORYLA09921
OG0000016	XENTR17802	ORYLA00030
OG0000016	XENTR18390	ORYLA15380
OG0000018	XENTR09178, XENTR08162, XENTR13012, XENTR02564, XENTR05956, XENTR09576, XENTR03694, XENTR00858, XENTR02889, XENTR06547, XENTR13927, XENTR13322, XENTR12397, XENTR08345, XENTR10008, XENTR11346, XENTR19127, XENTR10010	ORYLA02836, ORYLA14501
OG0000018	XENTR19228, XENTR16288, XENTR15347, XENTR15469	ORYLA18860, ORYLA00684, ORYLA17944
OG0000019	XENTR14707	ORYLA16405, ORYLA07040
OG0000019	XENTR04194	ORYLA20089, ORYLA20088
OG0000020	XENTR09200	ORYLA09327
OG0000020	XENTR18565	ORYLA12531
OG0000020	XENTR14576	ORYLA10559
OG0000020	XENTR00311	ORYLA06663
OG0000020	XENTR13299	ORYLA16080
OG0000020	XENTR15741	ORYLA02155, ORYLA05512
OG0000020	XENTR07596	ORYLA11359
OG0000020	XENTR04090	ORYLA19795
OG0000020	XENTR05411	ORYLA09855
OG0000020	XENTR15461, XENTR03248	ORYLA06900
OG0000020	XENTR03249	ORYLA09950
OG0000020	XENTR04697	ORYLA06780
OG0000020	XENTR07864	ORYLA01097
OG0000020	XENTR11783	ORYLA00349
OG0000020	XENTR08063	ORYLA15647
OG0000020	XENTR05660	ORYLA00505
OG0000020	XENTR15846	ORYLA02546
OG0000020	XENTR15636	ORYLA06519
OG0000021	XENTR17791	ORYLA13904, ORYLA15936
OG0000021	XENTR16377	ORYLA11094
OG0000021	XENTR06809	ORYLA20207
OG0000021	XENTR02794	ORYLA15834
OG0000021	XENTR11123	ORYLA15878, ORYLA14141
OG0000021	XENTR16378	ORYLA11096, ORYLA11095, ORYLA10930, ORYLA14683, ORYLA13905
OG0000021	XENTR12641	ORYLA12641
OG0000021	XENTR02936	ORYLA05479
OG0000021	XENTR18096	ORYLA03698
OG0000021	XENTR01150	ORYLA17601
OG0000021	XENTR13705	ORYLA12092
OG0000021	XENTR13394, XENTR13393	ORYLA14389
OG0000021	XENTR00007	ORYLA06753
OG0000021	XENTR13780, XENTR17333	ORYLA04245
OG0000023	XENTR13173, XENTR18800	ORYLA08126
OG0000023	XENTR00841	ORYLA02861, ORYLA18687
OG0000023	XENTR15918	ORYLA06733, ORYLA07486
OG0000023	XENTR00481	ORYLA12741, ORYLA15296
OG0000023	XENTR16829	ORYLA13800
OG0000023	XENTR12543	ORYLA07073, ORYLA08963
OG0000023	XENTR17774	ORYLA07951
OG0000023	XENTR00784	ORYLA02776
OG0000023	XENTR04037	ORYLA03601
OG0000023	XENTR05209, XENTR05210	ORYLA14352, ORYLA16095
OG0000023	XENTR05773	ORYLA03721
OG0000023	XENTR05778	ORYLA03720
OG0000023	XENTR12643	ORYLA12643
OG0000023	XENTR01709, XENTR01708	ORYLA15685
OG0000024	XENTR04811, XENTR06883, XENTR09943, XENTR01595, XENTR09488	ORYLA12557, ORYLA19130, ORYLA18208, ORYLA03774, ORYLA18873, ORYLA03822, ORYLA04064
OG0000026	XENTR07244	ORYLA09539
OG0000027	XENTR03739	ORYLA12309
OG0000027	XENTR10928, XENTR05419, XENTR05696, XENTR05695	ORYLA08306
OG0000027	XENTR17763, XENTR19186, XENTR19205, XENTR15608, XENTR17760, XENTR17761, XENTR17759, XENTR18667, XENTR19288	ORYLA07922
OG0000027	XENTR11639, XENTR18028, XENTR18027, XENTR18029	ORYLA15904, ORYLA15903
OG0000027	XENTR00202, XENTR00203, XENTR00210, XENTR00209, XENTR00204, XENTR00208	ORYLA04739
OG0000028	XENTR03481	ORYLA01165
OG0000028	XENTR17263	ORYLA03205, ORYLA04463
OG0000028	XENTR18279	ORYLA01107, ORYLA00838, ORYLA05731
OG0000028	XENTR05325	ORYLA12623
OG0000028	XENTR05326	ORYLA12624
OG0000028	XENTR17548	ORYLA00837, ORYLA01106
OG0000028	XENTR15539	ORYLA11312
OG0000028	XENTR18293	ORYLA15414
OG0000028	XENTR17549	ORYLA01105, ORYLA00835
OG0000028	XENTR05379, XENTR05378	ORYLA09887, ORYLA09886, ORYLA04684
OG0000028	XENTR10277	ORYLA20303, ORYLA20302
OG0000028	XENTR06737	ORYLA00834, ORYLA01103
OG0000029	XENTR07438, XENTR16899	ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293
OG0000029	XENTR09562	ORYLA15257
OG0000029	XENTR09646	ORYLA13110
OG0000029	XENTR13058	ORYLA04764, ORYLA00213
OG0000029	XENTR12335	ORYLA03112
OG0000029	XENTR11755	ORYLA15906
OG0000029	XENTR08766	ORYLA08651, ORYLA09837
OG0000030	XENTR08639	ORYLA18077
OG0000030	XENTR18219	ORYLA01628, ORYLA19626
OG0000030	XENTR14147	ORYLA07170
OG0000030	XENTR14281	ORYLA03718
OG0000030	XENTR00656	ORYLA07582
OG0000030	XENTR05598	ORYLA07744, ORYLA16997
OG0000030	XENTR12816	ORYLA08220
OG0000031	XENTR12583	ORYLA04590
OG0000031	XENTR05405	ORYLA09861
OG0000031	XENTR03766	ORYLA15740
OG0000031	XENTR08553	ORYLA13928
OG0000031	XENTR05384	ORYLA09882
OG0000031	XENTR03164	ORYLA05598
OG0000031	XENTR10836	ORYLA18563
OG0000031	XENTR03163	ORYLA01770
OG0000031	XENTR09319	ORYLA14932
OG0000031	XENTR06988	ORYLA17720
OG0000031	XENTR00229	ORYLA10394, ORYLA11971
OG0000031	XENTR02595	ORYLA14237
OG0000031	XENTR12584	ORYLA04591
OG0000031	XENTR00918	ORYLA04917
OG0000031	XENTR00006	ORYLA06754
OG0000031	XENTR16792	ORYLA07156
OG0000031	XENTR04300	ORYLA02513
OG0000031	XENTR11778	ORYLA00346
OG0000031	XENTR09425	ORYLA09459, ORYLA08614
OG0000032	XENTR06599	ORYLA09076, ORYLA06417
OG0000032	XENTR18392	ORYLA14771, ORYLA03482
OG0000032	XENTR06098	ORYLA12826
OG0000032	XENTR03124	ORYLA14976, ORYLA12717
OG0000032	XENTR17016	ORYLA15502
OG0000034	XENTR14967	ORYLA07927, ORYLA16241
OG0000034	XENTR08246	ORYLA02286, ORYLA17781
OG0000034	XENTR11418, XENTR11419	ORYLA16358
OG0000034	XENTR10883	ORYLA12476, ORYLA15138
OG0000034	XENTR07417	ORYLA11195, ORYLA16147
OG0000034	XENTR01252	ORYLA14023, ORYLA15996
OG0000034	XENTR11199, XENTR07072	ORYLA11192, ORYLA14993
OG0000034	XENTR12065	ORYLA14558
OG0000034	XENTR15456	ORYLA07312
OG0000034	XENTR10156	ORYLA12339, ORYLA14860
OG0000034	XENTR16254	ORYLA19697
OG0000034	XENTR08340	ORYLA14655
OG0000035	XENTR05239	ORYLA16101
OG0000035	XENTR05079	ORYLA17474
OG0000035	XENTR05317	ORYLA12588, ORYLA14952
OG0000035	XENTR07648	ORYLA14870, ORYLA12119
OG0000035	XENTR17453	ORYLA18031
OG0000035	XENTR14129	ORYLA17191
OG0000035	XENTR11799	ORYLA15336, ORYLA11216
OG0000035	XENTR11499	ORYLA11278
OG0000035	XENTR11381, XENTR11382	ORYLA13992
OG0000035	XENTR12076	ORYLA14838, ORYLA12754
OG0000035	XENTR01605	ORYLA14991, ORYLA14992, ORYLA11268
OG0000035	XENTR09858	ORYLA14782, ORYLA12073, ORYLA12074
OG0000035	XENTR13293, XENTR09857	ORYLA17117, ORYLA14783
OG0000036	XENTR16945	ORYLA07477
OG0000036	XENTR13571	ORYLA12738
OG0000036	XENTR05152	ORYLA06564
OG0000036	XENTR07761	ORYLA15615, ORYLA15153
OG0000036	XENTR12415	ORYLA07495
OG0000036	XENTR07272	ORYLA20280, ORYLA12724
OG0000036	XENTR01038	ORYLA20440
OG0000036	XENTR15969	ORYLA11184
OG0000036	XENTR07278	ORYLA12571
OG0000037	XENTR16595	ORYLA10680
OG0000037	XENTR17072	ORYLA05584, ORYLA10681
OG0000037	XENTR05552	ORYLA11814
OG0000037	XENTR03023	ORYLA11609, ORYLA10251
OG0000037	XENTR14114	ORYLA04338, ORYLA01058
OG0000037	XENTR16580	ORYLA05151
OG0000037	XENTR14770	ORYLA03090
OG0000037	XENTR10865	ORYLA15954
OG0000037	XENTR10696	ORYLA02209, ORYLA10771, ORYLA11448
OG0000037	XENTR18131	ORYLA04725
OG0000038	XENTR06225	ORYLA04512
OG0000038	XENTR06223	ORYLA16141
OG0000038	XENTR13297	ORYLA06128
OG0000038	XENTR04206	ORYLA08393, ORYLA09754
OG0000039	XENTR03946	ORYLA13584
OG0000039	XENTR03945	ORYLA13588
OG0000039	XENTR17227	ORYLA07496
OG0000039	XENTR17697	ORYLA05812, ORYLA00801, ORYLA00802
OG0000040	XENTR14058	ORYLA15343
OG0000040	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406
OG0000041	XENTR16713	ORYLA07969
OG0000041	XENTR17286	ORYLA14839
OG0000041	XENTR02569	ORYLA15678, ORYLA15677
OG0000041	XENTR12683	ORYLA16345, ORYLA07970
OG0000041	XENTR11379	ORYLA13989, ORYLA15806
OG0000041	XENTR11378	ORYLA13990, ORYLA15807
OG0000041	XENTR01609	ORYLA14735, ORYLA19535
OG0000041	XENTR11377	ORYLA15808
OG0000041	XENTR01610	ORYLA14736, ORYLA19536
OG0000041	XENTR10042	ORYLA12118
OG0000041	XENTR03001	ORYLA13695
OG0000041	XENTR09331	ORYLA09068
OG0000041	XENTR13929	ORYLA11484
OG0000041	XENTR05159	ORYLA11472
OG0000041	XENTR10869	ORYLA19350
OG0000042	XENTR01504	ORYLA12797, ORYLA10877, ORYLA10878
OG0000043	XENTR06023, XENTR06022	ORYLA04209
OG0000043	XENTR15011	ORYLA03853, ORYLA11281, ORYLA00044, ORYLA03854
OG0000043	XENTR13561, XENTR13559	ORYLA03388
OG0000044	XENTR08740	ORYLA04503
OG0000044	XENTR08871	ORYLA10718
OG0000044	XENTR02238	ORYLA02275, ORYLA17868
OG0000044	XENTR13100	ORYLA05261
OG0000044	XENTR01628	ORYLA01286
OG0000044	XENTR00688	ORYLA09105, ORYLA12800
OG0000044	XENTR04256	ORYLA05288
OG0000045	XENTR14513	ORYLA02935
OG0000045	XENTR06990	ORYLA02913
OG0000046	XENTR04959	ORYLA00520
OG0000046	XENTR03550, XENTR03551	ORYLA07200, ORYLA07202, ORYLA07201
OG0000046	XENTR11781, XENTR11780	ORYLA01168
OG0000046	XENTR17457, XENTR17456, XENTR17458, XENTR16941	ORYLA06050
OG0000046	XENTR17142	ORYLA18815
OG0000046	XENTR08235, XENTR05674	ORYLA05911
OG0000048	XENTR03701	ORYLA19472
OG0000048	XENTR11111	ORYLA03737, ORYLA03687
OG0000048	XENTR01169	ORYLA17217
OG0000048	XENTR18412	ORYLA14101
OG0000048	XENTR04117	ORYLA08002
OG0000048	XENTR05160	ORYLA11420
OG0000049	XENTR00212	ORYLA11559, ORYLA19044
OG0000049	XENTR08482	ORYLA04067, ORYLA03584
OG0000049	XENTR07031	ORYLA13704, ORYLA13828
OG0000049	XENTR06401	ORYLA15018
OG0000049	XENTR01319	ORYLA11032, ORYLA11031
OG0000049	XENTR18684	ORYLA20256, ORYLA14320
OG0000049	XENTR07961	ORYLA15871
OG0000049	XENTR07960	ORYLA11029
OG0000052	XENTR09745, XENTR16766, XENTR16795	ORYLA18368, ORYLA18615, ORYLA19851
OG0000053	XENTR00094	ORYLA12857
OG0000054	XENTR04962, XENTR04961	ORYLA00519
OG0000054	XENTR00035, XENTR00034, XENTR00033, XENTR00032	ORYLA05953
OG0000054	XENTR11898, XENTR11899, XENTR11900	ORYLA08804
OG0000055	XENTR18833, XENTR15661, XENTR14985, XENTR15663, XENTR15655, XENTR15666, XENTR15669, XENTR17995, XENTR17898, XENTR19084, XENTR18000, XENTR17996, XENTR17524, XENTR17994, XENTR15014, XENTR17999	ORYLA00098, ORYLA00083, ORYLA00100
OG0000056	XENTR00422	ORYLA13076
OG0000056	XENTR06505	ORYLA16605
OG0000056	XENTR06506	ORYLA00878, ORYLA16604
OG0000056	XENTR00781	ORYLA17860
OG0000057	XENTR04236	ORYLA17686
OG0000057	XENTR01413, XENTR01414	ORYLA14639, ORYLA12170
OG0000057	XENTR03679	ORYLA13554, ORYLA12219
OG0000058	XENTR16040	ORYLA11895, ORYLA12524
OG0000058	XENTR06707	ORYLA19070
OG0000058	XENTR13842	ORYLA00576
OG0000058	XENTR00121	ORYLA16972
OG0000059	XENTR11924	ORYLA07253
OG0000059	XENTR13190	ORYLA03181, ORYLA04042
OG0000059	XENTR09381	ORYLA09176
OG0000059	XENTR15475	ORYLA04242
OG0000060	XENTR09513	ORYLA01946, ORYLA04743
OG0000060	XENTR11489	ORYLA16841, ORYLA08032
OG0000060	XENTR04114	ORYLA14832
OG0000060	XENTR08957	ORYLA15092
OG0000061	XENTR00116	ORYLA09666, ORYLA08403
OG0000061	XENTR05367	ORYLA01785
OG0000061	XENTR09403	ORYLA10018
OG0000061	XENTR06949, XENTR06950	ORYLA07904
OG0000061	XENTR12872	ORYLA07058
OG0000061	XENTR09801	ORYLA16623
OG0000061	XENTR01801	ORYLA08006
OG0000061	XENTR09112	ORYLA08288
OG0000061	XENTR16336	ORYLA09144, ORYLA06720
OG0000061	XENTR06851	ORYLA07094, ORYLA13357, ORYLA13574
OG0000061	XENTR10614	ORYLA07095, ORYLA13356
OG0000061	XENTR06288	ORYLA19115
OG0000061	XENTR10609	ORYLA07060
OG0000061	XENTR10747	ORYLA08273
OG0000062	XENTR06154	ORYLA18121
OG0000062	XENTR13824	ORYLA18156, ORYLA00681, ORYLA10025, ORYLA00679, ORYLA00682, ORYLA18500
OG0000062	XENTR13825, XENTR13823, XENTR15204, XENTR13819, XENTR15200, XENTR18547, XENTR13817, XENTR15205, XENTR15201, XENTR15202, XENTR13818, XENTR15203	ORYLA19830
OG0000062	XENTR15531	ORYLA05590, ORYLA05591
OG0000062	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546
OG0000062	XENTR09512	ORYLA10585, ORYLA11804
OG0000063	XENTR10234	ORYLA06843, ORYLA13091, ORYLA13092
OG0000063	XENTR04709	ORYLA07328, ORYLA00312
OG0000063	XENTR00319	ORYLA12933
OG0000063	XENTR11311	ORYLA19987, ORYLA10868, ORYLA20199
OG0000063	XENTR08048	ORYLA14082
OG0000063	XENTR02007	ORYLA04940, ORYLA08134
OG0000065	XENTR16407	ORYLA02755
OG0000065	XENTR13484	ORYLA03358
OG0000065	XENTR05900	ORYLA10271
OG0000066	XENTR18882	ORYLA06398
OG0000067	XENTR14086	ORYLA02381
OG0000067	XENTR13783	ORYLA01183, ORYLA06203
OG0000067	XENTR04874	ORYLA19414
OG0000068	XENTR00752	ORYLA11081
OG0000068	XENTR17205	ORYLA20205
OG0000068	XENTR10995	ORYLA14465, ORYLA15429
OG0000068	XENTR11373	ORYLA14046
OG0000068	XENTR06812	ORYLA20259
