Orthogroup	XENTR	CAEEL
OG0000065	XENTR16407, XENTR13484, XENTR05900, XENTR10167, XENTR16118, XENTR16117, XENTR10166, XENTR11635, XENTR11636, XENTR11634	CAEEL04467, CAEEL04169, CAEEL03695, CAEEL04171, CAEEL05243
OG0000066	XENTR18882	CAEEL20109
OG0000068	XENTR06812, XENTR11294, XENTR01321, XENTR07981, XENTR06611	CAEEL09504
OG0000069	XENTR15529	CAEEL14766
OG0000070	XENTR15175, XENTR04776, XENTR13746, XENTR15542	CAEEL06499
OG0000072	XENTR15041, XENTR13953	CAEEL07368
OG0000075	XENTR09250	CAEEL03008
OG0000075	XENTR10723	CAEEL11367
OG0000075	XENTR06816, XENTR17547, XENTR16124, XENTR05986, XENTR05987	CAEEL11291
OG0000077	XENTR06888, XENTR17790, XENTR02687	CAEEL01559
OG0000077	XENTR01904, XENTR08754, XENTR13403	CAEEL18883
OG0000077	XENTR07875, XENTR00642, XENTR04757	CAEEL06904
OG0000079	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648	CAEEL18822
OG0000079	XENTR01194	CAEEL07248
OG0000082	XENTR16096	CAEEL18954, CAEEL04897
OG0000082	XENTR01624, XENTR01625	CAEEL13927
OG0000082	XENTR10144, XENTR10158, XENTR12929, XENTR11654, XENTR10095, XENTR10628	CAEEL12687
OG0000084	XENTR14395, XENTR14216, XENTR02688, XENTR03539, XENTR09724	CAEEL10610, CAEEL18185
OG0000084	XENTR05567, XENTR06450	CAEEL08514, CAEEL10452
OG0000085	XENTR01729, XENTR03138	CAEEL06909
OG0000085	XENTR04052, XENTR12507	CAEEL07542
OG0000085	XENTR15005	CAEEL03085
OG0000085	XENTR00809	CAEEL08077
OG0000090	XENTR11768	CAEEL18451
OG0000090	XENTR06545	CAEEL10114
OG0000091	XENTR08624	CAEEL17086, CAEEL16996, CAEEL16871, CAEEL16989, CAEEL16994, CAEEL13069, CAEEL13068, CAEEL19658, CAEEL16242, CAEEL15009, CAEEL13672, CAEEL12797, CAEEL05265, CAEEL01090, CAEEL16358, CAEEL07359
OG0000094	XENTR15752, XENTR10717, XENTR18065, XENTR15146	CAEEL10719
OG0000094	XENTR09915, XENTR14788, XENTR17591	CAEEL18425
OG0000095	XENTR00743, XENTR06595, XENTR15088, XENTR09902, XENTR09903, XENTR09904, XENTR09412, XENTR09411, XENTR09413, XENTR09426	CAEEL03536
OG0000096	XENTR02028, XENTR07076, XENTR03113	CAEEL16555
OG0000096	XENTR02339, XENTR11518	CAEEL11088
OG0000096	XENTR06220, XENTR01880	CAEEL08533
OG0000096	XENTR18353, XENTR11491, XENTR07413, XENTR11633	CAEEL11776
OG0000096	XENTR16018, XENTR14119	CAEEL06051
OG0000096	XENTR17893	CAEEL07422
OG0000098	XENTR13786, XENTR13233, XENTR09318, XENTR06987	CAEEL11671, CAEEL01601, CAEEL11678
OG0000099	XENTR05643, XENTR00672, XENTR05782, XENTR15897, XENTR15898	CAEEL07999, CAEEL08340
OG0000099	XENTR08245, XENTR06050, XENTR16324, XENTR11719, XENTR12540	CAEEL05000, CAEEL01295
OG0000099	XENTR08433	CAEEL19098, CAEEL14903
OG0000101	XENTR08772, XENTR05240, XENTR13420, XENTR13421, XENTR13418, XENTR13417, XENTR13424, XENTR13419, XENTR13422, XENTR13423, XENTR08771	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201
OG0000103	XENTR12408, XENTR09108, XENTR09106, XENTR06370, XENTR18537, XENTR03858, XENTR09105, XENTR09107, XENTR09109, XENTR12407, XENTR12406, XENTR01493	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258
OG0000103	XENTR11203, XENTR09120, XENTR09119, XENTR01361, XENTR05614	CAEEL01469, CAEEL18445
OG0000104	XENTR05699, XENTR11871	CAEEL04070
OG0000104	XENTR03188, XENTR10251, XENTR17538, XENTR11872, XENTR05698, XENTR07142, XENTR02594, XENTR10789, XENTR16122, XENTR04181	CAEEL18800
OG0000106	XENTR00833, XENTR04047, XENTR14694, XENTR05910, XENTR12158, XENTR05297	CAEEL19130, CAEEL20701
OG0000111	XENTR01487, XENTR04814, XENTR07587, XENTR06674, XENTR09084, XENTR13395, XENTR18141, XENTR04629, XENTR12868, XENTR04110, XENTR04628, XENTR18140	CAEEL20845
OG0000113	XENTR00307, XENTR14045, XENTR14048, XENTR14046, XENTR14044, XENTR14047, XENTR14049, XENTR14052, XENTR14043	CAEEL06358, CAEEL06359, CAEEL06360
OG0000114	XENTR08858, XENTR12456, XENTR00845, XENTR00844, XENTR00843, XENTR01175, XENTR08055	CAEEL18136
OG0000116	XENTR12530	CAEEL14875
OG0000119	XENTR05393, XENTR05242, XENTR06871	CAEEL08480
OG0000119	XENTR00115, XENTR07107, XENTR12433, XENTR15934, XENTR15933	CAEEL08396
OG0000122	XENTR02708, XENTR14715, XENTR10342, XENTR01730, XENTR03137, XENTR03802	CAEEL01544
OG0000124	XENTR05926	CAEEL19897
OG0000124	XENTR09248, XENTR09249	CAEEL04963
OG0000124	XENTR13084, XENTR11997	CAEEL15384, CAEEL15382
OG0000126	XENTR03459, XENTR13788, XENTR00416	CAEEL08841, CAEEL04611
OG0000126	XENTR14632, XENTR03466	CAEEL09101
OG0000126	XENTR05061, XENTR11942, XENTR13975, XENTR08532	CAEEL10194
OG0000127	XENTR02720, XENTR03441, XENTR09025	CAEEL19207
OG0000127	XENTR10923, XENTR12718	CAEEL20452
OG0000127	XENTR18212	CAEEL00838
OG0000128	XENTR09496, XENTR10668, XENTR08486, XENTR08487	CAEEL18038, CAEEL19894, CAEEL19895
OG0000129	XENTR13439, XENTR09476, XENTR13435, XENTR13438, XENTR13437, XENTR12648, XENTR00152, XENTR06673	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187
OG0000129	XENTR14278, XENTR11921, XENTR18992, XENTR15519	CAEEL12325
OG0000129	XENTR06232	CAEEL08188
OG0000131	XENTR10944	CAEEL08663
OG0000132	XENTR04795	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417
