Orthogroup	XENTR	LYTVA_ok
OG0000029	XENTR18699, XENTR18411, XENTR10325, XENTR07438, XENTR16899, XENTR09562, XENTR10017, XENTR09646, XENTR13058, XENTR12335	LYTVA_19555, LYTVA_01403, LYTVA_23870
OG0000029	XENTR11755, XENTR10534	LYTVA_02569, LYTVA_10073
OG0000030	XENTR08639	LYTVA_13667
OG0000030	XENTR18219	LYTVA_26760
OG0000030	XENTR14147	LYTVA_28697
OG0000031	XENTR05405, XENTR03766	LYTVA_04157, LYTVA_03000
OG0000031	XENTR08553, XENTR05384, XENTR03164	LYTVA_07242
OG0000031	XENTR03163	LYTVA_07394
OG0000031	XENTR00229	LYTVA_13645
OG0000031	XENTR12584, XENTR00918	LYTVA_05124
OG0000031	XENTR00006, XENTR16792, XENTR04300	LYTVA_29658
OG0000031	XENTR09425	LYTVA_09735
OG0000032	XENTR18392, XENTR18393, XENTR06098, XENTR03124	LYTVA_21601, LYTVA_15486, LYTVA_13671, LYTVA_08468, LYTVA_02734
OG0000032	XENTR17016	LYTVA_00916, LYTVA_07790, LYTVA_22021, LYTVA_08868, LYTVA_21508, LYTVA_13715, LYTVA_12246, LYTVA_11875, LYTVA_02746
OG0000034	XENTR04943	LYTVA_20191
OG0000034	XENTR11418, XENTR11419, XENTR10883, XENTR07417	LYTVA_09293
OG0000034	XENTR01252, XENTR11199, XENTR07072, XENTR12065	LYTVA_04080
OG0000034	XENTR15456	LYTVA_29167, LYTVA_10612
OG0000034	XENTR10156	LYTVA_11788
OG0000034	XENTR16254	LYTVA_12673
OG0000034	XENTR08340	LYTVA_06697
OG0000035	XENTR07648	LYTVA_27828
OG0000035	XENTR17453, XENTR14129, XENTR07651, XENTR11799	LYTVA_22468
OG0000035	XENTR11381, XENTR11382, XENTR12076, XENTR01605	LYTVA_12116
OG0000035	XENTR13293, XENTR09857	LYTVA_04128
OG0000036	XENTR07761, XENTR12415, XENTR07272	LYTVA_03325, LYTVA_20435, LYTVA_20437, LYTVA_25631, LYTVA_25629, LYTVA_25630, LYTVA_25628, LYTVA_10478, LYTVA_03947
OG0000036	XENTR16237, XENTR16236, XENTR05174, XENTR07278	LYTVA_07532, LYTVA_03326, LYTVA_18880, LYTVA_25896
OG0000037	XENTR10865, XENTR10696	LYTVA_02747
OG0000037	XENTR18131	LYTVA_25050, LYTVA_25057, LYTVA_25048
OG0000038	XENTR13297	LYTVA_04990
OG0000038	XENTR04197, XENTR04200	LYTVA_00437, LYTVA_14520
OG0000038	XENTR04205	LYTVA_21694
OG0000038	XENTR04206	LYTVA_09823
OG0000039	XENTR17227	LYTVA_16233
OG0000040	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473	LYTVA_16039, LYTVA_16036, LYTVA_22091, LYTVA_29527, LYTVA_27351, LYTVA_03168, LYTVA_11912, LYTVA_06756, LYTVA_18912, LYTVA_12532, LYTVA_15738, LYTVA_27452, LYTVA_05580, LYTVA_25285
OG0000041	XENTR14135	LYTVA_17546, LYTVA_17545
OG0000041	XENTR12683, XENTR11379, XENTR11378, XENTR01609, XENTR11377, XENTR01610, XENTR10042	LYTVA_25852
OG0000041	XENTR03001, XENTR09331	LYTVA_03177
OG0000043	XENTR13561, XENTR13559	LYTVA_12710
OG0000044	XENTR08740, XENTR08871, XENTR02238, XENTR13100	LYTVA_11853
OG0000044	XENTR05498, XENTR01628, XENTR04385, XENTR00688	LYTVA_10017
OG0000044	XENTR04387, XENTR17931	LYTVA_14074
OG0000046	XENTR04959	LYTVA_22286
OG0000048	XENTR03701	LYTVA_06179
OG0000048	XENTR01169	LYTVA_15043
OG0000048	XENTR18412	LYTVA_26635
OG0000048	XENTR04117	LYTVA_27999
OG0000048	XENTR05160	LYTVA_08149
OG0000049	XENTR00212, XENTR08482	LYTVA_16567
OG0000049	XENTR07031, XENTR06401	LYTVA_21152
OG0000049	XENTR07960	LYTVA_02138
OG0000050	XENTR17952, XENTR07342, XENTR01845, XENTR01386, XENTR11958, XENTR03951, XENTR08402, XENTR03429, XENTR15018, XENTR17520, XENTR02104	LYTVA_22634, LYTVA_29206, LYTVA_08549, LYTVA_25325, LYTVA_16900, LYTVA_03419
OG0000054	XENTR04962, XENTR04961	LYTVA_11502, LYTVA_10035, LYTVA_09103
OG0000056	XENTR00422, XENTR06505, XENTR06516, XENTR06514, XENTR06515, XENTR06513, XENTR06506	LYTVA_03272
OG0000056	XENTR00781	LYTVA_17286
OG0000057	XENTR04236, XENTR01413, XENTR01414	LYTVA_05797, LYTVA_22815
OG0000058	XENTR16220	LYTVA_15397, LYTVA_14164
OG0000058	XENTR16040, XENTR02416, XENTR06707	LYTVA_16698
OG0000059	XENTR09381	LYTVA_18957
OG0000059	XENTR06961, XENTR16370	LYTVA_06967, LYTVA_19211, LYTVA_17534
OG0000060	XENTR09513	LYTVA_30158, LYTVA_18098
OG0000060	XENTR11489, XENTR04114, XENTR08957	LYTVA_10196
OG0000061	XENTR00116, XENTR05367	LYTVA_16102
OG0000061	XENTR09403, XENTR06949, XENTR06950, XENTR12872, XENTR09801, XENTR02075, XENTR01801, XENTR17074, XENTR09112, XENTR16336, XENTR06851, XENTR10614, XENTR06288	LYTVA_20900
