Orthogroup	ASTMX	CAPO3
OG0000147	ASTMX22882, ASTMX19061	CAPO305863
OG0000147	ASTMX01265, ASTMX04843	CAPO308132
OG0000147	ASTMX18633, ASTMX08515	CAPO304230
OG0000149	ASTMX05992, ASTMX18326, ASTMX03365, ASTMX03364, ASTMX20911, ASTMX04900, ASTMX04902, ASTMX04899, ASTMX10915, ASTMX19335	CAPO305206, CAPO306214
OG0000157	ASTMX15736, ASTMX02435, ASTMX11937, ASTMX12482, ASTMX15735, ASTMX02436	CAPO305956
OG0000157	ASTMX10540	CAPO302981
OG0000157	ASTMX15837, ASTMX21399, ASTMX15330, ASTMX08384, ASTMX08312, ASTMX17465, ASTMX21400, ASTMX10886	CAPO305824
OG0000158	ASTMX02401, ASTMX13165	CAPO302924
OG0000160	ASTMX15798	CAPO301680
OG0000167	ASTMX08175, ASTMX06436, ASTMX06435, ASTMX01762, ASTMX06698, ASTMX15256, ASTMX16065, ASTMX10803, ASTMX11328, ASTMX15230, ASTMX12913, ASTMX04282, ASTMX11778, ASTMX05313, ASTMX17463, ASTMX14044, ASTMX20835, ASTMX12921	CAPO301364, CAPO303476
OG0000171	ASTMX05924, ASTMX13384, ASTMX18495, ASTMX13035, ASTMX04406, ASTMX02030, ASTMX01513, ASTMX18079, ASTMX09651	CAPO304813
OG0000174	ASTMX14035, ASTMX16326, ASTMX03672, ASTMX18111, ASTMX03671, ASTMX18749, ASTMX17715	CAPO304629
OG0000175	ASTMX21016, ASTMX15252	CAPO303513
OG0000175	ASTMX05265, ASTMX22048	CAPO303920
OG0000179	ASTMX05937, ASTMX14451	CAPO300694
OG0000179	ASTMX13630, ASTMX02170	CAPO303342
OG0000181	ASTMX04758, ASTMX15059, ASTMX14093, ASTMX17806	CAPO301108
OG0000181	ASTMX02628, ASTMX03065	CAPO302034
OG0000181	ASTMX07281, ASTMX11712, ASTMX06485	CAPO307692
OG0000181	ASTMX09488	CAPO300374
OG0000183	ASTMX10680, ASTMX04432, ASTMX12508, ASTMX19843, ASTMX02763, ASTMX03936, ASTMX05623, ASTMX20239, ASTMX16109	CAPO305638
OG0000183	ASTMX12358, ASTMX03484, ASTMX13317, ASTMX07857, ASTMX16504, ASTMX16505	CAPO305829
OG0000184	ASTMX12437, ASTMX12438	CAPO304928
OG0000192	ASTMX14856	CAPO301980
OG0000193	ASTMX03473, ASTMX20971, ASTMX11214, ASTMX09632, ASTMX05862, ASTMX20972, ASTMX06947, ASTMX14897, ASTMX03474, ASTMX13316, ASTMX19987	CAPO302628
OG0000194	ASTMX14940, ASTMX03197, ASTMX16653, ASTMX22443, ASTMX22363, ASTMX14331	CAPO305195
OG0000195	ASTMX06503, ASTMX06504, ASTMX08420, ASTMX05669	CAPO305454
OG0000201	ASTMX19802, ASTMX14681, ASTMX19801, ASTMX15505	CAPO307729
OG0000201	ASTMX16004, ASTMX17974	CAPO300462
OG0000203	ASTMX16274, ASTMX00845, ASTMX01226, ASTMX00857, ASTMX05697, ASTMX05660, ASTMX08043, ASTMX20187, ASTMX06010, ASTMX05240, ASTMX05701, ASTMX05700, ASTMX19932, ASTMX11805, ASTMX19931, ASTMX05273, ASTMX00753	CAPO302139
OG0000204	ASTMX05231, ASTMX02270, ASTMX08546, ASTMX02616, ASTMX01734, ASTMX00447, ASTMX00221, ASTMX00441, ASTMX21977, ASTMX00222, ASTMX00448, ASTMX00240	CAPO303090
OG0000207	ASTMX11086, ASTMX18027, ASTMX11639, ASTMX13861, ASTMX20482, ASTMX19782, ASTMX06362	CAPO304105, CAPO304106, CAPO304714
OG0000211	ASTMX14936, ASTMX14468, ASTMX02506, ASTMX08965, ASTMX12406, ASTMX15733, ASTMX12502, ASTMX00388, ASTMX07887	CAPO306209
OG0000218	ASTMX14255, ASTMX06375	CAPO300559
OG0000220	ASTMX06452, ASTMX19472, ASTMX14009, ASTMX14010, ASTMX09978, ASTMX02750, ASTMX13093, ASTMX15732	CAPO306780, CAPO307695
OG0000221	ASTMX13257, ASTMX12726, ASTMX08699, ASTMX18546, ASTMX17261, ASTMX17047, ASTMX14659, ASTMX05690, ASTMX18613, ASTMX00084, ASTMX22683, ASTMX10185	CAPO300247
OG0000222	ASTMX11164, ASTMX04358, ASTMX14568, ASTMX11163	CAPO304211
OG0000223	ASTMX17097, ASTMX19956, ASTMX01390, ASTMX13426, ASTMX05635, ASTMX07750, ASTMX06611, ASTMX15854	CAPO308126
