Orthogroup	ASTMX	LYTVA_ok
OG0000061	ASTMX18729, ASTMX15987	LYTVA_02993, LYTVA_26455, LYTVA_26459
OG0000062	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342	LYTVA_15332, LYTVA_27501, LYTVA_24383, LYTVA_01528, LYTVA_05092
OG0000062	ASTMX01260	LYTVA_18550
OG0000063	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324	LYTVA_03474
OG0000063	ASTMX11259, ASTMX01032	LYTVA_28622
OG0000063	ASTMX10350, ASTMX13375, ASTMX12584	LYTVA_16178
OG0000066	ASTMX01776	LYTVA_14724
OG0000067	ASTMX12120, ASTMX00316, ASTMX18001, ASTMX19454	LYTVA_07502, LYTVA_25538, LYTVA_09112, LYTVA_09554, LYTVA_15190, LYTVA_26045
OG0000068	ASTMX03045, ASTMX22587, ASTMX22308	LYTVA_07218, LYTVA_11696, LYTVA_13367, LYTVA_16452, LYTVA_16451, LYTVA_16446, LYTVA_11505, LYTVA_21833, LYTVA_15019, LYTVA_02519, LYTVA_23071, LYTVA_16450
OG0000070	ASTMX03868, ASTMX11850	LYTVA_12849
OG0000070	ASTMX17316, ASTMX02948	LYTVA_15079, LYTVA_12105, LYTVA_23845, LYTVA_23846, LYTVA_20695, LYTVA_28943, LYTVA_15085, LYTVA_24840, LYTVA_07974, LYTVA_17344, LYTVA_15317
OG0000072	ASTMX19895, ASTMX03692, ASTMX11241	LYTVA_26888
OG0000072	ASTMX11250, ASTMX11618	LYTVA_23422
OG0000072	ASTMX02462	LYTVA_09419
OG0000073	ASTMX22931	LYTVA_08820, LYTVA_28046
OG0000073	ASTMX12734, ASTMX08034, ASTMX18790, ASTMX08033, ASTMX12735, ASTMX19270, ASTMX02619	LYTVA_03728
OG0000074	ASTMX16165, ASTMX17638, ASTMX00966	LYTVA_27116, LYTVA_29211, LYTVA_07270, LYTVA_29253, LYTVA_09687
OG0000074	ASTMX12476	LYTVA_24139
OG0000074	ASTMX07079, ASTMX08304	LYTVA_23288, LYTVA_24012, LYTVA_15630, LYTVA_11187, LYTVA_06007, LYTVA_06008, LYTVA_06009, LYTVA_06154
OG0000075	ASTMX13833, ASTMX15058	LYTVA_00904
OG0000075	ASTMX17154	LYTVA_07044
OG0000075	ASTMX04760	LYTVA_01857
OG0000075	ASTMX15785, ASTMX16080, ASTMX14559, ASTMX03441	LYTVA_12523
OG0000077	ASTMX17041, ASTMX09313, ASTMX18035, ASTMX05112	LYTVA_24286
OG0000077	ASTMX15936, ASTMX10508, ASTMX07977, ASTMX12178, ASTMX18081, ASTMX01594	LYTVA_08553
OG0000078	ASTMX02053, ASTMX00440, ASTMX00992, ASTMX08539	LYTVA_29043, LYTVA_19852, LYTVA_29449, LYTVA_29039, LYTVA_11835, LYTVA_17100, LYTVA_30099, LYTVA_09049, LYTVA_20648
OG0000079	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709	LYTVA_19637, LYTVA_24538, LYTVA_21250
OG0000079	ASTMX02337, ASTMX02996, ASTMX05046	LYTVA_05934
OG0000079	ASTMX02943	LYTVA_06214, LYTVA_17750
OG0000080	ASTMX22762, ASTMX21534	LYTVA_22820
OG0000080	ASTMX03885	LYTVA_29739, LYTVA_07108, LYTVA_04698
OG0000080	ASTMX23043, ASTMX23016	LYTVA_00085
OG0000081	ASTMX02774	LYTVA_25424
OG0000082	ASTMX06917	LYTVA_25888
OG0000082	ASTMX17888	LYTVA_18803
OG0000082	ASTMX10851	LYTVA_21157
OG0000082	ASTMX17248	LYTVA_15644
OG0000083	ASTMX03686, ASTMX11244, ASTMX09107, ASTMX14864	LYTVA_26815
OG0000084	ASTMX18467, ASTMX12487, ASTMX09980, ASTMX22125, ASTMX15418, ASTMX20810	LYTVA_14799
OG0000085	ASTMX01460, ASTMX20784, ASTMX14674	LYTVA_19136
OG0000085	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760	LYTVA_13307
OG0000085	ASTMX19538	LYTVA_05365
OG0000085	ASTMX21189, ASTMX20129	LYTVA_17776
OG0000085	ASTMX08704, ASTMX02521	LYTVA_06708
OG0000087	ASTMX06968	LYTVA_15159
OG0000087	ASTMX06381	LYTVA_04512
OG0000087	ASTMX19474	LYTVA_18728
OG0000087	ASTMX17716	LYTVA_07967
