Orthogroup	ASTMX	STRPU_ok
OG0000035	ASTMX22713, ASTMX21245	STRPU_27002
OG0000035	ASTMX07147, ASTMX00613, ASTMX06338	STRPU_13051
OG0000035	ASTMX07340, ASTMX07227, ASTMX07114	STRPU_12705, STRPU_12704
OG0000035	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545	STRPU_12998, STRPU_12553
OG0000035	ASTMX15321, ASTMX20966	STRPU_12700
OG0000036	ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566	STRPU_26319, STRPU_09906, STRPU_26130, STRPU_25659
OG0000036	ASTMX19120	STRPU_09907
OG0000036	ASTMX01338, ASTMX03570	STRPU_26325, STRPU_26324, STRPU_26321, STRPU_16183, STRPU_16230, STRPU_25724
OG0000037	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313	STRPU_20762
OG0000037	ASTMX15913, ASTMX19727, ASTMX16533	STRPU_24785
OG0000037	ASTMX03275	STRPU_10295, STRPU_10296, STRPU_10297
OG0000038	ASTMX05291	STRPU_17414, STRPU_17415
OG0000038	ASTMX12685, ASTMX17002	STRPU_18075, STRPU_01765
OG0000039	ASTMX03851	STRPU_13266
OG0000039	ASTMX16971	STRPU_05101, STRPU_05100, STRPU_05180
OG0000039	ASTMX01965, ASTMX01011, ASTMX19591, ASTMX19593	STRPU_18542, STRPU_18578, STRPU_18572, STRPU_12032, STRPU_12031, STRPU_12034, STRPU_01246
OG0000040	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242	STRPU_21773, STRPU_17271, STRPU_21617, STRPU_22119, STRPU_03662, STRPU_03674, STRPU_03673, STRPU_03661, STRPU_01945, STRPU_22786, STRPU_01944, STRPU_25141, STRPU_21378, STRPU_03732, STRPU_03735, STRPU_03733, STRPU_03734, STRPU_08305, STRPU_03737, STRPU_08238
OG0000041	ASTMX19739, ASTMX18949, ASTMX00985, ASTMX20382, ASTMX18641, ASTMX00986, ASTMX20384, ASTMX19436, ASTMX18640, ASTMX22118, ASTMX00987, ASTMX18639, ASTMX00232	STRPU_13000
OG0000043	ASTMX09533	STRPU_10844, STRPU_10864
OG0000044	ASTMX03900, ASTMX14800, ASTMX17272, ASTMX12948	STRPU_09802
OG0000044	ASTMX06176	STRPU_13229, STRPU_13213
OG0000044	ASTMX07618	STRPU_00051
OG0000045	ASTMX16178	STRPU_26903
OG0000046	ASTMX22281	STRPU_24167, STRPU_08327, STRPU_08328
OG0000048	ASTMX04189	STRPU_05493
OG0000048	ASTMX13714	STRPU_15458
OG0000048	ASTMX03384	STRPU_09674
OG0000048	ASTMX15600	STRPU_20602
OG0000048	ASTMX04570	STRPU_20482
OG0000048	ASTMX00590	STRPU_26191
OG0000049	ASTMX10248, ASTMX08138, ASTMX03713, ASTMX05857	STRPU_17072
OG0000049	ASTMX00928, ASTMX08370, ASTMX07196	STRPU_23537
OG0000050	ASTMX16561	STRPU_06209, STRPU_11559, STRPU_20985, STRPU_20001, STRPU_23015, STRPU_00753, STRPU_03815, STRPU_10411, STRPU_16312, STRPU_07810, STRPU_07823, STRPU_11057, STRPU_09032, STRPU_09040, STRPU_20428, STRPU_00461
OG0000051	ASTMX08001	STRPU_27246
OG0000051	ASTMX02511	STRPU_17901, STRPU_17577, STRPU_17576, STRPU_17547, STRPU_17574, STRPU_17579, STRPU_17578, STRPU_17575, STRPU_02970, STRPU_16946
OG0000054	ASTMX04679	STRPU_04629, STRPU_04651, STRPU_21552, STRPU_04633, STRPU_04661, STRPU_04884, STRPU_04631, STRPU_04653
OG0000055	ASTMX17485	STRPU_20957
OG0000056	ASTMX17742	STRPU_26180
OG0000056	ASTMX22444, ASTMX01590, ASTMX01617, ASTMX02364, ASTMX08903, ASTMX17902, ASTMX14177, ASTMX02363	STRPU_19327
OG0000056	ASTMX18310	STRPU_12248, STRPU_11783
OG0000057	ASTMX16761, ASTMX17228, ASTMX14491, ASTMX16762, ASTMX21257	STRPU_09574, STRPU_09581, STRPU_15511, STRPU_15515, STRPU_15513, STRPU_15522, STRPU_15517, STRPU_15521, STRPU_15512, STRPU_15518, STRPU_15524, STRPU_15520, STRPU_15523, STRPU_15510, STRPU_15514, STRPU_06456, STRPU_18393, STRPU_10377, STRPU_10376, STRPU_03172, STRPU_10378, STRPU_10379, STRPU_11849, STRPU_11850, STRPU_11851, STRPU_10380, STRPU_16444, STRPU_10382
OG0000057	ASTMX18685, ASTMX11838	STRPU_09580
OG0000058	ASTMX10002	STRPU_10155, STRPU_10092
OG0000058	ASTMX01061	STRPU_08934
OG0000058	ASTMX17542, ASTMX11001, ASTMX18630, ASTMX08080	STRPU_09783
