Orthogroup	ASTMX	APOSC_ok
OG0000031	ASTMX17418, ASTMX22504, ASTMX18990, ASTMX06321, ASTMX15039, ASTMX21321, ASTMX15065	APOSC_14603
OG0000031	ASTMX08659, ASTMX04771	APOSC_14687
OG0000031	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571	APOSC_14535
OG0000031	ASTMX06525	APOSC_00328
OG0000031	ASTMX11402, ASTMX09693, ASTMX17541	APOSC_01319
OG0000031	ASTMX03912, ASTMX00105	APOSC_17680
OG0000031	ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725	APOSC_02579
OG0000031	ASTMX13001, ASTMX20334, ASTMX13774, ASTMX02637	APOSC_22997
OG0000031	ASTMX03166	APOSC_06756, APOSC_06755
OG0000032	ASTMX19317, ASTMX01989, ASTMX01990, ASTMX01991, ASTMX08768, ASTMX12211, ASTMX09018	APOSC_07613, APOSC_02397, APOSC_12691, APOSC_10351, APOSC_01318, APOSC_23129, APOSC_10044
OG0000032	ASTMX06705	APOSC_24218, APOSC_15369, APOSC_23030, APOSC_14347, APOSC_17486, APOSC_15168, APOSC_06921, APOSC_26892, APOSC_15726
OG0000034	ASTMX03519	APOSC_28767, APOSC_28766
OG0000034	ASTMX17020, ASTMX02547, ASTMX01081, ASTMX20715, ASTMX17446	APOSC_01056
OG0000034	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372	APOSC_00389
OG0000034	ASTMX09860, ASTMX06813, ASTMX07013	APOSC_10138
OG0000034	ASTMX12428, ASTMX02190	APOSC_10830
OG0000034	ASTMX01548	APOSC_23397
OG0000034	ASTMX02136	APOSC_15909
OG0000035	ASTMX17732	APOSC_27035
OG0000035	ASTMX22713, ASTMX21245	APOSC_25872
OG0000035	ASTMX07147, ASTMX00613, ASTMX06338	APOSC_04998
OG0000035	ASTMX07340, ASTMX07227, ASTMX07114	APOSC_25573
OG0000035	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545	APOSC_08656, APOSC_21135, APOSC_21136
OG0000035	ASTMX15321, ASTMX20966	APOSC_27270
