Orthogroup	CAPO3	NEMVE
OG0000060	CAPO305373	NEMVE21800, NEMVE15983, NEMVE23420, NEMVE00402, NEMVE02438, NEMVE00070, NEMVE04978, NEMVE04891, NEMVE14352, NEMVE05019, NEMVE21993, NEMVE15088, NEMVE09694, NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777
OG0000062	CAPO300910	NEMVE10327, NEMVE00984, NEMVE10333, NEMVE14126, NEMVE00002, NEMVE17871
OG0000063	CAPO300270	NEMVE02020, NEMVE06153, NEMVE06644, NEMVE05614, NEMVE00196, NEMVE00961, NEMVE23740, NEMVE18393, NEMVE10930, NEMVE10935, NEMVE10931, NEMVE01013, NEMVE10933, NEMVE05615, NEMVE13213, NEMVE09357, NEMVE19786, NEMVE09682, NEMVE21970, NEMVE06201, NEMVE09684
OG0000066	CAPO308057	NEMVE03297, NEMVE00589, NEMVE00883, NEMVE00844, NEMVE10387, NEMVE00084, NEMVE10150, NEMVE04595, NEMVE10342, NEMVE05434, NEMVE11135, NEMVE09963, NEMVE09584, NEMVE08347, NEMVE05616, NEMVE09280, NEMVE09962, NEMVE05315, NEMVE00814, NEMVE17245, NEMVE08381, NEMVE08370, NEMVE09458, NEMVE02340, NEMVE12842, NEMVE06117, NEMVE06114, NEMVE05618, NEMVE02346, NEMVE08126, NEMVE06588, NEMVE02344, NEMVE04896, NEMVE07202, NEMVE08935, NEMVE01845, NEMVE02094, NEMVE00829, NEMVE23938, NEMVE08140, NEMVE02115, NEMVE05395, NEMVE00242, NEMVE00199, NEMVE02160, NEMVE11189, NEMVE08925, NEMVE05032, NEMVE14665, NEMVE01053, NEMVE05353, NEMVE08127, NEMVE05161, NEMVE06765, NEMVE09456, NEMVE04598, NEMVE11961, NEMVE12179, NEMVE06397, NEMVE00621, NEMVE08193, NEMVE01410, NEMVE05988, NEMVE19300
OG0000069	CAPO302182	NEMVE14181
OG0000069	CAPO303953, CAPO301523, CAPO305173	NEMVE15092
OG0000079	CAPO302518	NEMVE00715, NEMVE10337, NEMVE10329, NEMVE05451
OG0000082	CAPO304738	NEMVE19066
OG0000082	CAPO306626	NEMVE05388
OG0000082	CAPO300843	NEMVE14867, NEMVE15134
OG0000082	CAPO306232	NEMVE22355
OG0000085	CAPO303061	NEMVE07554, NEMVE09794, NEMVE03205
OG0000085	CAPO303047	NEMVE07289, NEMVE07695, NEMVE08967, NEMVE08972, NEMVE05696, NEMVE18682, NEMVE18681, NEMVE13608, NEMVE00067
OG0000089	CAPO300386, CAPO300810, CAPO302098	NEMVE15803, NEMVE15621, NEMVE15853
OG0000090	CAPO304635, CAPO304845, CAPO301336	NEMVE24404
OG0000091	CAPO301134	NEMVE05463, NEMVE05476, NEMVE13252
OG0000095	CAPO301288, CAPO306046	NEMVE15802, NEMVE10556, NEMVE02903, NEMVE22347, NEMVE15792, NEMVE05620, NEMVE06820, NEMVE05611
OG0000096	CAPO301431	NEMVE14782
OG0000096	CAPO303349	NEMVE12518, NEMVE12519
OG0000096	CAPO307955	NEMVE22574
OG0000096	CAPO307522	NEMVE22432
OG0000096	CAPO300294	NEMVE25573
OG0000096	CAPO307017	NEMVE14773
OG0000101	CAPO306858	NEMVE09668, NEMVE18669, NEMVE09674, NEMVE09673, NEMVE09675, NEMVE09670, NEMVE14294, NEMVE01377, NEMVE13283, NEMVE10270, NEMVE14668, NEMVE10030, NEMVE00231, NEMVE06943, NEMVE05036, NEMVE08533, NEMVE18515
OG0000103	CAPO302453	NEMVE06305, NEMVE09043
OG0000106	CAPO300017	NEMVE07221, NEMVE07805, NEMVE13923, NEMVE09138, NEMVE09430, NEMVE20448, NEMVE05915, NEMVE16024
OG0000107	CAPO301524	NEMVE03999, NEMVE21307
OG0000110	CAPO300387	NEMVE00979, NEMVE07027, NEMVE03143, NEMVE24541, NEMVE22920, NEMVE12064, NEMVE15426, NEMVE10514, NEMVE02573, NEMVE15411, NEMVE13920, NEMVE12399
OG0000113	CAPO301240	NEMVE14896
OG0000114	CAPO302440, CAPO304415	NEMVE20958
OG0000119	CAPO304642	NEMVE22896, NEMVE15248
OG0000122	CAPO307824	NEMVE05937, NEMVE10909, NEMVE00926
OG0000124	CAPO304324	NEMVE24720
OG0000124	CAPO302553	NEMVE14854
OG0000126	CAPO301836	NEMVE07689
OG0000126	CAPO302484	NEMVE08729, NEMVE02964
OG0000126	CAPO300572	NEMVE00909, NEMVE02955
OG0000128	CAPO306991, CAPO304956	NEMVE12106, NEMVE04961, NEMVE01987, NEMVE18699, NEMVE05813, NEMVE00993, NEMVE10370, NEMVE09954, NEMVE24226, NEMVE08877, NEMVE02973, NEMVE07718, NEMVE13536, NEMVE16591, NEMVE07067, NEMVE16738, NEMVE06927
OG0000129	CAPO303361	NEMVE15459, NEMVE24455, NEMVE05043, NEMVE14958
OG0000132	CAPO305174	NEMVE23708
OG0000137	CAPO305369	NEMVE20817, NEMVE18407, NEMVE09537, NEMVE02104, NEMVE16617, NEMVE07756, NEMVE01665, NEMVE07752, NEMVE04562, NEMVE10746, NEMVE08414, NEMVE08549, NEMVE22935
OG0000142	CAPO302031, CAPO302030	NEMVE15266, NEMVE13476, NEMVE21939, NEMVE20784, NEMVE21838, NEMVE25141, NEMVE13728, NEMVE18434, NEMVE18435, NEMVE09154
OG0000147	CAPO305863	NEMVE00775
OG0000147	CAPO308132	NEMVE13815
OG0000147	CAPO304230	NEMVE06760, NEMVE10211, NEMVE15010, NEMVE01973
OG0000149	CAPO305206, CAPO306214	NEMVE02950, NEMVE00060, NEMVE07321, NEMVE08530, NEMVE21291, NEMVE07677, NEMVE25205, NEMVE08546, NEMVE17187, NEMVE14399, NEMVE02954
OG0000157	CAPO305956	NEMVE24250
OG0000157	CAPO305824	NEMVE14302, NEMVE22690
OG0000158	CAPO302924	NEMVE19203, NEMVE24928
OG0000160	CAPO301680	NEMVE13435, NEMVE07078, NEMVE05120
OG0000171	CAPO304813	NEMVE07518, NEMVE02961, NEMVE00074, NEMVE07354, NEMVE02113, NEMVE02080, NEMVE13315
OG0000174	CAPO304629	NEMVE14330, NEMVE22424, NEMVE05336, NEMVE05301, NEMVE11815, NEMVE06968, NEMVE04933, NEMVE06970, NEMVE06155
OG0000175	CAPO303513	NEMVE00450, NEMVE15112
OG0000179	CAPO303342	NEMVE14969, NEMVE18776
OG0000181	CAPO301108	NEMVE24124
OG0000181	CAPO302034	NEMVE23021
OG0000181	CAPO307692	NEMVE13840, NEMVE02915
OG0000181	CAPO300374	NEMVE13666, NEMVE22609
OG0000183	CAPO305638	NEMVE11293
OG0000183	CAPO305829	NEMVE10854, NEMVE13332
OG0000184	CAPO307711	NEMVE03203, NEMVE02061
OG0000184	CAPO304928	NEMVE14657, NEMVE21989
OG0000192	CAPO304141	NEMVE08395, NEMVE12235
OG0000192	CAPO300533	NEMVE04958
OG0000192	CAPO301980	NEMVE01940
OG0000193	CAPO302628	NEMVE10259, NEMVE11693, NEMVE07643, NEMVE10068, NEMVE11691, NEMVE10067, NEMVE13255, NEMVE10260, NEMVE07641, NEMVE11522, NEMVE05479, NEMVE02730
OG0000194	CAPO305195	NEMVE11646, NEMVE08721
OG0000195	CAPO305454	NEMVE15098
OG0000201	CAPO307729	NEMVE20854, NEMVE23099, NEMVE07103, NEMVE07418
OG0000201	CAPO300462, CAPO305583	NEMVE18189, NEMVE09350
OG0000203	CAPO302139	NEMVE25285, NEMVE01883, NEMVE13514, NEMVE23942, NEMVE06833, NEMVE16297, NEMVE03834, NEMVE02777, NEMVE23941, NEMVE24085, NEMVE24086, NEMVE16670
OG0000204	CAPO303090	NEMVE04586, NEMVE13063, NEMVE08800, NEMVE01481, NEMVE01283, NEMVE05134, NEMVE01962, NEMVE13202, NEMVE01981
OG0000207	CAPO304105, CAPO304106, CAPO304714	NEMVE14338, NEMVE18126
OG0000211	CAPO306209	NEMVE13306, NEMVE20025, NEMVE13795, NEMVE08404, NEMVE10361, NEMVE00039, NEMVE08412, NEMVE13225, NEMVE22330, NEMVE12945, NEMVE10733
OG0000218	CAPO300559	NEMVE06667, NEMVE11926, NEMVE02677, NEMVE00623, NEMVE05256, NEMVE04789
