Orthogroup	CAPO3	LYTVA_ok
OG0000335	CAPO307753	LYTVA_29243
OG0000338	CAPO304735	LYTVA_05136, LYTVA_00791, LYTVA_01358
OG0000339	CAPO305264	LYTVA_02463, LYTVA_19838, LYTVA_21464, LYTVA_02464, LYTVA_21590, LYTVA_21611, LYTVA_06903, LYTVA_21467
OG0000345	CAPO300769	LYTVA_25222
OG0000352	CAPO300356	LYTVA_04087, LYTVA_27834, LYTVA_27474, LYTVA_04222, LYTVA_25572, LYTVA_11143, LYTVA_11144
OG0000357	CAPO301487	LYTVA_16315
OG0000359	CAPO305417	LYTVA_13862
OG0000359	CAPO301540	LYTVA_16943
OG0000359	CAPO306866	LYTVA_21076
OG0000360	CAPO300757	LYTVA_15822, LYTVA_30122, LYTVA_29199, LYTVA_27053, LYTVA_29200, LYTVA_05530
OG0000363	CAPO305594	LYTVA_13711
OG0000364	CAPO301330, CAPO300908	LYTVA_03241, LYTVA_12339, LYTVA_24462, LYTVA_21604, LYTVA_02959, LYTVA_06968, LYTVA_19018, LYTVA_21819
OG0000365	CAPO302286	LYTVA_20090
OG0000367	CAPO301272	LYTVA_24456
OG0000371	CAPO307503	LYTVA_07987, LYTVA_18253, LYTVA_26533, LYTVA_00668, LYTVA_00667, LYTVA_22063, LYTVA_24627, LYTVA_18100, LYTVA_24630
OG0000372	CAPO307553	LYTVA_09420, LYTVA_03697, LYTVA_13806
OG0000373	CAPO301744	LYTVA_27427, LYTVA_08644
OG0000385	CAPO300182, CAPO305781, CAPO305517	LYTVA_24174, LYTVA_28777, LYTVA_02510, LYTVA_20464, LYTVA_23283, LYTVA_21446
OG0000390	CAPO301433, CAPO301477	LYTVA_03006, LYTVA_05908, LYTVA_05909, LYTVA_15943, LYTVA_02895, LYTVA_06843, LYTVA_24293, LYTVA_18122
OG0000390	CAPO307000	LYTVA_24095, LYTVA_25744
OG0000393	CAPO307627	LYTVA_07049, LYTVA_04769, LYTVA_02534, LYTVA_19296, LYTVA_18987, LYTVA_29904
OG0000397	CAPO304372	LYTVA_01829
OG0000399	CAPO302781	LYTVA_10214, LYTVA_23258, LYTVA_10216
OG0000402	CAPO300999	LYTVA_17451, LYTVA_17450
OG0000405	CAPO300636	LYTVA_02873
OG0000412	CAPO306116	LYTVA_01548, LYTVA_08305
OG0000412	CAPO307159	LYTVA_13235
OG0000413	CAPO302663	LYTVA_30013
OG0000413	CAPO304678	LYTVA_27164
