Orthogroup	CAPO3	HUMAN
OG0000122	CAPO307824	HUMAN12772, HUMAN27264, HUMAN18288, HUMAN17166, HUMAN22503, HUMAN22502, HUMAN23904, HUMAN17167, HUMAN20607, HUMAN17789, HUMAN06426, HUMAN06427
OG0000124	CAPO302553	HUMAN00442, HUMAN00443
OG0000126	CAPO301836	HUMAN22360, HUMAN22375, HUMAN24176, HUMAN09168
OG0000126	CAPO302484	HUMAN07866, HUMAN30407, HUMAN21845
OG0000126	CAPO300572	HUMAN07493, HUMAN22359, HUMAN14005, HUMAN14232, HUMAN14231, HUMAN01769, HUMAN01768, HUMAN09480
OG0000128	CAPO306991, CAPO304956	HUMAN04854, HUMAN04855, HUMAN04482, HUMAN05330, HUMAN05329
OG0000129	CAPO303361	HUMAN02545, HUMAN04877, HUMAN25129, HUMAN02543, HUMAN15464, HUMAN02634, HUMAN09344, HUMAN16815, HUMAN16811, HUMAN05233, HUMAN30228, HUMAN18494, HUMAN18495
OG0000137	CAPO305369	HUMAN28180, HUMAN25590, HUMAN25594, HUMAN23088, HUMAN13481, HUMAN25150, HUMAN25149
OG0000142	CAPO302031, CAPO302030	HUMAN02794, HUMAN11653, HUMAN13737, HUMAN29488, HUMAN14465, HUMAN24745, HUMAN24431, HUMAN24432, HUMAN19224
OG0000147	CAPO308132	HUMAN24559, HUMAN27635
OG0000147	CAPO304230	HUMAN18714, HUMAN18712
OG0000149	CAPO305206, CAPO306214	HUMAN23614, HUMAN23616, HUMAN23619, HUMAN10034, HUMAN23690, HUMAN22790
OG0000157	CAPO305956	HUMAN28808, HUMAN14307, HUMAN14308, HUMAN28807, HUMAN14310
OG0000157	CAPO305824	HUMAN01369, HUMAN20932, HUMAN26487, HUMAN19863, HUMAN20935, HUMAN26485, HUMAN01368, HUMAN11058, HUMAN11059
OG0000158	CAPO302924	HUMAN02259, HUMAN02258
OG0000160	CAPO301680	HUMAN18884, HUMAN18883
