transcript_id	gene_id
rna-XM_035830236.1	LOC118422589
rna-XM_035830228.1	LOC118422589
rna-XM_035830252.1	LOC118422589
rna-XM_035830244.1	LOC118422589
rna-XM_035830339.1	LOC118422657
rna-XM_035830349.1	LOC118422657
rna-XM_035830332.1	LOC118422657
rna-XM_035833241.1	LOC118424599
rna-XM_035830138.1	LOC118422510
rna-XM_035830294.1	LOC118422635
rna-XM_035833262.1	LOC118424617
rna-XM_035833358.1	LOC118424685
rna-XM_035830412.1	LOC118422703
rna-XM_035830399.1	LOC118422696
rna-XM_035830145.1	LOC118422520
rna-XM_035830151.1	LOC118422520
rna-XM_035830282.1	LOC118422621
rna-XM_035830273.1	LOC118422621
rna-XM_035830046.1	LOC118422449
rna-XM_035830055.1	LOC118422449
rna-XM_035830072.1	LOC118422449
rna-XM_035830062.1	LOC118422449
rna-XM_035830039.1	LOC118422449
rna-XM_035830025.1	LOC118422446
rna-XM_035830374.1	LOC118422680
rna-XM_035830218.1	LOC118422579
rna-XM_035826024.1	LOC118419578
rna-XM_035826033.1	LOC118419578
rna-XM_035826016.1	LOC118419568
rna-XM_035825991.1	LOC118419552
rna-XM_035826004.1	LOC118419559
rna-XM_035816764.1	LOC118413398
rna-XM_035816755.1	LOC118413389
rna-XM_035816743.1	LOC118413380
rna-XM_035821115.1	LOC118416058
rna-XM_035821128.1	LOC118416066
rna-XM_035821161.1	LOC118416094
rna-XM_035821205.1	LOC118416126
rna-XM_035821224.1	LOC118416145
rna-XM_035821230.1	LOC118416145
rna-XM_035821185.1	LOC118416109
rna-XM_035821193.1	LOC118416109
rna-XM_035821149.1	LOC118416077
rna-XM_035821138.1	LOC118416077
rna-XM_035821173.1	LOC118416103
rna-XM_035821215.1	LOC118416137
rna-XM_035836869.1	LOC118427216
rna-XM_035836861.1	LOC118427216
rna-XM_035836840.1	LOC118427201
rna-XM_035836849.1	LOC118427201
rna-XM_035818842.1	LOC118414649
rna-XM_035818859.1	LOC118414649
rna-XM_035818851.1	LOC118414649
rna-XM_035822485.1	LOC118417087
rna-XM_035840895.1	LOC118430183
rna-XM_035832899.1	LOC118424347
rna-XM_035832907.1	LOC118424347
rna-XM_035832889.1	LOC118424338
rna-XM_035817148.1	LOC118413619
rna-XM_035833371.1	LOC118424687
rna-XM_035817163.1	LOC118413634
rna-XM_035817170.1	LOC118413634
rna-XM_035817177.1	LOC118413634
rna-XM_035817605.1	LOC118413926
rna-XM_035817588.1	LOC118413926
rna-XM_035817597.1	LOC118413926
rna-XM_035817679.1	LOC118413986
rna-XM_035817528.1	LOC118413898
rna-XM_035817518.1	LOC118413898
rna-XM_035817575.1	LOC118413898
rna-XM_035817547.1	LOC118413898
rna-XM_035817565.1	LOC118413898
rna-XM_035817536.1	LOC118413898
rna-XM_035817556.1	LOC118413898
rna-XM_035817672.1	LOC118413976
rna-XM_035817643.1	LOC118413941
rna-XM_035817634.1	LOC118413941
rna-XM_035817626.1	LOC118413941
rna-XM_035817652.1	LOC118413941
rna-XM_035817619.1	LOC118413941
rna-XM_035817661.1	LOC118413941
rna-XM_035817693.1	LOC118413994
rna-XM_035838349.1	LOC118428316
rna-XM_035826957.1	LOC118420234
rna-XM_035826964.1	LOC118420234
rna-XM_035826973.1	LOC118420234
rna-XM_035826981.1	LOC118420234
rna-XM_035826899.1	LOC118420113
rna-XM_035826884.1	LOC118420113
rna-XM_035826862.1	LOC118420113
rna-XM_035826877.1	LOC118420113
rna-XM_035826841.1	LOC118420113
rna-XM_035826870.1	LOC118420113
rna-XM_035826855.1	LOC118420113
rna-XM_035826848.1	LOC118420113
rna-XM_035826827.1	LOC118420113
rna-XM_035826836.1	LOC118420113
rna-XM_035826819.1	LOC118420113
rna-XM_035826892.1	LOC118420113
rna-XM_035826909.1	LOC118420192
rna-XM_035826930.1	LOC118420192
rna-XM_035826946.1	LOC118420192
rna-XM_035826924.1	LOC118420192
rna-XM_035826937.1	LOC118420192
rna-XM_035826916.1	LOC118420192
rna-XM_035833229.1	LOC118424589
rna-XM_035836327.1	LOC118426802
rna-XM_035835197.1	LOC118425984
rna-XM_035835223.1	LOC118425984
rna-XM_035835188.1	LOC118425984
rna-XM_035835205.1	LOC118425984
rna-XM_035835179.1	LOC118425984
rna-XM_035835213.1	LOC118425984
rna-XM_035835231.1	LOC118425984
rna-XM_035836902.1	LOC118427243
rna-XM_035836910.1	LOC118427243
rna-XM_035836921.1	LOC118427243
rna-XM_035826115.1	LOC118419633
rna-XM_035826102.1	LOC118419627
rna-XM_035826147.1	LOC118419640
rna-XM_035826128.1	LOC118419640
rna-XM_035826139.1	LOC118419640
rna-XM_035833436.1	LOC118424726
rna-XM_035826160.1	LOC118419657
rna-XM_035826170.1	LOC118419657
rna-XM_035829336.1	LOC118421831
rna-XM_035816787.1	LOC118413415
rna-XM_035833513.1	LOC118424780
rna-XM_035834955.1	LOC118425841
rna-XM_035802495.1	LOC118403685
rna-XM_035802391.1	LOC118403309
rna-XM_035802310.1	LOC118403309
