Orthogroup	ORYLA	XENTR
OG0000054	ORYLA08804	XENTR11898, XENTR11899, XENTR11900
OG0000055	ORYLA00098, ORYLA00083, ORYLA00100	XENTR18833, XENTR15661, XENTR14985, XENTR15663, XENTR15655, XENTR15666, XENTR15669, XENTR17995, XENTR17898, XENTR19084, XENTR18000, XENTR17996, XENTR17524, XENTR17994, XENTR15014, XENTR17999
OG0000056	ORYLA13076	XENTR00422
OG0000056	ORYLA16605	XENTR06505
OG0000056	ORYLA00878, ORYLA16604	XENTR06506
OG0000056	ORYLA17860	XENTR00781
OG0000057	ORYLA17686	XENTR04236
OG0000057	ORYLA14639, ORYLA12170	XENTR01413, XENTR01414
OG0000057	ORYLA13554, ORYLA12219	XENTR03679
OG0000058	ORYLA11895, ORYLA12524	XENTR16040
OG0000058	ORYLA19070	XENTR06707
OG0000058	ORYLA00576	XENTR13842
OG0000058	ORYLA16972	XENTR00121
OG0000059	ORYLA07253	XENTR11924
OG0000059	ORYLA03181, ORYLA04042	XENTR13190
OG0000059	ORYLA09176	XENTR09381
OG0000059	ORYLA04242	XENTR15475
OG0000060	ORYLA01946, ORYLA04743	XENTR09513
OG0000060	ORYLA16841, ORYLA08032	XENTR11489
OG0000060	ORYLA14832	XENTR04114
OG0000060	ORYLA15092	XENTR08957
OG0000061	ORYLA09666, ORYLA08403	XENTR00116
OG0000061	ORYLA01785	XENTR05367
OG0000061	ORYLA10018	XENTR09403
OG0000061	ORYLA07904	XENTR06949, XENTR06950
OG0000061	ORYLA07058	XENTR12872
OG0000061	ORYLA16623	XENTR09801
OG0000061	ORYLA08006	XENTR01801
OG0000061	ORYLA08288	XENTR09112
OG0000061	ORYLA09144, ORYLA06720	XENTR16336
OG0000061	ORYLA07094, ORYLA13357, ORYLA13574	XENTR06851
OG0000061	ORYLA07095, ORYLA13356	XENTR10614
OG0000061	ORYLA19115	XENTR06288
OG0000061	ORYLA07060	XENTR10609
OG0000061	ORYLA08273	XENTR10747
OG0000062	ORYLA18121	XENTR06154
OG0000062	ORYLA18156, ORYLA00681, ORYLA10025, ORYLA00679, ORYLA00682, ORYLA18500	XENTR13824
OG0000062	ORYLA19830	XENTR13825, XENTR13823, XENTR15204, XENTR13819, XENTR15200, XENTR18547, XENTR13817, XENTR15205, XENTR15201, XENTR15202, XENTR13818, XENTR15203
OG0000062	ORYLA05590, ORYLA05591	XENTR15531
