Orthogroup	ORYLA	SACKO_ok
OG0000014	ORYLA13996, ORYLA16200, ORYLA10845, ORYLA16010, ORYLA14063, ORYLA17181, ORYLA08263	SACKO_10784, SACKO_10786
OG0000014	ORYLA15682	SACKO_33738, SACKO_26423, SACKO_26460
OG0000014	ORYLA04907	SACKO_06765, SACKO_21227, SACKO_28145, SACKO_13011, SACKO_28125, SACKO_13001
OG0000014	ORYLA11600, ORYLA01088	SACKO_13283
OG0000015	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971	SACKO_31697
OG0000015	ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514	SACKO_11254, SACKO_29684, SACKO_11255, SACKO_11287, SACKO_11889, SACKO_08390, SACKO_24547, SACKO_24571, SACKO_02855, SACKO_24548, SACKO_22485, SACKO_22502, SACKO_22509, SACKO_17011, SACKO_07089, SACKO_00034, SACKO_00056, SACKO_18010, SACKO_12151, SACKO_25364, SACKO_25361, SACKO_25397, SACKO_25365, SACKO_33283, SACKO_33290, SACKO_08251, SACKO_11425, SACKO_33292, SACKO_33299
OG0000016	ORYLA12720, ORYLA00945	SACKO_26503, SACKO_06921, SACKO_08552, SACKO_02763, SACKO_27519, SACKO_31968
OG0000016	ORYLA09921	SACKO_15439, SACKO_19317, SACKO_06877, SACKO_04946
OG0000016	ORYLA00030	SACKO_11717, SACKO_14898
OG0000016	ORYLA08665	SACKO_26527
OG0000016	ORYLA11245, ORYLA15380	SACKO_10752, SACKO_25451, SACKO_06368, SACKO_16222, SACKO_01152, SACKO_01198, SACKO_02850, SACKO_02856, SACKO_23460, SACKO_02844, SACKO_00542, SACKO_04938, SACKO_04247, SACKO_12793, SACKO_30133, SACKO_06151, SACKO_06139, SACKO_16244, SACKO_18686, SACKO_27061, SACKO_06906, SACKO_06367, SACKO_06917
OG0000017	ORYLA04686	SACKO_00987, SACKO_29799
OG0000018	ORYLA18860, ORYLA00684, ORYLA17944	SACKO_21669, SACKO_17074, SACKO_20752
OG0000019	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088	SACKO_23880
OG0000020	ORYLA12531	SACKO_22951
OG0000020	ORYLA10559	SACKO_32378
OG0000020	ORYLA06663	SACKO_20642
OG0000020	ORYLA16080	SACKO_08732
OG0000020	ORYLA09855	SACKO_21519
OG0000020	ORYLA06900, ORYLA09950	SACKO_08704, SACKO_24262, SACKO_13567, SACKO_14956, SACKO_28904
OG0000020	ORYLA16727	SACKO_19273, SACKO_23553, SACKO_23513
OG0000020	ORYLA06780	SACKO_16107, SACKO_20105
