Orthogroup	ORYLA	SCHMD
OG0000148	ORYLA15624, ORYLA14208, ORYLA14207, ORYLA14204, ORYLA15626, ORYLA03132, ORYLA14172, ORYLA10887, ORYLA14722	SCHMD08056
OG0000149	ORYLA15235, ORYLA15236, ORYLA12701, ORYLA20319	SCHMD06205, SCHMD05440
OG0000151	ORYLA01789, ORYLA08191, ORYLA17153, ORYLA15978, ORYLA13920, ORYLA08402, ORYLA09669	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274
OG0000151	ORYLA02467, ORYLA17249, ORYLA13261, ORYLA02929	SCHMD02747, SCHMD12342
OG0000153	ORYLA07634, ORYLA07633, ORYLA07635, ORYLA07636, ORYLA05578, ORYLA05577, ORYLA07896, ORYLA07897, ORYLA07844, ORYLA07894	SCHMD05163, SCHMD05160, SCHMD02381
OG0000155	ORYLA11669, ORYLA10177, ORYLA11879	SCHMD05383, SCHMD06593, SCHMD10992
OG0000155	ORYLA01962, ORYLA20370	SCHMD23773, SCHMD18379, SCHMD09661, SCHMD07787
OG0000155	ORYLA01931, ORYLA05131	SCHMD13125
OG0000157	ORYLA17521, ORYLA13610, ORYLA10318, ORYLA10319	SCHMD03548, SCHMD06363
OG0000157	ORYLA13712	SCHMD24948
OG0000157	ORYLA15189	SCHMD15302
OG0000157	ORYLA12434	SCHMD01802
OG0000158	ORYLA16215, ORYLA04882, ORYLA09237, ORYLA07104	SCHMD18936
OG0000159	ORYLA09075	SCHMD26601, SCHMD09606
OG0000159	ORYLA02062, ORYLA11501, ORYLA06048, ORYLA02590, ORYLA18122, ORYLA08188	SCHMD14942
OG0000162	ORYLA08646	SCHMD08936
OG0000163	ORYLA00631, ORYLA16749, ORYLA00152, ORYLA08374, ORYLA16276, ORYLA16748, ORYLA00153, ORYLA16983, ORYLA16982	SCHMD23090
OG0000163	ORYLA08243, ORYLA08244, ORYLA05623, ORYLA01820, ORYLA17166, ORYLA15777	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554
OG0000166	ORYLA16752	SCHMD15704, SCHMD08401
OG0000167	ORYLA20275, ORYLA20276	SCHMD16214, SCHMD15187
OG0000169	ORYLA18751	SCHMD00386
OG0000171	ORYLA17814, ORYLA02334, ORYLA08117, ORYLA10775, ORYLA01499, ORYLA17815	SCHMD26790, SCHMD13950
OG0000174	ORYLA19814, ORYLA10779	SCHMD09838
OG0000175	ORYLA13694, ORYLA09065, ORYLA06318	SCHMD18439, SCHMD17544
OG0000179	ORYLA08077, ORYLA04985, ORYLA02338, ORYLA18117	SCHMD11075
OG0000179	ORYLA18062, ORYLA18061, ORYLA14649	SCHMD01320
OG0000181	ORYLA16498, ORYLA13742, ORYLA15752, ORYLA07049, ORYLA08335	SCHMD27609, SCHMD12097, SCHMD28522
OG0000181	ORYLA19060, ORYLA03346	SCHMD20053, SCHMD26119
OG0000181	ORYLA18853	SCHMD11453
OG0000182	ORYLA10989, ORYLA17913, ORYLA08510	SCHMD24741
OG0000182	ORYLA19632, ORYLA17681, ORYLA14485	SCHMD07603
OG0000183	ORYLA03838, ORYLA03086, ORYLA10707, ORYLA07386, ORYLA05009, ORYLA00092	SCHMD21103, SCHMD28756
OG0000183	ORYLA03426, ORYLA09404, ORYLA03815	SCHMD12130, SCHMD10333
OG0000192	ORYLA09752, ORYLA08947, ORYLA19527, ORYLA20454, ORYLA00818, ORYLA13158	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443
OG0000194	ORYLA03335, ORYLA10209, ORYLA09317	SCHMD11912, SCHMD12565
OG0000195	ORYLA09172, ORYLA07416	SCHMD06851
OG0000197	ORYLA02119, ORYLA10283, ORYLA11398, ORYLA10168, ORYLA05652	SCHMD10696, SCHMD17861, SCHMD23209
OG0000198	ORYLA06440	SCHMD19721, SCHMD14674, SCHMD25939
OG0000199	ORYLA01152, ORYLA01153, ORYLA01154, ORYLA01155, ORYLA01148, ORYLA01150, ORYLA01149, ORYLA01151	SCHMD25193, SCHMD19754, SCHMD12419, SCHMD26058, SCHMD15988, SCHMD23974
OG0000201	ORYLA16516, ORYLA00614, ORYLA00794, ORYLA17010	SCHMD28886, SCHMD20370, SCHMD17233
OG0000201	ORYLA17554, ORYLA04556, ORYLA03543	SCHMD00317, SCHMD09035
OG0000201	ORYLA11410, ORYLA04401, ORYLA17966	SCHMD10520
OG0000203	ORYLA19611, ORYLA02186, ORYLA05651, ORYLA02226	SCHMD13221
OG0000204	ORYLA19568	SCHMD05946, SCHMD11236, SCHMD20783
OG0000204	ORYLA10864	SCHMD19671, SCHMD20793, SCHMD11234, SCHMD00858
OG0000204	ORYLA10865	SCHMD00860, SCHMD11235
OG0000204	ORYLA12759	SCHMD00861
OG0000205	ORYLA10735, ORYLA11823, ORYLA04847, ORYLA00096	SCHMD01159, SCHMD14901, SCHMD14452, SCHMD14902, SCHMD14453
OG0000205	ORYLA07839, ORYLA16466, ORYLA01806	SCHMD25881, SCHMD14433, SCHMD00603, SCHMD11532, SCHMD18472, SCHMD00599, SCHMD27278
OG0000205	ORYLA08887, ORYLA07906, ORYLA16386, ORYLA08645, ORYLA09823	SCHMD03008, SCHMD07998, SCHMD07996
OG0000207	ORYLA12926, ORYLA15852, ORYLA20450, ORYLA04172, ORYLA06174, ORYLA15820	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396
OG0000208	ORYLA16091, ORYLA04477, ORYLA03969, ORYLA14541	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998, SCHMD11986, SCHMD02567, SCHMD02568, SCHMD12406, SCHMD01555, SCHMD12407, SCHMD05900
OG0000211	ORYLA04972	SCHMD21436
OG0000215	ORYLA04441, ORYLA17376	SCHMD15383
OG0000218	ORYLA15885	SCHMD01527
OG0000220	ORYLA06609, ORYLA09295	SCHMD07645
OG0000221	ORYLA19844, ORYLA09679, ORYLA09153, ORYLA06716, ORYLA16420, ORYLA20056, ORYLA03306, ORYLA16226, ORYLA13864, ORYLA19366, ORYLA06146, ORYLA01810, ORYLA16468, ORYLA14776	SCHMD10720
OG0000222	ORYLA03527, ORYLA14496, ORYLA13104, ORYLA13105	SCHMD21612, SCHMD08502
OG0000225	ORYLA10962, ORYLA15835, ORYLA13765, ORYLA15534, ORYLA19091, ORYLA15739, ORYLA02794, ORYLA01507	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161
OG0000227	ORYLA01974	SCHMD05742, SCHMD06927
OG0000227	ORYLA07142, ORYLA14920, ORYLA14919	SCHMD05353
OG0000227	ORYLA07005, ORYLA07006, ORYLA13332	SCHMD04380
OG0000230	ORYLA10690	SCHMD23835, SCHMD14315
OG0000231	ORYLA01387, ORYLA04281, ORYLA19832, ORYLA13508, ORYLA19448, ORYLA09456	SCHMD15225, SCHMD17377
OG0000231	ORYLA08962	SCHMD24769, SCHMD25604
OG0000233	ORYLA18003	SCHMD01146, SCHMD07435, SCHMD22145
OG0000235	ORYLA01167, ORYLA04027, ORYLA10002	SCHMD29163
OG0000236	ORYLA12896, ORYLA06350	SCHMD00730
OG0000239	ORYLA16412, ORYLA07887, ORYLA08904, ORYLA06616, ORYLA09375, ORYLA08385	SCHMD18522
OG0000239	ORYLA11432, ORYLA10759	SCHMD03432
OG0000239	ORYLA19462, ORYLA07829, ORYLA05627, ORYLA01800	SCHMD06547
OG0000240	ORYLA18684	SCHMD06226, SCHMD00582
OG0000242	ORYLA20204, ORYLA11050	SCHMD20260
OG0000246	ORYLA16344	SCHMD02140
OG0000246	ORYLA17250	SCHMD16891, SCHMD17961, SCHMD12289
OG0000248	ORYLA10227	SCHMD01134, SCHMD07579, SCHMD25860
OG0000250	ORYLA14962	SCHMD07715, SCHMD11126
OG0000250	ORYLA16891	SCHMD00165
OG0000250	ORYLA11002	SCHMD03762, SCHMD05189
OG0000251	ORYLA03531	SCHMD28872
OG0000255	ORYLA04331	SCHMD14618, SCHMD25034
OG0000256	ORYLA02742, ORYLA16602, ORYLA00877	SCHMD06220
OG0000258	ORYLA19450	SCHMD19345
OG0000260	ORYLA10907, ORYLA18428, ORYLA15874, ORYLA17877, ORYLA08131, ORYLA01145	SCHMD00231
OG0000263	ORYLA00024	SCHMD21152, SCHMD16080, SCHMD25801, SCHMD26173, SCHMD15861, SCHMD05150
OG0000265	ORYLA17739, ORYLA10912, ORYLA14726	SCHMD18240, SCHMD09007
OG0000266	ORYLA16539	SCHMD11802
OG0000266	ORYLA00536	SCHMD08189
OG0000266	ORYLA00565	SCHMD26661, SCHMD18048
OG0000268	ORYLA05672, ORYLA09801, ORYLA05671	SCHMD25441
OG0000270	ORYLA04109, ORYLA11496	SCHMD16423
OG0000272	ORYLA01727, ORYLA05346, ORYLA10396, ORYLA15887, ORYLA20158, ORYLA03232, ORYLA18754	SCHMD13324, SCHMD08067
OG0000273	ORYLA13171	SCHMD09689
OG0000273	ORYLA05785, ORYLA16265, ORYLA00791	SCHMD18528, SCHMD25490
OG0000275	ORYLA11109	SCHMD00604
OG0000275	ORYLA08098, ORYLA00342, ORYLA00341, ORYLA02599	SCHMD08209, SCHMD24873
OG0000276	ORYLA12948	SCHMD08876
OG0000277	ORYLA07913, ORYLA13592, ORYLA17906	SCHMD09439
OG0000278	ORYLA04766	SCHMD04708, SCHMD14538
OG0000278	ORYLA17596	SCHMD00822, SCHMD09237, SCHMD03776
OG0000280	ORYLA17698	SCHMD22604
OG0000280	ORYLA11520, ORYLA12009, ORYLA14903	SCHMD23115
OG0000281	ORYLA13690, ORYLA18802, ORYLA15942, ORYLA10808, ORYLA13337, ORYLA07002, ORYLA09322	SCHMD28123, SCHMD29220
OG0000282	ORYLA00210, ORYLA09022	SCHMD05137
OG0000282	ORYLA01496	SCHMD15635, SCHMD25636
OG0000282	ORYLA04826	SCHMD25893
OG0000284	ORYLA12966, ORYLA01651, ORYLA17103, ORYLA18256	SCHMD23360, SCHMD08213
