Orthogroup	AMPFI_ok	BRAFL
OG0000019	AMPFI_01264, AMPFI_06523	bflo_26518, bflo_26519, bflo_04870
OG0000019	AMPFI_03780	bflo_15319, bflo_14638, bflo_14407, bflo_14408, bflo_21582, bflo_05781, bflo_06551, bflo_06786, bflo_05478, bflo_06552, bflo_02039, bflo_04152, bflo_18281, bflo_02884, bflo_17342, bflo_17343, bflo_02918, bflo_02876, bflo_25580, bflo_02890, bflo_06715, bflo_06719, bflo_02868, bflo_04218, bflo_15434, bflo_14556
OG0000020	AMPFI_07852	bflo_19465
OG0000020	AMPFI_03773	bflo_19726
OG0000020	AMPFI_15880	bflo_13852
OG0000020	AMPFI_19334	bflo_17473, bflo_27211
OG0000020	AMPFI_23773	bflo_24908
OG0000020	AMPFI_11019	bflo_12267
OG0000020	AMPFI_24792	bflo_24384, bflo_16833, bflo_26236, bflo_20748, bflo_09699, bflo_21336, bflo_13053, bflo_12684, bflo_25143, bflo_24001, bflo_22065, bflo_14513
OG0000020	AMPFI_07932	bflo_16368
OG0000020	AMPFI_12343	bflo_14118
OG0000020	AMPFI_21494	bflo_07448
OG0000020	AMPFI_06129	bflo_18684
OG0000020	AMPFI_07388	bflo_14450
OG0000020	AMPFI_13969	bflo_00687
OG0000020	AMPFI_11845	bflo_14415
OG0000021	AMPFI_23043, AMPFI_10198	bflo_07173
OG0000021	AMPFI_08825	bflo_11166, bflo_11165, bflo_11164
OG0000021	AMPFI_16391, AMPFI_25518, AMPFI_19616, AMPFI_08794, AMPFI_23196, AMPFI_19941	bflo_27402, bflo_22537, bflo_22539, bflo_22305
OG0000021	AMPFI_00389, AMPFI_07405, AMPFI_24716, AMPFI_19890, AMPFI_10085, AMPFI_07684	bflo_14957, bflo_14617, bflo_14568
OG0000023	AMPFI_05477	bflo_10816, bflo_10061
OG0000023	AMPFI_20581	bflo_25079
OG0000023	AMPFI_14885, AMPFI_23006, AMPFI_10764	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512, bflo_20456
OG0000023	AMPFI_05765, AMPFI_01138, AMPFI_10312	bflo_03971, bflo_03972, bflo_00874, bflo_06832, bflo_14042
OG0000023	AMPFI_11290	bflo_20954
OG0000026	AMPFI_12171	bflo_21516, bflo_21519, bflo_21523
OG0000026	AMPFI_09960, AMPFI_03858, AMPFI_13122	bflo_14643, bflo_14642, bflo_14973
OG0000026	AMPFI_01077, AMPFI_16904	bflo_26853, bflo_07376
OG0000026	AMPFI_08447, AMPFI_21379, AMPFI_14524, AMPFI_00667, AMPFI_07824, AMPFI_23957	bflo_03704, bflo_21877, bflo_14509, bflo_02973, bflo_03705, bflo_02969, bflo_17121, bflo_03998, bflo_09675, bflo_07770, bflo_18066, bflo_05329, bflo_21515, bflo_21517, bflo_21247, bflo_21501, bflo_21518, bflo_01508, bflo_00408, bflo_21522, bflo_21831, bflo_17285, bflo_17283, bflo_17284, bflo_05278, bflo_09823, bflo_06473, bflo_14607, bflo_03670, bflo_03671, bflo_14608, bflo_14866, bflo_15396, bflo_15364, bflo_15390, bflo_15388, bflo_15386, bflo_15381, bflo_09643, bflo_15362, bflo_08780
OG0000026	AMPFI_09720, AMPFI_00659	bflo_11370
OG0000027	AMPFI_03819	bflo_13627, bflo_13309, bflo_13311, bflo_13310
OG0000028	AMPFI_19162	bflo_15045, bflo_23186, bflo_23170, bflo_06699, bflo_04841, bflo_14636, bflo_15358
OG0000029	AMPFI_24572, AMPFI_17682, AMPFI_23832	bflo_00003
OG0000029	AMPFI_05500	bflo_25831
OG0000029	AMPFI_18884	bflo_00316, bflo_26576
OG0000030	AMPFI_02183	bflo_08323, bflo_05230
OG0000030	AMPFI_03176	bflo_21886
OG0000031	AMPFI_01755, AMPFI_10718, AMPFI_14435	bflo_04592, bflo_05889, bflo_05515, bflo_02310
OG0000031	AMPFI_16606	bflo_15662
OG0000031	AMPFI_06256	bflo_02624
OG0000031	AMPFI_14304	bflo_02849
OG0000031	AMPFI_10484	bflo_06021
OG0000031	AMPFI_01333	bflo_06369
OG0000031	AMPFI_10833	bflo_15459
OG0000031	AMPFI_02985	bflo_02405
