Orthogroup	AMPFI_ok	NEMVE
OG0000020	AMPFI_11933, AMPFI_06907, AMPFI_24792	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862
OG0000020	AMPFI_07932	NEMVE05506
OG0000020	AMPFI_12343	NEMVE08770, NEMVE22771
OG0000020	AMPFI_25813	NEMVE13577
OG0000020	AMPFI_21494	NEMVE13307
OG0000020	AMPFI_07388	NEMVE21746
OG0000020	AMPFI_13969	NEMVE13092
OG0000020	AMPFI_11845	NEMVE15151
OG0000021	AMPFI_23043, AMPFI_10198	NEMVE25647
OG0000021	AMPFI_04441	NEMVE17642, NEMVE17644, NEMVE21888
OG0000021	AMPFI_12629	NEMVE11953
OG0000021	AMPFI_24454, AMPFI_16391, AMPFI_25518, AMPFI_19616, AMPFI_08794, AMPFI_23196, AMPFI_19941, AMPFI_00389, AMPFI_07405, AMPFI_24716, AMPFI_19890, AMPFI_10085, AMPFI_07684	NEMVE04837
OG0000023	AMPFI_05477	NEMVE01882
OG0000023	AMPFI_11289, AMPFI_18034	NEMVE07698
OG0000023	AMPFI_14885, AMPFI_23006, AMPFI_10764	NEMVE02033, NEMVE05058, NEMVE00878
OG0000023	AMPFI_05765, AMPFI_01138, AMPFI_10312	NEMVE13647
OG0000023	AMPFI_02817, AMPFI_19302, AMPFI_11290	NEMVE18254
OG0000024	AMPFI_23545, AMPFI_16144, AMPFI_01273, AMPFI_25554, AMPFI_08066, AMPFI_11543, AMPFI_01250, AMPFI_09417, AMPFI_01930, AMPFI_21703, AMPFI_25509, AMPFI_16691, AMPFI_22586, AMPFI_22782, AMPFI_13034, AMPFI_08529, AMPFI_11032, AMPFI_09766, AMPFI_20328, AMPFI_11488, AMPFI_14597, AMPFI_06959, AMPFI_07236, AMPFI_06755, AMPFI_03338, AMPFI_12963, AMPFI_15605, AMPFI_06015, AMPFI_05885, AMPFI_01680, AMPFI_19467, AMPFI_08281, AMPFI_06875, AMPFI_14904, AMPFI_08222, AMPFI_10693, AMPFI_13114, AMPFI_24998, AMPFI_12201, AMPFI_14926, AMPFI_12067, AMPFI_16824, AMPFI_25046, AMPFI_12131, AMPFI_11822, AMPFI_24855, AMPFI_01019, AMPFI_14888, AMPFI_01380, AMPFI_07327, AMPFI_03050, AMPFI_12003, AMPFI_04946, AMPFI_17149, AMPFI_06930, AMPFI_01987, AMPFI_25530, AMPFI_19893, AMPFI_18607, AMPFI_04889, AMPFI_22182, AMPFI_24167, AMPFI_19324, AMPFI_19493, AMPFI_23479, AMPFI_06754, AMPFI_02116	NEMVE05736, NEMVE12848
OG0000024	AMPFI_19400, AMPFI_02782, AMPFI_01292, AMPFI_11381, AMPFI_02352, AMPFI_22670, AMPFI_08428, AMPFI_09931, AMPFI_03114, AMPFI_10533, AMPFI_24308, AMPFI_17116, AMPFI_23401	NEMVE10194, NEMVE06283, NEMVE03385, NEMVE10736, NEMVE10243, NEMVE12039
OG0000024	AMPFI_00675	NEMVE12528
OG0000024	AMPFI_06398, AMPFI_02047, AMPFI_13010, AMPFI_05170, AMPFI_24489	NEMVE03198
