Orthogroup	AMPFI_ok	CAEEL
OG0000229	AMPFI_00048, AMPFI_01094, AMPFI_20318, AMPFI_25621, AMPFI_04986, AMPFI_25120, AMPFI_24951, AMPFI_03165, AMPFI_19975, AMPFI_05764, AMPFI_10072, AMPFI_24212, AMPFI_15142, AMPFI_19973, AMPFI_16169, AMPFI_17069, AMPFI_03077	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478
OG0000230	AMPFI_09954	CAEEL14845, CAEEL19792
OG0000230	AMPFI_14811	CAEEL16226, CAEEL13679, CAEEL03009, CAEEL10796, CAEEL05825
OG0000230	AMPFI_12942, AMPFI_01408, AMPFI_23078, AMPFI_19504	CAEEL13030
OG0000231	AMPFI_01759	CAEEL01724
OG0000231	AMPFI_02162	CAEEL09666, CAEEL09673
OG0000233	AMPFI_17589	CAEEL19660, CAEEL15634
OG0000234	AMPFI_09748	CAEEL02295
OG0000234	AMPFI_05768	CAEEL03013, CAEEL03014
OG0000235	AMPFI_16872, AMPFI_22306	CAEEL10795, CAEEL07012
OG0000236	AMPFI_19570	CAEEL19835
OG0000239	AMPFI_07246, AMPFI_08248	CAEEL14926
OG0000239	AMPFI_20472	CAEEL00570
OG0000242	AMPFI_10835, AMPFI_24613	CAEEL05302
OG0000242	AMPFI_05850	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477
OG0000243	AMPFI_02124	CAEEL13597, CAEEL13598
OG0000244	AMPFI_12077, AMPFI_18742	CAEEL11789, CAEEL12688
OG0000245	AMPFI_10648	CAEEL20391
OG0000248	AMPFI_08134, AMPFI_21352	CAEEL17077
OG0000249	AMPFI_14226, AMPFI_11149	CAEEL00206
OG0000250	AMPFI_07242	CAEEL11963
OG0000250	AMPFI_05967	CAEEL07261
OG0000250	AMPFI_18668, AMPFI_20205, AMPFI_19063	CAEEL04698
OG0000250	AMPFI_12386	CAEEL06732
OG0000251	AMPFI_14822	CAEEL03667
OG0000255	AMPFI_21142	CAEEL05168
OG0000255	AMPFI_03946, AMPFI_14685, AMPFI_21286, AMPFI_16948	CAEEL05715
OG0000256	AMPFI_08473	CAEEL11937, CAEEL19468
OG0000258	AMPFI_21660	CAEEL19537
OG0000258	AMPFI_11627	CAEEL09342
OG0000260	AMPFI_00537, AMPFI_17984, AMPFI_01564, AMPFI_24181, AMPFI_02009, AMPFI_19737, AMPFI_00148, AMPFI_22181, AMPFI_19738, AMPFI_03062	CAEEL11482
OG0000265	AMPFI_11224	CAEEL10364
OG0000268	AMPFI_23943	CAEEL08164
OG0000269	AMPFI_02934, AMPFI_00091, AMPFI_15290, AMPFI_17569	CAEEL10894
OG0000271	AMPFI_22718, AMPFI_16033, AMPFI_22428, AMPFI_00241, AMPFI_16165, AMPFI_13367	CAEEL07236
OG0000272	AMPFI_20114	CAEEL11804, CAEEL19905
OG0000273	AMPFI_11471	CAEEL18644
OG0000273	AMPFI_05763	CAEEL20077
OG0000274	AMPFI_18340	CAEEL11033
OG0000275	AMPFI_19384	CAEEL11381, CAEEL10050
OG0000277	AMPFI_09153	CAEEL07730, CAEEL07729
OG0000277	AMPFI_19405	CAEEL11066
OG0000277	AMPFI_04428	CAEEL00092, CAEEL02855
OG0000278	AMPFI_20031	CAEEL07740
OG0000278	AMPFI_23155	CAEEL09180
OG0000278	AMPFI_11370	CAEEL07099
OG0000278	AMPFI_25739, AMPFI_15284	CAEEL02024
OG0000280	AMPFI_17296	CAEEL11652
OG0000282	AMPFI_11943, AMPFI_24461, AMPFI_16635, AMPFI_18258, AMPFI_00662	CAEEL11864
OG0000282	AMPFI_13665	CAEEL04645
OG0000284	AMPFI_12259, AMPFI_25463	CAEEL18846
OG0000285	AMPFI_19148	CAEEL14297, CAEEL16730
OG0000295	AMPFI_21638, AMPFI_25336	CAEEL04248, CAEEL10950
OG0000296	AMPFI_07491	CAEEL14675
OG0000301	AMPFI_01248	CAEEL11399
OG0000301	AMPFI_07549	CAEEL18767
OG0000305	AMPFI_03870	CAEEL19499
OG0000305	AMPFI_02684	CAEEL15162, CAEEL10872, CAEEL15163
OG0000306	AMPFI_01092	CAEEL11447, CAEEL11444, CAEEL11445
OG0000306	AMPFI_20442	CAEEL11448
OG0000308	AMPFI_19983, AMPFI_01977, AMPFI_20295, AMPFI_18028	CAEEL00748
