Orthogroup	STRPU_ok	HUMAN
OG0000088	STRPU_22547, STRPU_21931, STRPU_22061, STRPU_09861, STRPU_06425, STRPU_12997, STRPU_24674, STRPU_07045, STRPU_20838, STRPU_20875, STRPU_13326, STRPU_11713, STRPU_13712, STRPU_00232, STRPU_25974, STRPU_22714, STRPU_00696, STRPU_12904, STRPU_12905, STRPU_07251, STRPU_07272, STRPU_21273, STRPU_21272, STRPU_26899, STRPU_19492, STRPU_00779, STRPU_19792, STRPU_04079, STRPU_04080, STRPU_26089	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367
OG0000089	STRPU_10589	HUMAN21235
OG0000089	STRPU_17838, STRPU_22395	HUMAN29653, HUMAN25674
OG0000089	STRPU_08016, STRPU_25351	HUMAN25675
OG0000090	STRPU_20024, STRPU_20023	HUMAN24709
OG0000090	STRPU_15706	HUMAN28948
OG0000093	STRPU_16292, STRPU_19475, STRPU_19473, STRPU_19480, STRPU_17622, STRPU_02298, STRPU_02299, STRPU_02300, STRPU_17621, STRPU_13630, STRPU_15251, STRPU_25013, STRPU_15508, STRPU_01856, STRPU_01855, STRPU_03976, STRPU_24512, STRPU_15196, STRPU_17525, STRPU_17526, STRPU_15252	HUMAN25814, HUMAN25815, HUMAN26490, HUMAN26491, HUMAN20914
OG0000094	STRPU_22767, STRPU_01923	HUMAN05793, HUMAN05794, HUMAN21039, HUMAN14813, HUMAN21040, HUMAN29866
OG0000094	STRPU_19407	HUMAN02204, HUMAN29518, HUMAN14811
OG0000096	STRPU_06019	HUMAN30343, HUMAN07778, HUMAN21683
OG0000096	STRPU_23963, STRPU_23937	HUMAN01418, HUMAN23507, HUMAN06774
OG0000096	STRPU_22229	HUMAN27289
OG0000096	STRPU_27319	HUMAN13889, HUMAN01832
OG0000096	STRPU_15853, STRPU_15805	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866
OG0000096	STRPU_11677	HUMAN04200, HUMAN04201, HUMAN16028
OG0000096	STRPU_13124, STRPU_02569	HUMAN21561
OG0000098	STRPU_22565, STRPU_22567, STRPU_16696	HUMAN15990, HUMAN03957, HUMAN18424, HUMAN19602
OG0000098	STRPU_26921, STRPU_27157	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771
OG0000099	STRPU_05601, STRPU_05541, STRPU_05542, STRPU_05545, STRPU_05604	HUMAN05424
OG0000099	STRPU_16997, STRPU_16998	HUMAN15639, HUMAN15638, HUMAN05635, HUMAN25408, HUMAN00740, HUMAN19390
OG0000101	STRPU_12617	HUMAN11236, HUMAN11477, HUMAN11479, HUMAN11478
OG0000101	STRPU_17399, STRPU_17409	HUMAN22036, HUMAN22037
