Orthogroup	STRPU_ok	SACKO_ok
OG0000056	STRPU_05523	SACKO_01900
OG0000056	STRPU_06434	SACKO_22063
OG0000058	STRPU_10155, STRPU_10092	SACKO_23572
OG0000058	STRPU_08638	SACKO_00929, SACKO_00933, SACKO_00911
OG0000059	STRPU_05220	SACKO_01899
OG0000059	STRPU_05822	SACKO_09491
OG0000059	STRPU_19726, STRPU_19725	SACKO_10142, SACKO_10130, SACKO_25287, SACKO_10138, SACKO_34062, SACKO_14060, SACKO_25475, SACKO_34023, SACKO_34073
OG0000059	STRPU_03376, STRPU_02976	SACKO_27650, SACKO_27632, SACKO_27652, SACKO_13821, SACKO_17647
OG0000059	STRPU_24694, STRPU_24697, STRPU_24828, STRPU_24005	SACKO_18357
OG0000060	STRPU_24855	SACKO_26044
OG0000060	STRPU_18179	SACKO_07510
OG0000060	STRPU_12994	SACKO_08309
OG0000061	STRPU_13962	SACKO_02041
OG0000061	STRPU_02428, STRPU_13635	SACKO_02073
OG0000061	STRPU_13960, STRPU_13959, STRPU_13958	SACKO_02064
OG0000061	STRPU_13278, STRPU_13279	SACKO_22956, SACKO_22933
OG0000061	STRPU_13961	SACKO_27147
OG0000062	STRPU_08191	SACKO_15645
OG0000062	STRPU_19993, STRPU_19459, STRPU_19398	SACKO_01291, SACKO_22149
OG0000063	STRPU_18989	SACKO_12392
OG0000063	STRPU_23711	SACKO_30337
OG0000063	STRPU_18657	SACKO_15119
OG0000064	STRPU_27288, STRPU_13555, STRPU_25159, STRPU_13144, STRPU_13164, STRPU_13376, STRPU_13397, STRPU_01226, STRPU_12074, STRPU_01228, STRPU_12073, STRPU_01227, STRPU_09572	SACKO_03953, SACKO_27131
