Orthogroup	STRPU_ok	YEAST
OG0000096	STRPU_27319, STRPU_15853, STRPU_15805, STRPU_11677, STRPU_13124, STRPU_02569	YEAST05104, YEAST05564
OG0000103	STRPU_08665, STRPU_08161	YEAST02873
OG0000107	STRPU_24418, STRPU_10381, STRPU_06034, STRPU_24248, STRPU_05021, STRPU_06004, STRPU_05934, STRPU_24099, STRPU_25385, STRPU_10863, STRPU_13897, STRPU_01057, STRPU_02949, STRPU_05929, STRPU_03377, STRPU_05996, STRPU_04108, STRPU_05474, STRPU_10843, STRPU_09004	YEAST05173
OG0000113	STRPU_10396, STRPU_18172, STRPU_25041, STRPU_04494, STRPU_04495	YEAST00378, YEAST01351, YEAST05581
OG0000116	STRPU_21801, STRPU_21802, STRPU_09077, STRPU_09080, STRPU_13829, STRPU_13825, STRPU_17201, STRPU_25904, STRPU_25997, STRPU_10975, STRPU_09078, STRPU_09079, STRPU_02054, STRPU_02053, STRPU_09081, STRPU_09691, STRPU_09735, STRPU_09690, STRPU_14606, STRPU_14624, STRPU_14626, STRPU_14607, STRPU_25751, STRPU_25353, STRPU_14625	YEAST04456
OG0000122	STRPU_24152, STRPU_24150, STRPU_24593, STRPU_24582, STRPU_24583, STRPU_24594	YEAST04928
OG0000124	STRPU_06709	YEAST05021
OG0000124	STRPU_10604	YEAST04122
OG0000127	STRPU_06620, STRPU_06619, STRPU_07791, STRPU_07458, STRPU_08311	YEAST06208
OG0000128	STRPU_05989	YEAST01398, YEAST05967, YEAST05716
OG0000132	STRPU_07133, STRPU_25473, STRPU_27007, STRPU_05998, STRPU_06025, STRPU_05930, STRPU_06005, STRPU_02132, STRPU_09170	YEAST06016
OG0000137	STRPU_07118, STRPU_07594, STRPU_07697, STRPU_07683, STRPU_07593, STRPU_07965, STRPU_07957, STRPU_17715, STRPU_18673, STRPU_18678	YEAST01851, YEAST00637
OG0000142	STRPU_10891, STRPU_10873, STRPU_05787, STRPU_10883, STRPU_10879, STRPU_00821, STRPU_26698, STRPU_00820, STRPU_00819, STRPU_25555, STRPU_25554, STRPU_10876, STRPU_10887, STRPU_10875, STRPU_10888, STRPU_25556, STRPU_10885, STRPU_10877, STRPU_10878, STRPU_10884, STRPU_10889, STRPU_10890, STRPU_10874, STRPU_10945, STRPU_10943	YEAST02122
OG0000157	STRPU_25761	YEAST02851
OG0000158	STRPU_20285, STRPU_20284, STRPU_07153, STRPU_20283, STRPU_01554	YEAST05568
OG0000160	STRPU_26893, STRPU_26892, STRPU_15431, STRPU_19000, STRPU_24405, STRPU_11554, STRPU_15349	YEAST04194
