Orthogroup	STRPU_ok	AENJA_ok
OG0000012	STRPU_22431, STRPU_22027, STRPU_22206, STRPU_22210, STRPU_22209, STRPU_22208, STRPU_22207, STRPU_22205, STRPU_20138, STRPU_23286, STRPU_22216, STRPU_22214, STRPU_22215, STRPU_22212, STRPU_22213, STRPU_22211	AENJA_22984, AENJA_22983
OG0000012	STRPU_22218	AENJA_06607
OG0000012	STRPU_23513	AENJA_02869
OG0000013	STRPU_05609	AENJA_11516
OG0000014	STRPU_08197, STRPU_03932	AENJA_09518, AENJA_09012
OG0000014	STRPU_20412, STRPU_20806, STRPU_06096	AENJA_17358
OG0000014	STRPU_12767, STRPU_02355	AENJA_12276, AENJA_23299
OG0000014	STRPU_17754, STRPU_17755	AENJA_25536
OG0000015	STRPU_27331	AENJA_25011
OG0000015	STRPU_05546, STRPU_05605	AENJA_19636
OG0000015	STRPU_05547, STRPU_05606	AENJA_18653
OG0000015	STRPU_21905	AENJA_17614
OG0000016	STRPU_06927, STRPU_06051	AENJA_04814, AENJA_14549
OG0000016	STRPU_06086, STRPU_06084, STRPU_06503, STRPU_06525, STRPU_06574, STRPU_06085, STRPU_06200, STRPU_06221	AENJA_07664
OG0000016	STRPU_06909	AENJA_15459
OG0000016	STRPU_06872	AENJA_26670
OG0000016	STRPU_09277	AENJA_11513
OG0000016	STRPU_19934, STRPU_02593, STRPU_06663, STRPU_23484	AENJA_26671, AENJA_26677
OG0000016	STRPU_06664, STRPU_06873, STRPU_06665	AENJA_21813, AENJA_16651
OG0000016	STRPU_21110	AENJA_02781
OG0000016	STRPU_22684, STRPU_23485, STRPU_23482, STRPU_23488, STRPU_23483, STRPU_23481, STRPU_23477, STRPU_23478, STRPU_22637	AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864
OG0000017	STRPU_00117	AENJA_05535, AENJA_05683, AENJA_04765, AENJA_17536, AENJA_11492
OG0000017	STRPU_22860, STRPU_02715, STRPU_12424	AENJA_25974, AENJA_24207, AENJA_07794, AENJA_19441, AENJA_07002, AENJA_08981, AENJA_06457, AENJA_13473, AENJA_19348, AENJA_18559
OG0000017	STRPU_24604	AENJA_12426, AENJA_00338
OG0000017	STRPU_14085	AENJA_00793
OG0000017	STRPU_02089	AENJA_05284, AENJA_20820, AENJA_23397
OG0000017	STRPU_14020, STRPU_04049, STRPU_14783, STRPU_03128, STRPU_05415, STRPU_00068, STRPU_06377, STRPU_22862, STRPU_06733, STRPU_03412, STRPU_00906, STRPU_16710, STRPU_08383, STRPU_26123, STRPU_08138, STRPU_14019, STRPU_04048, STRPU_14782, STRPU_07242, STRPU_06186	AENJA_00442
OG0000017	STRPU_17566	AENJA_07451
OG0000017	STRPU_08979, STRPU_00926	AENJA_13274
OG0000017	STRPU_00092, STRPU_08117	AENJA_04888, AENJA_03290
OG0000017	STRPU_09345, STRPU_15645, STRPU_16606	AENJA_12775, AENJA_13083, AENJA_06685, AENJA_01563
OG0000017	STRPU_04020, STRPU_04133	AENJA_10043
OG0000017	STRPU_03568	AENJA_24972, AENJA_04067, AENJA_13186, AENJA_06087, AENJA_19243, AENJA_04308, AENJA_04362
OG0000019	STRPU_18936	AENJA_02273
OG0000019	STRPU_05531, STRPU_05528, STRPU_05592	AENJA_17715, AENJA_26470, AENJA_26324, AENJA_09204
OG0000019	STRPU_23414, STRPU_01023	AENJA_24818
OG0000020	STRPU_13949	AENJA_21688, AENJA_05309
OG0000020	STRPU_20580	AENJA_15791
OG0000020	STRPU_19028, STRPU_00464	AENJA_12903
OG0000020	STRPU_22748, STRPU_01903	AENJA_09502
OG0000020	STRPU_06549	AENJA_16747
OG0000020	STRPU_25741	AENJA_14074
OG0000020	STRPU_22929	AENJA_08287
OG0000020	STRPU_07115	AENJA_18052
OG0000020	STRPU_26678	AENJA_23718
OG0000020	STRPU_22232	AENJA_15954
OG0000020	STRPU_19861, STRPU_19888	AENJA_16929
OG0000020	STRPU_05007	AENJA_04727
OG0000020	STRPU_11453	AENJA_10912
OG0000020	STRPU_04309, STRPU_04336	AENJA_11444
OG0000020	STRPU_13832	AENJA_07947
OG0000020	STRPU_05521	AENJA_14659
OG0000020	STRPU_21977	AENJA_12495
OG0000020	STRPU_05676	AENJA_25422
OG0000021	STRPU_22366, STRPU_22365	AENJA_21621, AENJA_21623
OG0000021	STRPU_23367	AENJA_14639
OG0000021	STRPU_21162, STRPU_21171, STRPU_21172, STRPU_13957, STRPU_27306, STRPU_06572	AENJA_26606, AENJA_10786
OG0000021	STRPU_25829	AENJA_16593
OG0000021	STRPU_02205, STRPU_15603	AENJA_24950
OG0000021	STRPU_02212, STRPU_15595	AENJA_19175
OG0000021	STRPU_05427	AENJA_25124
OG0000021	STRPU_18709	AENJA_15672, AENJA_17125
OG0000021	STRPU_19932, STRPU_02595	AENJA_10523
OG0000021	STRPU_05298, STRPU_05227	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711
OG0000023	STRPU_09714, STRPU_09758	AENJA_06341
OG0000023	STRPU_05490	AENJA_11618, AENJA_11620, AENJA_11621
OG0000023	STRPU_14357	AENJA_22520, AENJA_19106
OG0000023	STRPU_14358	AENJA_11920
OG0000023	STRPU_04156, STRPU_04890, STRPU_04760, STRPU_04888, STRPU_04889, STRPU_04887, STRPU_09969, STRPU_09989, STRPU_09988, STRPU_09968, STRPU_09990	AENJA_26230
OG0000023	STRPU_15044	AENJA_07520, AENJA_17438
OG0000023	STRPU_02240, STRPU_15564, STRPU_02241, STRPU_15563	AENJA_19908
OG0000023	STRPU_20382, STRPU_04831, STRPU_00750, STRPU_00747, STRPU_00749, STRPU_00748	AENJA_03895
OG0000024	STRPU_07747	AENJA_18079, AENJA_19870, AENJA_09423
OG0000024	STRPU_19357	AENJA_18078
OG0000024	STRPU_06674, STRPU_07186, STRPU_02857	AENJA_02356
OG0000024	STRPU_03977, STRPU_22594, STRPU_03380, STRPU_26193	AENJA_18080
OG0000024	STRPU_01267	AENJA_18095, AENJA_12767
OG0000024	STRPU_16831	AENJA_02712
OG0000025	STRPU_09349	AENJA_16194, AENJA_12427, AENJA_26584, AENJA_11195
OG0000025	STRPU_08707	AENJA_09551
OG0000026	STRPU_24999	AENJA_07099, AENJA_18950
OG0000026	STRPU_03983, STRPU_03985, STRPU_03980, STRPU_03984, STRPU_15016, STRPU_14051, STRPU_15142, STRPU_15012, STRPU_15019, STRPU_15022, STRPU_15024, STRPU_00872, STRPU_00871, STRPU_14049, STRPU_14036, STRPU_14032, STRPU_15323, STRPU_26875, STRPU_08379, STRPU_15370, STRPU_15368	AENJA_12006, AENJA_16045, AENJA_18652, AENJA_16032, AENJA_17356, AENJA_20833, AENJA_17360, AENJA_18651
OG0000026	STRPU_10195	AENJA_10129
OG0000026	STRPU_05748	AENJA_04353, AENJA_08594, AENJA_10003
OG0000027	STRPU_02455	AENJA_03490, AENJA_19914, AENJA_19915, AENJA_18849
OG0000027	STRPU_12280, STRPU_12282, STRPU_12281, STRPU_12283, STRPU_19609, STRPU_19529, STRPU_19530, STRPU_20300, STRPU_22112, STRPU_22111, STRPU_18177, STRPU_18176, STRPU_18178, STRPU_13457, STRPU_13538	AENJA_05706, AENJA_05707
OG0000028	STRPU_14662, STRPU_14664	AENJA_03335, AENJA_05182, AENJA_05184, AENJA_05181
OG0000028	STRPU_14327	AENJA_25112
OG0000028	STRPU_27006	AENJA_02274
OG0000028	STRPU_14468, STRPU_14467	AENJA_15999
OG0000028	STRPU_14326	AENJA_25121
OG0000028	STRPU_10620	AENJA_19954
OG0000029	STRPU_25978	AENJA_10650
OG0000029	STRPU_01827, STRPU_19313	AENJA_26395
OG0000029	STRPU_22529, STRPU_02628	AENJA_05610
OG0000029	STRPU_06877, STRPU_04841, STRPU_04839, STRPU_03689, STRPU_13344, STRPU_03096, STRPU_03095, STRPU_03099, STRPU_03098, STRPU_03097, STRPU_15299, STRPU_05507, STRPU_15311, STRPU_09913, STRPU_25618, STRPU_13518, STRPU_27237, STRPU_27236, STRPU_27234, STRPU_27235, STRPU_11822, STRPU_11823, STRPU_18505, STRPU_20934, STRPU_20927, STRPU_10511, STRPU_10512, STRPU_00236	AENJA_05280
OG0000030	STRPU_23383	AENJA_17283
OG0000030	STRPU_18729, STRPU_18720	AENJA_24351, AENJA_12274
OG0000030	STRPU_08641, STRPU_01462, STRPU_08711	AENJA_21030
OG0000030	STRPU_19039	AENJA_05226
OG0000031	STRPU_24640	AENJA_09856
OG0000031	STRPU_24955	AENJA_09858
OG0000031	STRPU_24636	AENJA_20966
OG0000031	STRPU_27330	AENJA_08759
OG0000031	STRPU_08004	AENJA_10722
OG0000031	STRPU_05537, STRPU_05597	AENJA_05740
OG0000031	STRPU_18994	AENJA_14258, AENJA_15917, AENJA_14260
OG0000031	STRPU_24676	AENJA_15028
OG0000032	STRPU_07046, STRPU_00037	AENJA_15565
OG0000032	STRPU_21234, STRPU_24774, STRPU_24776	AENJA_15445, AENJA_10949
OG0000032	STRPU_02932	AENJA_16462, AENJA_19113, AENJA_19112
OG0000032	STRPU_12458	AENJA_01667, AENJA_01332
OG0000032	STRPU_24275	AENJA_12718
OG0000032	STRPU_24338, STRPU_24339, STRPU_24455, STRPU_24337, STRPU_24336	AENJA_12280, AENJA_12491
OG0000032	STRPU_24673, STRPU_24979, STRPU_24342, STRPU_10902, STRPU_10903, STRPU_08795, STRPU_24343	AENJA_06513
OG0000033	STRPU_26620	AENJA_04460, AENJA_10095
OG0000033	STRPU_15689	AENJA_18564, AENJA_02327
OG0000033	STRPU_14417	AENJA_13273, AENJA_09980, AENJA_09621, AENJA_14944
OG0000033	STRPU_22584	AENJA_02801
OG0000033	STRPU_03796, STRPU_03613, STRPU_12671, STRPU_12047	AENJA_19957, AENJA_21447, AENJA_04314
OG0000033	STRPU_02311, STRPU_18113	AENJA_02993
OG0000033	STRPU_25841, STRPU_03301	AENJA_12723, AENJA_12540
OG0000034	STRPU_15245, STRPU_15189	AENJA_21749
OG0000034	STRPU_11798	AENJA_26717
OG0000034	STRPU_11930, STRPU_11885	AENJA_02791
OG0000034	STRPU_27315	AENJA_23686
OG0000034	STRPU_11793	AENJA_13785
OG0000034	STRPU_04070	AENJA_15701
OG0000034	STRPU_19458	AENJA_24919
OG0000034	STRPU_12141, STRPU_12106	AENJA_16616
OG0000035	STRPU_25195, STRPU_01880, STRPU_04279, STRPU_01879, STRPU_25194	AENJA_01174
OG0000035	STRPU_17279, STRPU_17277, STRPU_17278, STRPU_17275, STRPU_17274, STRPU_13032	AENJA_26793
OG0000035	STRPU_27002	AENJA_22033
OG0000035	STRPU_13051	AENJA_08825
OG0000035	STRPU_12705, STRPU_12704	AENJA_12732
OG0000035	STRPU_12998	AENJA_12364
OG0000035	STRPU_12553	AENJA_26037
OG0000035	STRPU_12554	AENJA_21682
OG0000035	STRPU_12700	AENJA_21683
OG0000036	STRPU_26319	AENJA_22120
OG0000036	STRPU_09906	AENJA_22191
OG0000036	STRPU_26130	AENJA_22190
OG0000036	STRPU_09907	AENJA_16633
OG0000036	STRPU_26325, STRPU_26324	AENJA_21299, AENJA_21302
OG0000036	STRPU_26321, STRPU_16183, STRPU_16230, STRPU_25724	AENJA_21301
OG0000037	STRPU_21189, STRPU_21188	AENJA_19141
OG0000037	STRPU_20688	AENJA_06908, AENJA_02989
OG0000037	STRPU_21621	AENJA_17768
OG0000037	STRPU_21620	AENJA_10696
OG0000037	STRPU_20762	AENJA_05483, AENJA_06274
OG0000037	STRPU_24785	AENJA_13632
OG0000037	STRPU_10295, STRPU_10296, STRPU_10297	AENJA_22610
OG0000038	STRPU_04485	AENJA_09925
