Orthogroup	STRPU_ok	CAPO3
OG0000147	STRPU_24812	CAPO308132
OG0000147	STRPU_20621	CAPO304230
OG0000149	STRPU_00890, STRPU_00893, STRPU_23020, STRPU_23018, STRPU_00891, STRPU_22171, STRPU_22181, STRPU_22177, STRPU_22170, STRPU_11139, STRPU_11116, STRPU_01568, STRPU_09391, STRPU_01569, STRPU_09390, STRPU_22185, STRPU_17637, STRPU_02282, STRPU_17638, STRPU_17737, STRPU_17521, STRPU_17518, STRPU_17522, STRPU_04830, STRPU_00746	CAPO305206, CAPO306214
OG0000157	STRPU_22147	CAPO305956
OG0000157	STRPU_08448	CAPO302981
OG0000157	STRPU_22616, STRPU_25761	CAPO305824
OG0000160	STRPU_24405	CAPO301680
OG0000167	STRPU_08011, STRPU_07803, STRPU_07531, STRPU_07529, STRPU_07745, STRPU_07671	CAPO301364, CAPO303476
OG0000171	STRPU_14714, STRPU_24033, STRPU_02631, STRPU_19940, STRPU_02585, STRPU_04281	CAPO304813
OG0000174	STRPU_16145, STRPU_16138, STRPU_15886, STRPU_09192, STRPU_15884, STRPU_15888, STRPU_15882, STRPU_15832, STRPU_15834, STRPU_15887, STRPU_15891, STRPU_15838, STRPU_15890, STRPU_15892, STRPU_15836, STRPU_15835, STRPU_15883, STRPU_15881, STRPU_15885, STRPU_15839, STRPU_15833, STRPU_15831, STRPU_15837, STRPU_00043, STRPU_16005, STRPU_23493	CAPO304629
OG0000175	STRPU_24563	CAPO303513
OG0000179	STRPU_04627, STRPU_04649	CAPO300694
OG0000179	STRPU_00166, STRPU_27037, STRPU_27036	CAPO303342
OG0000181	STRPU_22671	CAPO302034
OG0000181	STRPU_21403, STRPU_21400, STRPU_21401	CAPO307692
OG0000181	STRPU_15658, STRPU_15675	CAPO300374
OG0000183	STRPU_21811	CAPO305638
OG0000183	STRPU_03432, STRPU_03075	CAPO305829
OG0000184	STRPU_19370, STRPU_19368	CAPO304928
OG0000186	STRPU_20741	CAPO301875
OG0000192	STRPU_25396	CAPO300533
OG0000192	STRPU_08187	CAPO301980
OG0000193	STRPU_26256, STRPU_10096, STRPU_10159	CAPO302628
OG0000194	STRPU_00024, STRPU_00025, STRPU_06136, STRPU_06137, STRPU_05974, STRPU_06736, STRPU_06599, STRPU_06600, STRPU_06597, STRPU_06598, STRPU_05970, STRPU_05971, STRPU_05972, STRPU_05973, STRPU_06442	CAPO305195
OG0000195	STRPU_06815, STRPU_06128, STRPU_10942, STRPU_10980, STRPU_10944, STRPU_11087, STRPU_11086, STRPU_10939, STRPU_10941, STRPU_10940, STRPU_10458, STRPU_13259	CAPO305454
OG0000201	STRPU_08330	CAPO307729
OG0000203	STRPU_24292, STRPU_10908, STRPU_10896, STRPU_10907, STRPU_10827	CAPO302139
OG0000204	STRPU_10936, STRPU_11647, STRPU_01303	CAPO303090
OG0000207	STRPU_02190, STRPU_09226, STRPU_10587, STRPU_12464, STRPU_12640, STRPU_12639, STRPU_25640, STRPU_25623, STRPU_25638, STRPU_25639, STRPU_04360, STRPU_02462, STRPU_13603, STRPU_25406, STRPU_02460, STRPU_06266, STRPU_06310, STRPU_16641, STRPU_06673	CAPO304105, CAPO304106, CAPO304714
OG0000211	STRPU_02785, STRPU_18014, STRPU_21779, STRPU_27150, STRPU_26341	CAPO306209
OG0000218	STRPU_24450, STRPU_24451, STRPU_20177, STRPU_20178, STRPU_06428, STRPU_20179, STRPU_23041, STRPU_23040, STRPU_20377, STRPU_20378, STRPU_09181, STRPU_02145, STRPU_02142, STRPU_02143, STRPU_09179, STRPU_02146, STRPU_02147, STRPU_02144, STRPU_02140, STRPU_02149, STRPU_20379	CAPO300559
OG0000220	STRPU_04095, STRPU_07403, STRPU_07402, STRPU_07401, STRPU_11837, STRPU_04617	CAPO306780, CAPO307695
OG0000221	STRPU_25006, STRPU_10448, STRPU_16065	CAPO300247
OG0000222	STRPU_10704, STRPU_10705, STRPU_10948, STRPU_26038, STRPU_00387, STRPU_10706	CAPO304211
OG0000223	STRPU_09834, STRPU_09833, STRPU_07084	CAPO308126
OG0000225	STRPU_22829, STRPU_01990, STRPU_01991, STRPU_22830, STRPU_22831, STRPU_22388	CAPO305347
OG0000234	STRPU_22182, STRPU_11520	CAPO301359
OG0000238	STRPU_00959, STRPU_08862	CAPO305428
OG0000239	STRPU_24683, STRPU_20505, STRPU_01873, STRPU_25188	CAPO302089
OG0000240	STRPU_02509, STRPU_02512, STRPU_15130, STRPU_15129, STRPU_02510, STRPU_15131, STRPU_02513	CAPO303214
OG0000242	STRPU_22571	CAPO304847
OG0000244	STRPU_25421, STRPU_23304, STRPU_23303, STRPU_25990	CAPO301556
OG0000246	STRPU_14570, STRPU_14461, STRPU_14460, STRPU_14442, STRPU_18045, STRPU_07221, STRPU_13463, STRPU_08832, STRPU_13464, STRPU_13465	CAPO303496
OG0000248	STRPU_23659, STRPU_23683, STRPU_23774, STRPU_23777, STRPU_23776, STRPU_23775, STRPU_23778, STRPU_23779	CAPO307635, CAPO302481, CAPO302487
OG0000250	STRPU_05823	CAPO305827
OG0000255	STRPU_21343	CAPO306632
OG0000255	STRPU_06497	CAPO301531
