Orthogroup	HELIO_ok	SCHMD
OG0000048	HELIO_05826, HELIO_06221	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319
OG0000048	HELIO_11103	SCHMD19708, SCHMD13779
OG0000049	HELIO_02366	SCHMD26352
OG0000051	HELIO_06960, HELIO_04086, HELIO_00091, HELIO_07483, HELIO_04213, HELIO_04232, HELIO_11844	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279
OG0000057	HELIO_07020	SCHMD08094
OG0000059	HELIO_09805	SCHMD20167, SCHMD15436, SCHMD05187, SCHMD26092, SCHMD18312, SCHMD29210
OG0000060	HELIO_11213	SCHMD17528
OG0000060	HELIO_01698, HELIO_08930, HELIO_10260	SCHMD19006, SCHMD24601, SCHMD05372, SCHMD13182, SCHMD07987
OG0000060	HELIO_12113	SCHMD03062
OG0000061	HELIO_11204	SCHMD24930
OG0000061	HELIO_04007, HELIO_00294, HELIO_10663	SCHMD11039
OG0000062	HELIO_01760, HELIO_09809, HELIO_08709, HELIO_06316	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769
OG0000063	HELIO_10147	SCHMD04855
OG0000063	HELIO_12629	SCHMD09653
OG0000066	HELIO_02871	SCHMD02363
OG0000066	HELIO_08302	SCHMD06601
OG0000066	HELIO_11387	SCHMD06030
OG0000068	HELIO_09524, HELIO_08964	SCHMD05762, SCHMD05760, SCHMD05763
OG0000071	HELIO_04987, HELIO_11295	SCHMD08674, SCHMD04226
OG0000075	HELIO_09567	SCHMD21424
OG0000077	HELIO_05657	SCHMD17571
OG0000077	HELIO_00295	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499
OG0000077	HELIO_11466	SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624
OG0000078	HELIO_04314, HELIO_00570	SCHMD04824, SCHMD04525
OG0000079	HELIO_01794, HELIO_05740	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114
OG0000079	HELIO_01744, HELIO_07509	SCHMD06941, SCHMD04736
