Orthogroup	HELIO_ok	AENJA_ok
OG0000056	HELIO_03513	AENJA_05228
OG0000056	HELIO_07637	AENJA_01631, AENJA_03114
OG0000057	HELIO_05858	AENJA_05247, AENJA_22751, AENJA_20208, AENJA_16752, AENJA_23652
OG0000057	HELIO_07020	AENJA_15044, AENJA_21589, AENJA_13773
OG0000058	HELIO_04764, HELIO_06019	AENJA_10634
OG0000058	HELIO_12406, HELIO_12430	AENJA_08370
OG0000059	HELIO_08348	AENJA_13132
OG0000059	HELIO_02571	AENJA_18423, AENJA_19757
OG0000059	HELIO_11973	AENJA_26400
OG0000059	HELIO_07693, HELIO_05488	AENJA_11199, AENJA_02561, AENJA_02562
OG0000060	HELIO_02035	AENJA_17233
OG0000060	HELIO_11213	AENJA_19748
OG0000060	HELIO_12113	AENJA_23597
OG0000061	HELIO_11204	AENJA_07301
OG0000061	HELIO_00294, HELIO_10663	AENJA_26614, AENJA_08766
OG0000061	HELIO_00140	AENJA_06999
OG0000061	HELIO_07930	AENJA_07304
OG0000062	HELIO_09809	AENJA_09642
OG0000062	HELIO_08709	AENJA_22683
OG0000062	HELIO_06316	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995
OG0000062	HELIO_08446, HELIO_09104	AENJA_03699
OG0000063	HELIO_10147	AENJA_20321
OG0000063	HELIO_12629	AENJA_03789
OG0000063	HELIO_04719, HELIO_12335, HELIO_11425, HELIO_12062, HELIO_05484, HELIO_08778, HELIO_04019	AENJA_04323
OG0000063	HELIO_04155	AENJA_26394
OG0000064	HELIO_00141, HELIO_07348, HELIO_02173	AENJA_02557
OG0000065	HELIO_07590, HELIO_07271, HELIO_03598, HELIO_00678, HELIO_00187, HELIO_05936, HELIO_05480	AENJA_08288
OG0000066	HELIO_11387	AENJA_12655, AENJA_09505
OG0000067	HELIO_11753, HELIO_06955	AENJA_21171
OG0000067	HELIO_07211, HELIO_04257, HELIO_02907	AENJA_21686
OG0000067	HELIO_02361	AENJA_02413
OG0000067	HELIO_10782	AENJA_04270
OG0000068	HELIO_09495, HELIO_11520, HELIO_04643	AENJA_08649
OG0000068	HELIO_09524, HELIO_08964	AENJA_08644, AENJA_02187, AENJA_15847, AENJA_18813, AENJA_15846, AENJA_08645, AENJA_17392, AENJA_01993, AENJA_10902
OG0000068	HELIO_11774, HELIO_01288	AENJA_20175, AENJA_10908, AENJA_08647
OG0000069	HELIO_11698	AENJA_15982
OG0000070	HELIO_05047	AENJA_12868
OG0000070	HELIO_00591	AENJA_23218
OG0000071	HELIO_00564	AENJA_19944
OG0000071	HELIO_11788	AENJA_11228, AENJA_11157
OG0000071	HELIO_04987	AENJA_21722, AENJA_10228, AENJA_19682
OG0000072	HELIO_10317	AENJA_14652
OG0000072	HELIO_09782	AENJA_13128
OG0000072	HELIO_10131	AENJA_02450
OG0000072	HELIO_05118, HELIO_10379	AENJA_25944, AENJA_05445, AENJA_05444
OG0000072	HELIO_04791	AENJA_24050, AENJA_00746
OG0000073	HELIO_06740, HELIO_06515, HELIO_11840, HELIO_11839	AENJA_03975, AENJA_15428
OG0000074	HELIO_11128	AENJA_05555
OG0000074	HELIO_09183	AENJA_12312
OG0000074	HELIO_01338, HELIO_05011	AENJA_06058
OG0000074	HELIO_06403	AENJA_24714
OG0000074	HELIO_06770	AENJA_14253
OG0000074	HELIO_11885	AENJA_25976
OG0000075	HELIO_02705	AENJA_23745
OG0000075	HELIO_07086	AENJA_05831
OG0000075	HELIO_09567	AENJA_12918
OG0000075	HELIO_00684	AENJA_12839
OG0000076	HELIO_04639	AENJA_00608
OG0000076	HELIO_05357	AENJA_03351, AENJA_00818, AENJA_01910, AENJA_19797, AENJA_00881, AENJA_01380, AENJA_10172, AENJA_17137, AENJA_08896, AENJA_14286, AENJA_00817, AENJA_18754
OG0000076	HELIO_05925	AENJA_18854, AENJA_04309
OG0000076	HELIO_06296	AENJA_21283
OG0000076	HELIO_11136	AENJA_20970
OG0000076	HELIO_04187	AENJA_18114, AENJA_23439, AENJA_21462, AENJA_04069, AENJA_20151, AENJA_17310, AENJA_05720, AENJA_12808, AENJA_15383, AENJA_22757, AENJA_24873, AENJA_18893, AENJA_01589, AENJA_12722, AENJA_25776, AENJA_20849
OG0000077	HELIO_05657	AENJA_13107
OG0000077	HELIO_11466	AENJA_08162
OG0000077	HELIO_12145	AENJA_04661
OG0000078	HELIO_04372	AENJA_06551
OG0000078	HELIO_06313	AENJA_16680, AENJA_06754
OG0000078	HELIO_07319, HELIO_06987	AENJA_26733
OG0000078	HELIO_02467	AENJA_26653
OG0000079	HELIO_01794, HELIO_05740	AENJA_16186
OG0000079	HELIO_00549	AENJA_17442
OG0000079	HELIO_01744, HELIO_07509	AENJA_10507, AENJA_05095
OG0000080	HELIO_06961	AENJA_12681
OG0000080	HELIO_04053, HELIO_10760	AENJA_11587, AENJA_14545, AENJA_02324
OG0000080	HELIO_07099	AENJA_11606
OG0000080	HELIO_10773	AENJA_05579, AENJA_03015, AENJA_09784
OG0000080	HELIO_07512	AENJA_14799
OG0000081	HELIO_00244	AENJA_04625, AENJA_04630, AENJA_04629
OG0000081	HELIO_06946, HELIO_04954, HELIO_06101, HELIO_04830	AENJA_04623
OG0000082	HELIO_08556	AENJA_25747
OG0000082	HELIO_05158	AENJA_11460
OG0000083	HELIO_06088, HELIO_07519, HELIO_05673	AENJA_09136
OG0000083	HELIO_03497, HELIO_03496	AENJA_12490
OG0000084	HELIO_06950	AENJA_16500
OG0000085	HELIO_02405	AENJA_05556
OG0000085	HELIO_05344	AENJA_06487
OG0000085	HELIO_08642	AENJA_06382
OG0000085	HELIO_11582	AENJA_08917
OG0000086	HELIO_04790	AENJA_17133
OG0000086	HELIO_03940	AENJA_15274
OG0000087	HELIO_02847, HELIO_02846	AENJA_23251
OG0000087	HELIO_09425	AENJA_19109
OG0000087	HELIO_00773	AENJA_19775
OG0000087	HELIO_06633	AENJA_19935
OG0000087	HELIO_01983	AENJA_04374, AENJA_10299
OG0000088	HELIO_00040	AENJA_07097, AENJA_08556, AENJA_07105, AENJA_07098, AENJA_07104
OG0000088	HELIO_06555	AENJA_11026
OG0000088	HELIO_11791, HELIO_06055, HELIO_05195, HELIO_00315, HELIO_08555	AENJA_11029
OG0000088	HELIO_06391	AENJA_13877
OG0000088	HELIO_08028	AENJA_03166, AENJA_03175, AENJA_08500
OG0000089	HELIO_06389, HELIO_03526, HELIO_07518, HELIO_10304	AENJA_09905, AENJA_09906, AENJA_05338, AENJA_04745, AENJA_16486, AENJA_16485, AENJA_22237, AENJA_02539, AENJA_15610, AENJA_01496
OG0000090	HELIO_04390	AENJA_02476
OG0000090	HELIO_12415	AENJA_10145
OG0000090	HELIO_09255	AENJA_26164
OG0000090	HELIO_03859, HELIO_12616	AENJA_01954
OG0000091	HELIO_06609	AENJA_01383, AENJA_01384, AENJA_01385
OG0000093	HELIO_00044	AENJA_09135
OG0000094	HELIO_07015	AENJA_14582
OG0000094	HELIO_03878	AENJA_26553
OG0000095	HELIO_04673	AENJA_22915
OG0000095	HELIO_07611	AENJA_07479, AENJA_11792, AENJA_11795, AENJA_02518, AENJA_18173
OG0000095	HELIO_04751, HELIO_04874	AENJA_25126
OG0000096	HELIO_07466	AENJA_25727
OG0000096	HELIO_06897	AENJA_21947
OG0000096	HELIO_03947	AENJA_08423
OG0000096	HELIO_09595	AENJA_14053
OG0000097	HELIO_06145	AENJA_16144
OG0000097	HELIO_05308	AENJA_07989, AENJA_07990, AENJA_20179, AENJA_07992, AENJA_18648, AENJA_07730
OG0000098	HELIO_07543	AENJA_10136, AENJA_10137
OG0000098	HELIO_00467	AENJA_22563
OG0000098	HELIO_11416	AENJA_15215
