Orthogroup	HELIO_ok	YEAST
OG0000399	HELIO_09726, HELIO_07050, HELIO_04949, HELIO_03771	YEAST02160
OG0000400	HELIO_10775	YEAST05911
OG0000402	HELIO_08210, HELIO_08672, HELIO_08610	YEAST01657, YEAST01929
OG0000405	HELIO_10657	YEAST06055, YEAST00411
OG0000412	HELIO_09547	YEAST04469
OG0000413	HELIO_08207, HELIO_08206	YEAST04905, YEAST05340
OG0000413	HELIO_10878	YEAST02838
OG0000419	HELIO_02114	YEAST05989
OG0000420	HELIO_11506, HELIO_10479, HELIO_04176	YEAST03886
OG0000424	HELIO_07447, HELIO_02671	YEAST03563
OG0000426	HELIO_00568	YEAST03440
OG0000427	HELIO_11307, HELIO_03641, HELIO_07136	YEAST02655, YEAST02439
OG0000429	HELIO_04434, HELIO_07593	YEAST02285
OG0000431	HELIO_02207, HELIO_05550, HELIO_04546	YEAST04014
OG0000433	HELIO_10148, HELIO_09108	YEAST06177, YEAST00117
OG0000437	HELIO_04999, HELIO_08664	YEAST03074, YEAST02073
OG0000442	HELIO_01730, HELIO_02982, HELIO_12491	YEAST05012
OG0000444	HELIO_00903, HELIO_04957	YEAST01115, YEAST04019
OG0000445	HELIO_01787, HELIO_05217	YEAST03068
OG0000450	HELIO_01846	YEAST04709, YEAST05909
OG0000461	HELIO_03731, HELIO_03732, HELIO_06581	YEAST00120
OG0000467	HELIO_10923	YEAST03162
OG0000468	HELIO_00401, HELIO_10281, HELIO_03768, HELIO_09960	YEAST04372
OG0000469	HELIO_06536	YEAST02179, YEAST05440
OG0000469	HELIO_02957	YEAST02333, YEAST00863
OG0000474	HELIO_07485, HELIO_10673	YEAST02384
OG0000476	HELIO_11845, HELIO_05685, HELIO_05620	YEAST03038
OG0000479	HELIO_08760, HELIO_02948	YEAST04139
OG0000480	HELIO_05557, HELIO_08414, HELIO_08413	YEAST05750
OG0000481	HELIO_12216	YEAST01040
OG0000481	HELIO_11178	YEAST00916
OG0000481	HELIO_09259	YEAST00827, YEAST00774
OG0000484	HELIO_05916	YEAST05824
OG0000486	HELIO_10558, HELIO_11461, HELIO_05022, HELIO_11212, HELIO_06172, HELIO_02564, HELIO_00117	YEAST03122, YEAST04270
OG0000487	HELIO_06499	YEAST04968
OG0000487	HELIO_07290	YEAST02728
OG0000488	HELIO_02611	YEAST01414
OG0000490	HELIO_06690	YEAST04297, YEAST00894
OG0000505	HELIO_05319	YEAST03067
OG0000508	HELIO_04860, HELIO_10897	YEAST04626
OG0000510	HELIO_05326, HELIO_00614, HELIO_06648	YEAST04569, YEAST05730
OG0000515	HELIO_01437, HELIO_00462, HELIO_05122, HELIO_00094	YEAST04784, YEAST05876
OG0000519	HELIO_03762, HELIO_07021, HELIO_05761, HELIO_00935	YEAST04594, YEAST03616
OG0000520	HELIO_02643, HELIO_02641, HELIO_10311	YEAST02979
OG0000523	HELIO_12547, HELIO_01413	YEAST01952, YEAST05838, YEAST06082
OG0000534	HELIO_09230, HELIO_00845, HELIO_05373, HELIO_12243	YEAST04932
OG0000538	HELIO_11897, HELIO_11896	YEAST00499
OG0000549	HELIO_05772	YEAST06280, YEAST02610, YEAST05060
OG0000552	HELIO_04288, HELIO_02628	YEAST05717
OG0000561	HELIO_11408	YEAST06202, YEAST00331
OG0000562	HELIO_07448, HELIO_12786	YEAST00314
OG0000566	HELIO_06134, HELIO_05991, HELIO_09539	YEAST05789, YEAST00049
OG0000573	HELIO_11819, HELIO_09237	YEAST05675
OG0000576	HELIO_04420	YEAST00470, YEAST00193
OG0000578	HELIO_04018	YEAST01208, YEAST00759
OG0000579	HELIO_08075	YEAST02484
OG0000582	HELIO_05267	YEAST03615
OG0000587	HELIO_08335	YEAST04063
OG0000587	HELIO_02916	YEAST03372
