Orthogroup	HELIO_ok	APOSC_ok
OG0000019	HELIO_11234	APOSC_14801, APOSC_11507
OG0000019	HELIO_00711, HELIO_04793, HELIO_04680	APOSC_10943, APOSC_07328, APOSC_07329, APOSC_13030, APOSC_10924, APOSC_18630, APOSC_20315
OG0000020	HELIO_01087	APOSC_13376
OG0000020	HELIO_03282	APOSC_27693
OG0000020	HELIO_03892	APOSC_28648
OG0000020	HELIO_12285	APOSC_00691
OG0000020	HELIO_05828	APOSC_03094
OG0000020	HELIO_05888	APOSC_05461
OG0000020	HELIO_07729	APOSC_07853
OG0000020	HELIO_08365	APOSC_14067
OG0000020	HELIO_01918	APOSC_25230
OG0000021	HELIO_00817, HELIO_05146	APOSC_23251, APOSC_13950, APOSC_23254, APOSC_23253
OG0000021	HELIO_05564	APOSC_13612
OG0000021	HELIO_02163	APOSC_06563, APOSC_06562
OG0000021	HELIO_07436	APOSC_26674
OG0000021	HELIO_09128	APOSC_27384
OG0000021	HELIO_01018	APOSC_09814
OG0000021	HELIO_10440	APOSC_03399
OG0000021	HELIO_09286	APOSC_23486, APOSC_20200
OG0000021	HELIO_07603	APOSC_20201
OG0000021	HELIO_08020	APOSC_04995, APOSC_08508, APOSC_08509
OG0000021	HELIO_10557	APOSC_11901, APOSC_23082
OG0000023	HELIO_07781	APOSC_14758
OG0000023	HELIO_08618	APOSC_08983, APOSC_08982
OG0000023	HELIO_04231	APOSC_21557
OG0000023	HELIO_07887, HELIO_10788, HELIO_06647	APOSC_18183, APOSC_27088, APOSC_07209, APOSC_18870
OG0000023	HELIO_00907	APOSC_15754, APOSC_15753
OG0000023	HELIO_07600, HELIO_09870	APOSC_23115
OG0000024	HELIO_07449	APOSC_19476, APOSC_14174, APOSC_24397
OG0000024	HELIO_07047	APOSC_23909
OG0000024	HELIO_00822	APOSC_28972
OG0000024	HELIO_05196	APOSC_07572
OG0000024	HELIO_03946	APOSC_05397, APOSC_28827, APOSC_12673, APOSC_17746, APOSC_17532, APOSC_17533, APOSC_28434, APOSC_09826, APOSC_02940
OG0000024	HELIO_03839	APOSC_26603
OG0000024	HELIO_05987	APOSC_21939, APOSC_21316
OG0000024	HELIO_07972	APOSC_20140
OG0000024	HELIO_00021	APOSC_23812
OG0000024	HELIO_10427	APOSC_27461, APOSC_10842
OG0000025	HELIO_06398, HELIO_03661, HELIO_07622, HELIO_05856, HELIO_03903	APOSC_17917, APOSC_10185
OG0000025	HELIO_05004	APOSC_09169
OG0000025	HELIO_06624	APOSC_17955, APOSC_21691
OG0000025	HELIO_04417, HELIO_06506, HELIO_01074	APOSC_22885, APOSC_25730, APOSC_26591, APOSC_16189
OG0000025	HELIO_06776	APOSC_04292
OG0000025	HELIO_10300, HELIO_05266, HELIO_08184	APOSC_05296
OG0000025	HELIO_02115	APOSC_23673
OG0000025	HELIO_01616	APOSC_02742, APOSC_11466
OG0000025	HELIO_04661	APOSC_14384
OG0000025	HELIO_01319	APOSC_20106
OG0000025	HELIO_06548, HELIO_05151	APOSC_27399
OG0000025	HELIO_05386, HELIO_05130	APOSC_26764
OG0000025	HELIO_05071, HELIO_06217	APOSC_02075, APOSC_16057
