Orthogroup	OWEFU	XENTR
OG0000037	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1	XENTR03868, XENTR16595, XENTR17072, XENTR05552, XENTR03023, XENTR14114
OG0000037	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1	XENTR16580, XENTR14770, XENTR03861
OG0000037	OFUSG13518.1.p1	XENTR10865, XENTR10696
OG0000037	OFUSG24232.1.p1, OFUSG22475.1.p1	XENTR18131
OG0000038	OFUSG04771.1.p1	XENTR04197, XENTR04200
OG0000038	OFUSG26080.1.p1, OFUSG26080.2.p1	XENTR04206
OG0000039	OFUSG18528.1.p1, OFUSG18528.2.p1	XENTR03946, XENTR03945
OG0000039	OFUSG13129.1.p1, OFUSG05314.1.p1	XENTR17227
OG0000039	OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1	XENTR17697
OG0000041	OFUSG15030.1.p1	XENTR14135
OG0000041	OFUSG19628.1.p1, OFUSG17131.1.p1, OFUSG15513.1.p1, OFUSG15137.1.p1, OFUSG07153.1.p1, OFUSG07153.2.p1	XENTR16713, XENTR17286, XENTR13662, XENTR02569
OG0000041	OFUSG07896.1.p1	XENTR12683, XENTR11379, XENTR11378, XENTR01609, XENTR11377, XENTR01610, XENTR10042
OG0000041	OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1	XENTR03001, XENTR09331
OG0000044	OFUSG03166.1.p1	XENTR05498, XENTR01628, XENTR04385, XENTR00688, XENTR04387, XENTR17931
OG0000046	OFUSG14160.1.p1	XENTR04959
OG0000046	OFUSG02356.1.p1, OFUSG13304.1.p1, OFUSG25123.1.p1	XENTR17142, XENTR08235, XENTR05674, XENTR16277
OG0000048	OFUSG03456.1.p1	XENTR03701
OG0000048	OFUSG15705.1.p1	XENTR01169
OG0000048	OFUSG19541.1.p1	XENTR18412
OG0000048	OFUSG11587.1.p1	XENTR04117
OG0000048	OFUSG11562.2.p1, OFUSG11562.1.p1	XENTR05160
OG0000049	OFUSG00390.1.p1	XENTR00212, XENTR08482
OG0000049	OFUSG06038.1.p1	XENTR07031, XENTR06401
OG0000049	OFUSG18823.3.p1, OFUSG18823.1.p1, OFUSG18823.2.p1	XENTR01319, XENTR18684, XENTR07961, XENTR13014
OG0000049	OFUSG21750.1.p1, OFUSG17729.1.p1, OFUSG17727.1.p1, OFUSG17730.1.p1, OFUSG19421.1.p1, OFUSG19423.1.p1, OFUSG19424.1.p1	XENTR10377
OG0000051	OFUSG14314.1.p1	XENTR08842
OG0000054	OFUSG09960.1.p1, OFUSG09960.2.p1, OFUSG09960.4.p1, OFUSG09960.5.p1, OFUSG09960.3.p1	XENTR04962, XENTR04961
OG0000054	OFUSG23922.1.p1, OFUSG23922.2.p1, OFUSG23922.3.p1, OFUSG13461.1.p1, OFUSG13461.2.p1, OFUSG22292.2.p1, OFUSG22292.1.p1, OFUSG00951.1.p1, OFUSG00949.1.p1, OFUSG16065.1.p1, OFUSG16065.2.p1, OFUSG16715.1.p1	XENTR00035, XENTR00034, XENTR00033, XENTR00032
OG0000056	OFUSG17281.1.p1	XENTR00422, XENTR06505, XENTR06516, XENTR06514, XENTR06515, XENTR06513, XENTR06506
OG0000056	OFUSG00880.1.p1, OFUSG00880.2.p1	XENTR00781
OG0000057	OFUSG18495.1.p1	XENTR04236, XENTR01413, XENTR01414
OG0000057	OFUSG02050.1.p1, OFUSG18016.1.p1, OFUSG01943.1.p1, OFUSG22981.1.p1, OFUSG23264.1.p1, OFUSG15744.1.p1, OFUSG15744.2.p1, OFUSG15743.1.p1, OFUSG15746.1.p1, OFUSG15746.2.p1, OFUSG15747.1.p1, OFUSG12096.1.p1, OFUSG12095.1.p1, OFUSG17581.1.p1	XENTR03679
OG0000058	OFUSG21852.1.p1	XENTR09300
OG0000058	OFUSG06504.1.p1	XENTR11839
OG0000058	OFUSG18325.1.p1	XENTR16040, XENTR02416, XENTR06707
OG0000059	OFUSG05392.2.p1, OFUSG05392.1.p1	XENTR06961, XENTR16370
OG0000059	OFUSG21274.1.p1	XENTR15475
OG0000060	OFUSG14955.1.p1, OFUSG23392.1.p1	XENTR09513
OG0000061	OFUSG24472.3.p1, OFUSG24472.1.p1, OFUSG24472.2.p1, OFUSG16519.1.p1, OFUSG16362.1.p1, OFUSG16362.3.p1, OFUSG16362.2.p1	XENTR00116, XENTR05367
OG0000061	OFUSG04221.4.p1, OFUSG04221.3.p1, OFUSG04221.1.p1, OFUSG04221.2.p1	XENTR09403, XENTR06949, XENTR06950, XENTR12872
OG0000061	OFUSG16682.2.p1, OFUSG16682.1.p1	XENTR10609, XENTR10747
OG0000062	OFUSG20078.1.p1, OFUSG20078.2.p1	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496
OG0000062	OFUSG20834.1.p1, OFUSG20834.2.p1, OFUSG05008.1.p1	XENTR09512
OG0000063	OFUSG17109.2.p1, OFUSG17109.1.p1	XENTR10234, XENTR04709, XENTR00319
OG0000063	OFUSG05823.2.p1, OFUSG05823.1.p1	XENTR11311
OG0000063	OFUSG20081.1.p1	XENTR04708
OG0000063	OFUSG23292.1.p1	XENTR15638
OG0000065	OFUSG22574.1.p1, OFUSG23358.1.p1, OFUSG12395.1.p1, OFUSG23801.1.p1, OFUSG23802.1.p1, OFUSG23800.1.p1, OFUSG01605.1.p1, OFUSG15392.1.p1, OFUSG01606.1.p1, OFUSG01817.1.p1, OFUSG16109.1.p1, OFUSG08606.1.p1, OFUSG25251.1.p1, OFUSG10638.1.p1, OFUSG03941.1.p1, OFUSG20646.1.p1, OFUSG26222.1.p1, OFUSG00747.1.p1, OFUSG00365.1.p1, OFUSG20533.1.p1, OFUSG15764.2.p1, OFUSG15764.4.p1, OFUSG15764.3.p1, OFUSG15764.1.p1, OFUSG13353.1.p1, OFUSG22698.1.p1, OFUSG15763.1.p1, OFUSG02049.1.p1, OFUSG22680.1.p1, OFUSG22697.1.p1, OFUSG16096.1.p1, OFUSG15767.1.p1, OFUSG12866.1.p1, OFUSG09226.1.p1, OFUSG09226.2.p1, OFUSG25542.1.p1, OFUSG21873.1.p1, OFUSG21872.1.p1, OFUSG07631.1.p1, OFUSG23384.1.p1, OFUSG15143.1.p1, OFUSG15928.1.p1, OFUSG00649.1.p1, OFUSG25620.1.p1, OFUSG08202.1.p1, OFUSG19583.1.p1, OFUSG13387.1.p1	XENTR16407, XENTR13484, XENTR05900, XENTR10167, XENTR16118, XENTR16117, XENTR10166, XENTR11635, XENTR11636, XENTR11634
OG0000066	OFUSG23527.1.p1	XENTR18882
OG0000067	OFUSG07801.1.p1, OFUSG07801.2.p1, OFUSG09800.1.p1	XENTR13783, XENTR04874
OG0000068	OFUSG19455.1.p1	XENTR06812, XENTR11294, XENTR01321, XENTR07981, XENTR06611
OG0000069	OFUSG26968.1.p1	XENTR15529
OG0000070	OFUSG13486.2.p1, OFUSG13486.1.p1, OFUSG01308.1.p1, OFUSG01308.2.p1	XENTR15503, XENTR11143, XENTR02048
OG0000070	OFUSG12713.1.p1	XENTR15175, XENTR04776, XENTR13746, XENTR15542
OG0000071	OFUSG13633.1.p1, OFUSG18328.1.p1	XENTR09995, XENTR01851, XENTR10875
OG0000072	OFUSG02543.3.p1, OFUSG02543.1.p1, OFUSG02543.2.p1	XENTR15041, XENTR13953
OG0000072	OFUSG02679.1.p1, OFUSG02679.2.p1	XENTR03548, XENTR18546
OG0000072	OFUSG03079.1.p1	XENTR01057
OG0000073	OFUSG09086.1.p1, OFUSG00356.1.p1, OFUSG20720.1.p1	XENTR03608, XENTR03610, XENTR03611, XENTR03612
OG0000074	OFUSG24829.1.p1, OFUSG06062.1.p1	XENTR10798, XENTR10797, XENTR11114
OG0000075	OFUSG16504.1.p1	XENTR06215
OG0000075	OFUSG13755.2.p1, OFUSG13755.1.p1	XENTR09250
OG0000075	OFUSG26879.2.p1, OFUSG26879.1.p1	XENTR14285, XENTR05936
OG0000075	OFUSG16171.1.p1, OFUSG16171.2.p1	XENTR04179, XENTR06216
OG0000075	OFUSG06373.1.p1	XENTR01223, XENTR05975
OG0000075	OFUSG05709.1.p1	XENTR10723
OG0000075	OFUSG18892.2.p1, OFUSG18892.1.p1	XENTR06816, XENTR17547, XENTR16124
OG0000075	OFUSG19094.1.p1	XENTR05986, XENTR05987
OG0000077	OFUSG19468.1.p1	XENTR06888, XENTR17790, XENTR02687
OG0000077	OFUSG05945.4.p1, OFUSG05945.3.p1, OFUSG05945.2.p1, OFUSG05945.1.p1	XENTR01904, XENTR08754, XENTR13403
OG0000077	OFUSG04692.1.p1	XENTR07875, XENTR00642, XENTR04757
OG0000078	OFUSG04718.1.p1	XENTR05046, XENTR08333, XENTR08953, XENTR08952
OG0000079	OFUSG21029.1.p1	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648
OG0000079	OFUSG10422.3.p1, OFUSG10422.2.p1, OFUSG10422.1.p1, OFUSG10422.4.p1	XENTR08294, XENTR08293, XENTR03649
OG0000079	OFUSG24101.1.p1	XENTR01194
OG0000079	OFUSG19660.3.p1, OFUSG19660.2.p1, OFUSG19660.1.p1	XENTR15371
OG0000081	OFUSG21451.1.p1	XENTR18129, XENTR18128, XENTR18130, XENTR17315, XENTR17314, XENTR18127, XENTR17316, XENTR16305, XENTR17318, XENTR17317
OG0000082	OFUSG08036.1.p1	XENTR16096
OG0000082	OFUSG05603.1.p1	XENTR01624, XENTR01625
OG0000083	OFUSG03380.1.p1, OFUSG03380.2.p1	XENTR04370, XENTR12084, XENTR05647
OG0000084	OFUSG05733.1.p1, OFUSG06631.1.p1	XENTR14395, XENTR14216, XENTR02688, XENTR03539, XENTR09724
