Orthogroup	OWEFU	APOSJ_ok
OG0000005	OFUSG04131.1.p1, OFUSG08841.1.p1, OFUSG17326.1.p1, OFUSG20156.1.p1, OFUSG19966.1.p1, OFUSG09231.1.p1, OFUSG09655.1.p1	APOSJ_31844, APOSJ_31845, APOSJ_31849, APOSJ_31847, APOSJ_25648, APOSJ_14100, APOSJ_28565, APOSJ_22524, APOSJ_48942, APOSJ_07813, APOSJ_10177, APOSJ_10170, APOSJ_30095
OG0000005	OFUSG26276.1.p1	APOSJ_12734
OG0000005	OFUSG20119.1.p1, OFUSG08484.1.p1	APOSJ_43564, APOSJ_43561
OG0000006	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1	APOSJ_14510
OG0000006	OFUSG02905.1.p1	APOSJ_43757
OG0000006	OFUSG25514.1.p1	APOSJ_51998, APOSJ_52011, APOSJ_51992, APOSJ_23178
OG0000006	OFUSG07929.1.p1	APOSJ_53154, APOSJ_09913, APOSJ_45177, APOSJ_09916, APOSJ_63967, APOSJ_09917
OG0000006	OFUSG10782.1.p1	APOSJ_52128
OG0000006	OFUSG09474.1.p1, OFUSG09474.2.p1	APOSJ_25002
OG0000006	OFUSG21061.1.p1	APOSJ_24425, APOSJ_24424
OG0000006	OFUSG18494.1.p1, OFUSG18494.2.p1	APOSJ_38154
OG0000006	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1	APOSJ_46492
OG0000007	OFUSG09476.1.p1	APOSJ_54414, APOSJ_55946, APOSJ_54415
OG0000007	OFUSG21527.1.p1	APOSJ_59909
OG0000007	OFUSG13716.1.p1	APOSJ_46494
OG0000007	OFUSG05364.1.p1	APOSJ_32909
OG0000007	OFUSG04768.1.p1	APOSJ_33751
OG0000007	OFUSG25429.1.p1	APOSJ_45510, APOSJ_50337
OG0000007	OFUSG21828.2.p1, OFUSG21828.1.p1	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417
OG0000007	OFUSG10613.1.p1	APOSJ_16847, APOSJ_57982, APOSJ_16846
OG0000007	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1	APOSJ_33873, APOSJ_55281, APOSJ_26156, APOSJ_33878
OG0000007	OFUSG25241.1.p1	APOSJ_55940, APOSJ_55941
OG0000008	OFUSG25732.1.p1	APOSJ_26935, APOSJ_25092, APOSJ_24812
OG0000008	OFUSG14096.1.p1	APOSJ_59607, APOSJ_43234
OG0000008	OFUSG20435.1.p1	APOSJ_08880
OG0000008	OFUSG00781.1.p1, OFUSG00781.2.p1, OFUSG11535.1.p1, OFUSG02555.1.p1, OFUSG00311.1.p1, OFUSG02548.1.p1, OFUSG18114.1.p1, OFUSG03040.1.p1, OFUSG07904.1.p1, OFUSG03922.1.p1	APOSJ_61175
OG0000008	OFUSG01705.1.p1, OFUSG01704.1.p1, OFUSG01067.1.p1	APOSJ_50496
OG0000010	OFUSG01743.1.p1	APOSJ_10822
OG0000012	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160
OG0000012	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1	APOSJ_20422
OG0000013	OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1	APOSJ_50056, APOSJ_01943
