Orthogroup	OWEFU	NEMVE
OG0000020	OFUSG13406.1.p1, OFUSG14744.1.p1, OFUSG12274.1.p1, OFUSG12274.2.p1	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862
OG0000021	OFUSG26914.2.p1, OFUSG26914.3.p1, OFUSG26914.1.p1, OFUSG24044.1.p1, OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1	NEMVE17642, NEMVE17644, NEMVE21888
OG0000021	OFUSG13532.1.p1, OFUSG13532.2.p1	NEMVE11953
OG0000021	OFUSG03542.1.p1, OFUSG03403.1.p1, OFUSG03403.2.p1, OFUSG16515.1.p1, OFUSG16515.2.p1, OFUSG16222.2.p1, OFUSG16222.1.p1, OFUSG13726.2.p1, OFUSG13726.1.p1, OFUSG22547.2.p1, OFUSG22547.1.p1, OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1, OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1	NEMVE04837
OG0000023	OFUSG26468.1.p1	NEMVE05404, NEMVE18646, NEMVE00827, NEMVE11575, NEMVE10787, NEMVE10449
OG0000023	OFUSG06069.1.p1	NEMVE01882
OG0000023	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1	NEMVE02033, NEMVE05058, NEMVE00878
OG0000023	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1	NEMVE13647
OG0000023	OFUSG11068.1.p1, OFUSG06762.1.p1	NEMVE01164, NEMVE04601
OG0000023	OFUSG02690.3.p1, OFUSG02690.2.p1, OFUSG02690.1.p1, OFUSG10023.2.p1, OFUSG10023.1.p1, OFUSG10022.3.p1, OFUSG10022.4.p1, OFUSG10022.1.p1, OFUSG10022.2.p1, OFUSG13724.2.p1, OFUSG13724.1.p1	NEMVE15478, NEMVE15477, NEMVE23023, NEMVE08487, NEMVE18628, NEMVE01195, NEMVE03514, NEMVE05012, NEMVE13501, NEMVE11593, NEMVE05686, NEMVE11655, NEMVE11747, NEMVE12580
OG0000026	OFUSG04596.1.p1	NEMVE05956, NEMVE12539, NEMVE05975, NEMVE07911, NEMVE12540
OG0000026	OFUSG10470.1.p1, OFUSG09501.1.p1	NEMVE14231, NEMVE02456, NEMVE19119, NEMVE15036, NEMVE11860, NEMVE10138, NEMVE10137, NEMVE10629, NEMVE11596, NEMVE02542, NEMVE02515, NEMVE03115, NEMVE17182, NEMVE10477, NEMVE10141, NEMVE11809, NEMVE11355, NEMVE11214, NEMVE10424, NEMVE10535, NEMVE10632, NEMVE10426, NEMVE10474, NEMVE10479, NEMVE15004, NEMVE00616, NEMVE01360, NEMVE10139, NEMVE00722, NEMVE10481, NEMVE00708, NEMVE00807
OG0000026	OFUSG19536.1.p1	NEMVE06202
OG0000026	OFUSG24598.1.p1	NEMVE11230, NEMVE18197, NEMVE11570
OG0000026	OFUSG26427.1.p1	NEMVE24164, NEMVE07469
OG0000026	OFUSG06547.2.p1, OFUSG06547.1.p1	NEMVE07551
OG0000027	OFUSG04957.1.p1, OFUSG04958.1.p1, OFUSG08928.1.p1, OFUSG23750.1.p1, OFUSG03824.2.p1, OFUSG19520.1.p1, OFUSG03824.1.p1, OFUSG07714.1.p1, OFUSG07714.2.p1, OFUSG21523.1.p1, OFUSG02454.1.p1, OFUSG18692.1.p1, OFUSG08461.1.p1, OFUSG07492.1.p1, OFUSG07492.3.p1, OFUSG07492.2.p1, OFUSG21969.1.p1, OFUSG21968.1.p1, OFUSG13255.1.p1, OFUSG26650.1.p1, OFUSG21901.2.p1, OFUSG21901.1.p1	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706
OG0000028	OFUSG21057.1.p1, OFUSG21057.2.p1	NEMVE07358, NEMVE05350, NEMVE02019
OG0000028	OFUSG16442.1.p1, OFUSG16442.2.p1	NEMVE06026, NEMVE05984
OG0000028	OFUSG12432.2.p1, OFUSG12432.1.p1, OFUSG25286.1.p1, OFUSG11555.1.p1	NEMVE03003, NEMVE23660, NEMVE03469, NEMVE05286, NEMVE04640, NEMVE08022, NEMVE16966, NEMVE16972, NEMVE16973, NEMVE02982, NEMVE08442, NEMVE03100, NEMVE06698, NEMVE03432, NEMVE18759, NEMVE09822, NEMVE00992, NEMVE03007, NEMVE02052, NEMVE16048, NEMVE08155, NEMVE16956, NEMVE02432, NEMVE01030, NEMVE02426
